ncbi_id,reactome_id,reactome_name
1,R-HSA-114608,Platelet degranulation 
1,R-HSA-6798695,Neutrophil degranulation
10,R-HSA-156582,Acetylation
10,R-HSA-9753281,Paracetamol ADME
100,R-HSA-74217,Purine salvage
100,R-HSA-9734735,Defective ADA disrupts (deoxy)adenosine deamination
100,R-HSA-9755088,Ribavirin ADME
1000,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
1000,R-HSA-418990,Adherens junctions interactions
1000,R-HSA-525793,Myogenesis
1000,R-HSA-8957275,Post-translational protein phosphorylation
1000,R-HSA-9926550,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition"
10000,R-HSA-111447,Activation of BAD and translocation to mitochondria 
10000,R-HSA-1257604,PIP3 activates AKT signaling
10000,R-HSA-1358803,Downregulation of ERBB2:ERBB3 signaling
10000,R-HSA-198323,AKT phosphorylates targets in the cytosol
10000,R-HSA-198693,AKT phosphorylates targets in the nucleus
10000,R-HSA-199418,Negative regulation of the PI3K/AKT network
10000,R-HSA-211163,AKT-mediated inactivation of FOXO1A
10000,R-HSA-389357,CD28 dependent PI3K/Akt signaling
10000,R-HSA-389513,Co-inhibition by CTLA4
10000,R-HSA-392451,G beta:gamma signalling through PI3Kgamma
10000,R-HSA-5218920,VEGFR2 mediated vascular permeability
10000,R-HSA-5628897,TP53 Regulates Metabolic Genes
10000,R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer
10000,R-HSA-6804757,Regulation of TP53 Degradation
10000,R-HSA-6804758,Regulation of TP53 Activity through Acetylation
10000,R-HSA-6804759,Regulation of TP53 Activity through Association with Co-factors
10000,R-HSA-69202,Cyclin E associated events during G1/S transition 
10000,R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry
10000,R-HSA-8876198,RAB GEFs exchange GTP for GDP on RABs
10000,R-HSA-8941332,RUNX2 regulates genes involved in cell migration
10000,R-HSA-8948751,Regulation of PTEN stability and activity
10000,R-HSA-9607240,FLT3 Signaling
10000,R-HSA-9614399,Regulation of localization of FOXO transcription factors
10000,R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling
10000,R-HSA-9755511,KEAP1-NFE2L2 pathway
10000,R-HSA-9755779,SARS-CoV-2 targets host intracellular signalling and regulatory pathways
10000,R-HSA-9856649,Transcriptional and post-translational regulation of MITF-M expression and activity
10001,R-HSA-1989781,PPARA activates gene expression
10001,R-HSA-212436,Generic Transcription Pathway
10001,R-HSA-381340,Transcriptional regulation of white adipocyte differentiation
10001,R-HSA-9833110,RSV-host interactions
10001,R-HSA-9841922,MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis
10002,R-HSA-383280,Nuclear Receptor transcription pathway
10003,R-HSA-8963693,Aspartate and asparagine metabolism
100033411,R-HSA-9819196,Zygotic genome activation (ZGA)
100049587,R-HSA-2172127,DAP12 interactions
100049587,R-HSA-6798695,Neutrophil degranulation
10005,R-HSA-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
10005,R-HSA-2046106,alpha-linolenic acid (ALA) metabolism
10005,R-HSA-389887,Beta-oxidation of pristanoyl-CoA
10005,R-HSA-390247,Beta-oxidation of very long chain fatty acids
10005,R-HSA-9033241,Peroxisomal protein import
10006,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation
10006,R-HSA-4420097,VEGFA-VEGFR2 Pathway
10006,R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs
10006,R-HSA-9013149,RAC1 GTPase cycle
10006,R-HSA-9013404,RAC2 GTPase cycle
10006,R-HSA-9013423,RAC3 GTPase cycle
10006,R-HSA-9664422,FCGR3A-mediated phagocytosis
10007,R-HSA-70171,Glycolysis
10008,R-HSA-5576890,Phase 3 - rapid repolarisation
10008,R-HSA-5576893,Phase 2 - plateau phase
10009,R-HSA-9764725,Negative Regulation of CDH1 Gene Transcription
1001,R-HSA-418990,Adherens junctions interactions
10010,R-HSA-9013973,TICAM1-dependent activation of IRF3/IRF7
10010,R-HSA-933541,TRAF6 mediated IRF7 activation
10010,R-HSA-936964,"Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)"
10010,R-HSA-9824878,"Regulation of TBK1, IKKε (IKBKE)-mediated activation of IRF3, IRF7 "
10010,R-HSA-9828211,"Regulation of TBK1, IKKε-mediated activation of IRF3, IRF7 upon TLR3 ligation"
100128731,R-HSA-446203,Asparagine N-linked glycosylation
100128731,R-HSA-9694548,Maturation of spike protein
100128731,R-HSA-9768727,Regulation of CDH1 posttranslational processing and trafficking to plasma membrane
100128731,R-HSA-9918432,Maturation of DENV proteins
100128731,R-HSA-9931295,PD-L1(CD274) glycosylation and translocation to plasma membrane
100129543,R-HSA-212436,Generic Transcription Pathway
100129669,R-HSA-1300645,Acrosome Reaction and Sperm:Oocyte Membrane Binding
100129842,R-HSA-212436,Generic Transcription Pathway
10013,R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription
10013,R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants
10013,R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
10013,R-HSA-3371511,HSF1 activation
10013,R-HSA-350054,Notch-HLH transcription pathway
10013,R-HSA-5620920,Cargo trafficking to the periciliary membrane
10013,R-HSA-8878166,Transcriptional regulation by RUNX2
