GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A8-A06N-01A-11D-A744-36	chr1	17001	5787000	4807	-0.068586
TCGA-A8-A06N-01A-11D-A744-36	chr1	5787001	11598000	5801	-0.064472
TCGA-A8-A06N-01A-11D-A744-36	chr1	11598001	11658000	60	-0.059938
TCGA-A8-A06N-01A-11D-A744-36	chr1	11658001	12815000	1156	-0.065856
TCGA-A8-A06N-01A-11D-A744-36	chr1	12815001	13007000	64	0.014982
TCGA-A8-A06N-01A-11D-A744-36	chr1	13056001	16606000	3285	-0.067128
TCGA-A8-A06N-01A-11D-A744-36	chr1	16606001	16869000	124	-0.413293
TCGA-A8-A06N-01A-11D-A744-36	chr1	16869001	16949000	79	-0.659003
TCGA-A8-A06N-01A-11D-A744-36	chr1	16949001	18080000	1128	-0.066890
TCGA-A8-A06N-01A-11D-A744-36	chr1	18080001	31378000	13153	-0.062998
TCGA-A8-A06N-01A-11D-A744-36	chr1	31378001	47338000	15856	0.309219
TCGA-A8-A06N-01A-11D-A744-36	chr1	47338001	48898000	1550	-0.075669
TCGA-A8-A06N-01A-11D-A744-36	chr1	48898001	113882000	64123	0.280495
TCGA-A8-A06N-01A-11D-A744-36	chr1	113882001	117659000	3765	-0.075567
TCGA-A8-A06N-01A-11D-A744-36	chr1	117659001	117709000	50	-0.057583
TCGA-A8-A06N-01A-11D-A744-36	chr1	117709001	117926000	217	-0.080954
TCGA-A8-A06N-01A-11D-A744-36	chr1	117926001	123164000	2520	0.289359
TCGA-A8-A06N-01A-11D-A744-36	chr1	123169001	123721000	66	-0.894834
TCGA-A8-A06N-01A-11D-A744-36	chr1	123742001	123846000	16	-1.549172
TCGA-A8-A06N-01A-11D-A744-36	chr1	123856001	123927000	6	-4.797889
TCGA-A8-A06N-01A-11D-A744-36	chr1	123935001	124055000	12	-3.028656
TCGA-A8-A06N-01A-11D-A744-36	chr1	124061001	124326000	37	-1.434489
TCGA-A8-A06N-01A-11D-A744-36	chr1	124328001	124767000	96	-0.039104
TCGA-A8-A06N-01A-11D-A744-36	chr1	124768001	143484000	332	0.236385
TCGA-A8-A06N-01A-11D-A744-36	chr1	143498001	143936000	244	-0.613794
TCGA-A8-A06N-01A-11D-A744-36	chr1	143937001	154407000	6630	0.303416
TCGA-A8-A06N-01A-11D-A744-36	chr1	154407001	154878000	471	-0.052943
TCGA-A8-A06N-01A-11D-A744-36	chr1	154878001	161566000	6603	0.300152
TCGA-A8-A06N-01A-11D-A744-36	chr1	161566001	161594000	9	-29.873989
TCGA-A8-A06N-01A-11D-A744-36	chr1	161594001	161647000	40	-0.724245
TCGA-A8-A06N-01A-11D-A744-36	chr1	161647001	162552000	882	0.298046
TCGA-A8-A06N-01A-11D-A744-36	chr1	162552001	165083000	2518	-0.085428
TCGA-A8-A06N-01A-11D-A744-36	chr1	165083001	248931000	82611	0.283196
TCGA-A8-A06N-01A-11D-A744-36	chr2	11001	319000	301	-0.086885
TCGA-A8-A06N-01A-11D-A744-36	chr2	319001	434000	111	-0.106040
TCGA-A8-A06N-01A-11D-A744-36	chr2	434001	478000	44	-0.091118
TCGA-A8-A06N-01A-11D-A744-36	chr2	478001	546000	66	-0.092096
TCGA-A8-A06N-01A-11D-A744-36	chr2	546001	986000	430	-0.083950
TCGA-A8-A06N-01A-11D-A744-36	chr2	986001	1167000	172	-0.095634
TCGA-A8-A06N-01A-11D-A744-36	chr2	1168001	1480000	302	-0.086839
TCGA-A8-A06N-01A-11D-A744-36	chr2	1480001	1606000	112	-0.082694
TCGA-A8-A06N-01A-11D-A744-36	chr2	1606001	1972000	361	-0.086799
TCGA-A8-A06N-01A-11D-A744-36	chr2	1972001	2207000	231	-0.077427
TCGA-A8-A06N-01A-11D-A744-36	chr2	2207001	3622000	1404	-0.085203
TCGA-A8-A06N-01A-11D-A744-36	chr2	3622001	3654000	31	-0.066652
TCGA-A8-A06N-01A-11D-A744-36	chr2	3654001	4166000	507	-0.075770
TCGA-A8-A06N-01A-11D-A744-36	chr2	4166001	4175000	9	-29.897449
TCGA-A8-A06N-01A-11D-A744-36	chr2	4175001	4444000	269	-0.081742
TCGA-A8-A06N-01A-11D-A744-36	chr2	4444001	4532000	88	-0.085929
TCGA-A8-A06N-01A-11D-A744-36	chr2	4532001	5122000	579	-0.088732
TCGA-A8-A06N-01A-11D-A744-36	chr2	5122001	5205000	79	-0.100343
TCGA-A8-A06N-01A-11D-A744-36	chr2	5205001	5674000	467	-0.090004
TCGA-A8-A06N-01A-11D-A744-36	chr2	5674001	5729000	55	-0.098383
TCGA-A8-A06N-01A-11D-A744-36	chr2	5729001	6215000	486	-0.088287
TCGA-A8-A06N-01A-11D-A744-36	chr2	6215001	6310000	93	-0.097743
TCGA-A8-A06N-01A-11D-A744-36	chr2	6310001	6407000	97	-0.088198
TCGA-A8-A06N-01A-11D-A744-36	chr2	6407001	6436000	29	-0.066647
TCGA-A8-A06N-01A-11D-A744-36	chr2	6436001	6760000	324	-0.091288
TCGA-A8-A06N-01A-11D-A744-36	chr2	6760001	6803000	43	-0.069529
TCGA-A8-A06N-01A-11D-A744-36	chr2	6803001	7072000	269	-0.075354
TCGA-A8-A06N-01A-11D-A744-36	chr2	7072001	7118000	46	-0.065921
TCGA-A8-A06N-01A-11D-A744-36	chr2	7118001	7285000	165	-0.080348
TCGA-A8-A06N-01A-11D-A744-36	chr2	7285001	7331000	46	-0.065915
