GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AR-A1AS-01A-11D-A896-36	chr1	17001	1631000	836	-0.009748
TCGA-AR-A1AS-01A-11D-A896-36	chr1	1631001	1732000	65	0.510548
TCGA-AR-A1AS-01A-11D-A896-36	chr1	1732001	13558000	11266	-0.008898
TCGA-AR-A1AS-01A-11D-A896-36	chr1	13558001	13576000	18	-1.037778
TCGA-AR-A1AS-01A-11D-A896-36	chr1	13576001	16609000	2991	-0.004040
TCGA-AR-A1AS-01A-11D-A896-36	chr1	16609001	16641000	32	-0.548320
TCGA-AR-A1AS-01A-11D-A896-36	chr1	16641001	16949000	168	-0.323020
TCGA-AR-A1AS-01A-11D-A896-36	chr1	16949001	107750000	89940	0.000288
TCGA-AR-A1AS-01A-11D-A896-36	chr1	107750001	107916000	166	0.244653
TCGA-AR-A1AS-01A-11D-A896-36	chr1	107916001	110272000	2133	0.155340
TCGA-AR-A1AS-01A-11D-A896-36	chr1	110272001	111365000	1090	0.510336
TCGA-AR-A1AS-01A-11D-A896-36	chr1	111365001	112864000	1479	0.499315
TCGA-AR-A1AS-01A-11D-A896-36	chr1	112864001	114377000	1497	-0.761730
TCGA-AR-A1AS-01A-11D-A896-36	chr1	114377001	115797000	1415	0.501013
TCGA-AR-A1AS-01A-11D-A896-36	chr1	115797001	116962000	1160	0.518848
TCGA-AR-A1AS-01A-11D-A896-36	chr1	116962001	117028000	66	0.711179
TCGA-AR-A1AS-01A-11D-A896-36	chr1	117028001	117335000	307	0.736439
TCGA-AR-A1AS-01A-11D-A896-36	chr1	117335001	117585000	248	0.655340
TCGA-AR-A1AS-01A-11D-A896-36	chr1	117585001	119919000	2326	0.591332
TCGA-AR-A1AS-01A-11D-A896-36	chr1	119919001	121604000	455	0.613270
TCGA-AR-A1AS-01A-11D-A896-36	chr1	121735001	124960000	348	-0.201357
TCGA-AR-A1AS-01A-11D-A896-36	chr1	124960001	125178000	212	0.823870
TCGA-AR-A1AS-01A-11D-A896-36	chr1	125178001	143263000	65	-0.185659
TCGA-AR-A1AS-01A-11D-A896-36	chr1	143263001	147399000	1447	0.890613
TCGA-AR-A1AS-01A-11D-A896-36	chr1	147399001	147658000	256	0.882610
TCGA-AR-A1AS-01A-11D-A896-36	chr1	147658001	147781000	123	0.883298
TCGA-AR-A1AS-01A-11D-A896-36	chr1	147781001	154921000	5582	0.881405
TCGA-AR-A1AS-01A-11D-A896-36	chr1	154921001	154936000	15	0.895941
TCGA-AR-A1AS-01A-11D-A896-36	chr1	154936001	155594000	649	0.871891
TCGA-AR-A1AS-01A-11D-A896-36	chr1	155594001	161964000	6240	0.883201
TCGA-AR-A1AS-01A-11D-A896-36	chr1	161964001	162002000	38	0.896198
TCGA-AR-A1AS-01A-11D-A896-36	chr1	162002001	163074000	1068	0.892510
TCGA-AR-A1AS-01A-11D-A896-36	chr1	163074001	163223000	149	0.890254
TCGA-AR-A1AS-01A-11D-A896-36	chr1	163223001	166146000	2910	0.879393
TCGA-AR-A1AS-01A-11D-A896-36	chr1	166146001	168775000	2616	0.884210
TCGA-AR-A1AS-01A-11D-A896-36	chr1	168775001	168864000	89	0.890009
TCGA-AR-A1AS-01A-11D-A896-36	chr1	168864001	177781000	8832	0.881904
TCGA-AR-A1AS-01A-11D-A896-36	chr1	177781001	177871000	90	0.904621
TCGA-AR-A1AS-01A-11D-A896-36	chr1	177871001	179929000	2048	0.884919
TCGA-AR-A1AS-01A-11D-A896-36	chr1	179929001	180153000	224	0.892359
TCGA-AR-A1AS-01A-11D-A896-36	chr1	180153001	182044000	1878	0.887914
TCGA-AR-A1AS-01A-11D-A896-36	chr1	182044001	182146000	102	0.875870
TCGA-AR-A1AS-01A-11D-A896-36	chr1	182146001	184364000	2212	0.884572
TCGA-AR-A1AS-01A-11D-A896-36	chr1	184364001	184398000	34	0.875457
TCGA-AR-A1AS-01A-11D-A896-36	chr1	184398001	184804000	405	0.884513
TCGA-AR-A1AS-01A-11D-A896-36	chr1	184804001	184834000	30	0.892628
TCGA-AR-A1AS-01A-11D-A896-36	chr1	184834001	186875000	2025	0.877146
TCGA-AR-A1AS-01A-11D-A896-36	chr1	186875001	187792000	899	0.869624
TCGA-AR-A1AS-01A-11D-A896-36	chr1	187792001	187883000	89	0.864452
TCGA-AR-A1AS-01A-11D-A896-36	chr1	187883001	188103000	220	0.863234
TCGA-AR-A1AS-01A-11D-A896-36	chr1	188103001	188653000	547	0.871978
TCGA-AR-A1AS-01A-11D-A896-36	chr1	188653001	192128000	3465	0.874433
TCGA-AR-A1AS-01A-11D-A896-36	chr1	192128001	193930000	1788	0.878587
TCGA-AR-A1AS-01A-11D-A896-36	chr1	193930001	193968000	38	0.885920
TCGA-AR-A1AS-01A-11D-A896-36	chr1	193968001	201377000	7280	0.877656
TCGA-AR-A1AS-01A-11D-A896-36	chr1	201377001	203731000	2352	0.883823
TCGA-AR-A1AS-01A-11D-A896-36	chr1	203731001	203946000	215	0.876638
TCGA-AR-A1AS-01A-11D-A896-36	chr1	203946001	208947000	4718	0.885574
TCGA-AR-A1AS-01A-11D-A896-36	chr1	208947001	209062000	115	0.888206
