GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	17001	1583000	788	-0.557038
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	1583001	1689000	93	-0.604298
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	1689001	1742000	28	-0.880346
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	1742001	2342000	590	-0.573208
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	2342001	2438000	95	-0.553455
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	2438001	2844000	292	-0.561034
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	2844001	5068000	2204	-0.600805
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	5068001	5344000	274	-0.635846
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	5344001	6446000	1100	-0.590170
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	6446001	6503000	57	-0.559308
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	6503001	7265000	761	-0.606292
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	7265001	10579000	3307	-0.596942
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	10579001	11916000	1337	-0.576340
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	11916001	11985000	69	-0.606106
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	11985001	12800000	814	-0.581831
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	12800001	13335000	146	-0.502103
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	13338001	13366000	20	-2.687065
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	13366001	13799000	433	-0.620744
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	13799001	15295000	1492	-0.596292
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	15295001	16576000	1251	-0.585977
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	16576001	16680000	76	-0.681657
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	16680001	16958000	157	-0.399997
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	16958001	18126000	1166	-0.582059
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	18126001	23677000	5528	-0.583691
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	23677001	23841000	163	-0.602438
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	23841001	24630000	787	-0.590744
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	24630001	24688000	58	-0.597209
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	24688001	34008000	9192	-0.587303
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	34008001	34915000	894	-0.591119
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	34915001	36392000	1476	-0.587907
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	36392001	37220000	826	-0.575736
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	37220001	37320000	100	-0.558158
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	37320001	37356000	36	-0.583505
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	37356001	38969000	1612	-0.584710
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	38969001	39083000	114	-0.601263
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	39083001	44527000	5398	-0.576602
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	44527001	44612000	85	-0.584655
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	44612001	46141000	1522	-0.580777
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	46141001	47781000	1615	-0.563644
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	47781001	48035000	253	-0.585093
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	48035001	48504000	460	-0.571906
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	48504001	48900000	396	-0.591824
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	48900001	53416000	4502	-0.585186
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	53416001	53553000	136	-0.579952
TCGA-A8-A09I-01A-22D-A88Z-36	chr1	53553001	53971000	418	-0.593208
