GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	17001	817000	49	-0.374625
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	818001	2656000	1763	0.032328
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	2656001	2776000	8	-1.372995
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	2777001	16507000	13287	0.064092
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	16507001	16603000	64	-0.052889
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	16604001	16733000	88	0.636025
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	16748001	16797000	28	-0.989349
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	16798001	16912000	53	-0.160349
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	16912001	29240000	12189	0.076771
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	29240001	30501000	1253	0.198674
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	30501001	55764000	25122	0.090860
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	55764001	82357000	26375	-0.030838
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	82357001	83169000	809	0.101737
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	83169001	83490000	285	-0.104061
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	83490001	89980000	6422	0.112898
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	89980001	90038000	58	0.727290
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	90038001	118568000	28006	0.106275
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	118568001	118573000	5	-0.240366
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	118573001	119996000	1410	0.102494
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	119996001	120904000	114	-0.400198
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	120905001	120942000	9	-1.497095
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	120942001	121407000	70	-0.460744
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	121407001	121744000	194	0.121482
TCGA-GM-A2DF-01A-11D-A17W-09	chr1	121771001	122799000	32	-2.614214
