GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-EW-A1J5-01A-11D-A897-36	chr1	17001	963000	187	-0.015190
TCGA-EW-A1J5-01A-11D-A897-36	chr1	963001	1241000	268	-0.059937
TCGA-EW-A1J5-01A-11D-A897-36	chr1	1241001	4095000	2665	-0.041737
TCGA-EW-A1J5-01A-11D-A897-36	chr1	4095001	5515000	1415	-0.019909
TCGA-EW-A1J5-01A-11D-A897-36	chr1	5515001	5722000	207	-0.025058
TCGA-EW-A1J5-01A-11D-A897-36	chr1	5722001	5787000	65	-0.030952
TCGA-EW-A1J5-01A-11D-A897-36	chr1	5787001	7565000	1775	-0.034056
TCGA-EW-A1J5-01A-11D-A897-36	chr1	7565001	7648000	83	-0.031672
TCGA-EW-A1J5-01A-11D-A897-36	chr1	7648001	12164000	4509	-0.032190
TCGA-EW-A1J5-01A-11D-A897-36	chr1	12164001	16535000	3960	-0.019170
TCGA-EW-A1J5-01A-11D-A897-36	chr1	16535001	16675000	88	-0.222412
TCGA-EW-A1J5-01A-11D-A897-36	chr1	16675001	24485000	7661	-0.020092
TCGA-EW-A1J5-01A-11D-A897-36	chr1	24485001	29258000	4664	-0.029794
TCGA-EW-A1J5-01A-11D-A897-36	chr1	29258001	29952000	690	-0.013513
TCGA-EW-A1J5-01A-11D-A897-36	chr1	29952001	30047000	95	-0.004363
TCGA-EW-A1J5-01A-11D-A897-36	chr1	30047001	30185000	138	-0.020346
TCGA-EW-A1J5-01A-11D-A897-36	chr1	30185001	30272000	87	0.021051
TCGA-EW-A1J5-01A-11D-A897-36	chr1	30272001	31097000	819	-0.016158
TCGA-EW-A1J5-01A-11D-A897-36	chr1	31097001	31215000	118	-0.049858
TCGA-EW-A1J5-01A-11D-A897-36	chr1	31215001	33455000	2234	-0.023450
TCGA-EW-A1J5-01A-11D-A897-36	chr1	33455001	37321000	3847	-0.014415
TCGA-EW-A1J5-01A-11D-A897-36	chr1	37321001	37395000	74	-0.003052
TCGA-EW-A1J5-01A-11D-A897-36	chr1	37395001	40901000	3474	-0.017415
TCGA-EW-A1J5-01A-11D-A897-36	chr1	40901001	46858000	5931	-0.013346
TCGA-EW-A1J5-01A-11D-A897-36	chr1	46858001	47019000	150	0.037101
TCGA-EW-A1J5-01A-11D-A897-36	chr1	47019001	48132000	1102	-0.009194
TCGA-EW-A1J5-01A-11D-A897-36	chr1	48132001	49029000	885	0.008513
TCGA-EW-A1J5-01A-11D-A897-36	chr1	49029001	51798000	2760	0.001484
TCGA-EW-A1J5-01A-11D-A897-36	chr1	51798001	55948000	4136	-0.013001
TCGA-EW-A1J5-01A-11D-A897-36	chr1	55948001	59974000	3999	0.002714
TCGA-EW-A1J5-01A-11D-A897-36	chr1	59974001	61836000	1855	0.003184
TCGA-EW-A1J5-01A-11D-A897-36	chr1	61836001	62766000	930	-0.017079
TCGA-EW-A1J5-01A-11D-A897-36	chr1	62766001	65868000	3082	0.002586
TCGA-EW-A1J5-01A-11D-A897-36	chr1	65868001	72841000	6880	0.009975
TCGA-EW-A1J5-01A-11D-A897-36	chr1	72841001	73305000	460	0.005532
TCGA-EW-A1J5-01A-11D-A897-36	chr1	73305001	76317000	2995	0.011730
TCGA-EW-A1J5-01A-11D-A897-36	chr1	76317001	76508000	190	0.000988
TCGA-EW-A1J5-01A-11D-A897-36	chr1	76508001	80747000	4210	0.007831
TCGA-EW-A1J5-01A-11D-A897-36	chr1	80747001	82671000	1903	0.004580
TCGA-EW-A1J5-01A-11D-A897-36	chr1	82671001	82786000	115	0.015056
TCGA-EW-A1J5-01A-11D-A897-36	chr1	82786001	85836000	2983	0.008688
TCGA-EW-A1J5-01A-11D-A897-36	chr1	85836001	87356000	1502	0.001529
TCGA-EW-A1J5-01A-11D-A897-36	chr1	87356001	87454000	98	0.002181
TCGA-EW-A1J5-01A-11D-A897-36	chr1	87454001	88644000	1185	0.008939
TCGA-EW-A1J5-01A-11D-A897-36	chr1	88644001	88991000	347	0.001894
TCGA-EW-A1J5-01A-11D-A897-36	chr1	88991001	103561000	14499	0.006546
TCGA-EW-A1J5-01A-11D-A897-36	chr1	103561001	103761000	43	1.343384
TCGA-EW-A1J5-01A-11D-A897-36	chr1	103761001	108831000	4840	0.013090
TCGA-EW-A1J5-01A-11D-A897-36	chr1	108831001	110569000	1709	-0.016387
TCGA-EW-A1J5-01A-11D-A897-36	chr1	110569001	111777000	1205	0.002768
TCGA-EW-A1J5-01A-11D-A897-36	chr1	111777001	111968000	191	-0.031882
TCGA-EW-A1J5-01A-11D-A897-36	chr1	111968001	112375000	389	0.001503
TCGA-EW-A1J5-01A-11D-A897-36	chr1	112375001	112507000	132	-0.000587
TCGA-EW-A1J5-01A-11D-A897-36	chr1	112507001	117736000	5199	-0.004879
TCGA-EW-A1J5-01A-11D-A897-36	chr1	117736001	123263000	2722	0.012066
TCGA-EW-A1J5-01A-11D-A897-36	chr1	123264001	123391000	7	-4.046957
TCGA-EW-A1J5-01A-11D-A897-36	chr1	123393001	124624000	180	-0.343413
TCGA-EW-A1J5-01A-11D-A897-36	chr1	124629001	143233000	324	0.016292
TCGA-EW-A1J5-01A-11D-A897-36	chr1	143234001	150254000	2833	0.963858
TCGA-EW-A1J5-01A-11D-A897-36	chr1	150254001	151029000	771	0.935929
TCGA-EW-A1J5-01A-11D-A897-36	chr1	151029001	151181000	152	0.914055
TCGA-EW-A1J5-01A-11D-A897-36	chr1	151181001	151381000	200	0.927164
TCGA-EW-A1J5-01A-11D-A897-36	chr1	151381001	151539000	158	0.948761
TCGA-EW-A1J5-01A-11D-A897-36	chr1	151539001	151969000	426	0.952313
TCGA-EW-A1J5-01A-11D-A897-36	chr1	151969001	153779000	1748	0.963612
TCGA-EW-A1J5-01A-11D-A897-36	chr1	153779001	154410000	631	0.930467
TCGA-EW-A1J5-01A-11D-A897-36	chr1	154410001	154576000	166	0.923006
TCGA-EW-A1J5-01A-11D-A897-36	chr1	154576001	155178000	602	0.937402
TCGA-EW-A1J5-01A-11D-A897-36	chr1	155178001	155887000	680	0.935187
TCGA-EW-A1J5-01A-11D-A897-36	chr1	155887001	156841000	951	0.932591
TCGA-EW-A1J5-01A-11D-A897-36	chr1	156841001	157522000	681	0.960937
TCGA-EW-A1J5-01A-11D-A897-36	chr1	157522001	157621000	99	0.966568
TCGA-EW-A1J5-01A-11D-A897-36	chr1	157621001	159360000	1726	0.956924
TCGA-EW-A1J5-01A-11D-A897-36	chr1	159360001	160188000	823	0.960944
TCGA-EW-A1J5-01A-11D-A897-36	chr1	160188001	160478000	290	0.950663
TCGA-EW-A1J5-01A-11D-A897-36	chr1	160478001	160946000	468	0.965076
TCGA-EW-A1J5-01A-11D-A897-36	chr1	160946001	161098000	151	0.919141
TCGA-EW-A1J5-01A-11D-A897-36	chr1	161098001	161262000	164	0.926228
TCGA-EW-A1J5-01A-11D-A897-36	chr1	161262001	161487000	197	0.927820
TCGA-EW-A1J5-01A-11D-A897-36	chr1	161487001	162043000	496	0.958183
TCGA-EW-A1J5-01A-11D-A897-36	chr1	162043001	162353000	309	0.968723
TCGA-EW-A1J5-01A-11D-A897-36	chr1	162353001	162663000	310	0.947708
TCGA-EW-A1J5-01A-11D-A897-36	chr1	162663001	163845000	1171	0.970782
TCGA-EW-A1J5-01A-11D-A897-36	chr1	163845001	164098000	253	0.968725
TCGA-EW-A1J5-01A-11D-A897-36	chr1	164098001	164400000	302	0.975435
TCGA-EW-A1J5-01A-11D-A897-36	chr1	164400001	164483000	81	0.956498
TCGA-EW-A1J5-01A-11D-A897-36	chr1	164483001	165497000	1014	0.948974
TCGA-EW-A1J5-01A-11D-A897-36	chr1	165497001	165653000	156	0.956978
TCGA-EW-A1J5-01A-11D-A897-36	chr1	165653001	167204000	1541	0.956447
