GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AC-A62X-01A-11D-A89E-36	chr1	17001	13059000	11891	-0.478167
TCGA-AC-A62X-01A-11D-A89E-36	chr1	13104001	13326000	59	-1.296113
TCGA-AC-A62X-01A-11D-A89E-36	chr1	13326001	16483000	3134	-0.488851
TCGA-AC-A62X-01A-11D-A89E-36	chr1	16483001	16488000	5	-0.591479
TCGA-AC-A62X-01A-11D-A89E-36	chr1	16488001	16603000	82	-0.598978
TCGA-AC-A62X-01A-11D-A89E-36	chr1	16604001	16877000	134	-0.996034
TCGA-AC-A62X-01A-11D-A89E-36	chr1	16877001	16910000	33	-0.527608
TCGA-AC-A62X-01A-11D-A89E-36	chr1	16910001	31441000	14382	-0.480840
TCGA-AC-A62X-01A-11D-A89E-36	chr1	31441001	34331000	2874	0.370813
TCGA-AC-A62X-01A-11D-A89E-36	chr1	34331001	34636000	299	0.350551
TCGA-AC-A62X-01A-11D-A89E-36	chr1	34636001	34646000	10	-1.376091
TCGA-AC-A62X-01A-11D-A89E-36	chr1	34646001	36330000	1683	0.361156
TCGA-AC-A62X-01A-11D-A89E-36	chr1	36330001	41415000	5051	0.373614
TCGA-AC-A62X-01A-11D-A89E-36	chr1	41415001	42053000	633	0.386689
TCGA-AC-A62X-01A-11D-A89E-36	chr1	42053001	42347000	290	0.338710
TCGA-AC-A62X-01A-11D-A89E-36	chr1	42347001	42417000	70	0.344660
TCGA-AC-A62X-01A-11D-A89E-36	chr1	42417001	43243000	823	0.361876
TCGA-AC-A62X-01A-11D-A89E-36	chr1	43243001	47025000	3757	0.365988
TCGA-AC-A62X-01A-11D-A89E-36	chr1	47025001	47392000	357	0.344142
TCGA-AC-A62X-01A-11D-A89E-36	chr1	47392001	48091000	698	0.381407
TCGA-AC-A62X-01A-11D-A89E-36	chr1	48091001	49272000	1168	0.334722
TCGA-AC-A62X-01A-11D-A89E-36	chr1	49272001	49939000	661	0.284149
TCGA-AC-A62X-01A-11D-A89E-36	chr1	49939001	53092000	3150	0.341114
TCGA-AC-A62X-01A-11D-A89E-36	chr1	53092001	54298000	1204	0.379517
TCGA-AC-A62X-01A-11D-A89E-36	chr1	54298001	55020000	717	0.378966
TCGA-AC-A62X-01A-11D-A89E-36	chr1	55020001	55036000	15	0.458515
TCGA-AC-A62X-01A-11D-A89E-36	chr1	55036001	56921000	1876	0.337471
TCGA-AC-A62X-01A-11D-A89E-36	chr1	56921001	59398000	2457	0.335757
TCGA-AC-A62X-01A-11D-A89E-36	chr1	59398001	62175000	2767	0.337729
TCGA-AC-A62X-01A-11D-A89E-36	chr1	62175001	62217000	42	0.330209
TCGA-AC-A62X-01A-11D-A89E-36	chr1	62217001	62385000	168	0.380825
TCGA-AC-A62X-01A-11D-A89E-36	chr1	62385001	63595000	1205	0.335104
TCGA-AC-A62X-01A-11D-A89E-36	chr1	63595001	67537000	3912	0.344589
TCGA-AC-A62X-01A-11D-A89E-36	chr1	67537001	68455000	917	0.342841
TCGA-AC-A62X-01A-11D-A89E-36	chr1	68455001	72761000	4229	0.281442
TCGA-AC-A62X-01A-11D-A89E-36	chr1	72761001	73675000	910	0.257575
TCGA-AC-A62X-01A-11D-A89E-36	chr1	73675001	73697000	22	0.290680
TCGA-AC-A62X-01A-11D-A89E-36	chr1	73697001	74477000	776	0.261773
TCGA-AC-A62X-01A-11D-A89E-36	chr1	74477001	76186000	1696	0.297508
TCGA-AC-A62X-01A-11D-A89E-36	chr1	76186001	76226000	40	0.309310
TCGA-AC-A62X-01A-11D-A89E-36	chr1	76226001	76902000	675	0.320438
TCGA-AC-A62X-01A-11D-A89E-36	chr1	76902001	77082000	175	0.341196
TCGA-AC-A62X-01A-11D-A89E-36	chr1	77082001	77259000	177	0.288864
TCGA-AC-A62X-01A-11D-A89E-36	chr1	77259001	78182000	917	0.338760
TCGA-AC-A62X-01A-11D-A89E-36	chr1	78182001	78189000	7	-0.450404
TCGA-AC-A62X-01A-11D-A89E-36	chr1	78189001	80336000	2129	0.287863
TCGA-AC-A62X-01A-11D-A89E-36	chr1	80336001	80939000	603	0.259570
TCGA-AC-A62X-01A-11D-A89E-36	chr1	80945001	82669000	1709	0.299734
TCGA-AC-A62X-01A-11D-A89E-36	chr1	82669001	82770000	101	0.261975
TCGA-AC-A62X-01A-11D-A89E-36	chr1	82770001	84770000	1953	0.310685
TCGA-AC-A62X-01A-11D-A89E-36	chr1	84770001	88003000	3195	0.329143
TCGA-AC-A62X-01A-11D-A89E-36	chr1	88003001	89290000	1282	0.318693
TCGA-AC-A62X-01A-11D-A89E-36	chr1	89290001	89769000	465	0.343095
TCGA-AC-A62X-01A-11D-A89E-36	chr1	89769001	90354000	582	0.349491
TCGA-AC-A62X-01A-11D-A89E-36	chr1	90354001	90654000	299	0.307607
TCGA-AC-A62X-01A-11D-A89E-36	chr1	90654001	91560000	896	0.326405
TCGA-AC-A62X-01A-11D-A89E-36	chr1	91560001	95911000	4338	0.345427
TCGA-AC-A62X-01A-11D-A89E-36	chr1	95911001	97440000	1519	0.292628
TCGA-AC-A62X-01A-11D-A89E-36	chr1	97440001	98143000	703	0.347558
TCGA-AC-A62X-01A-11D-A89E-36	chr1	98143001	98296000	153	0.243927
TCGA-AC-A62X-01A-11D-A89E-36	chr1	98296001	99101000	802	0.283491
TCGA-AC-A62X-01A-11D-A89E-36	chr1	99101001	99492000	386	0.300524
TCGA-AC-A62X-01A-11D-A89E-36	chr1	99492001	100835000	1342	0.326568
TCGA-AC-A62X-01A-11D-A89E-36	chr1	100835001	100862000	27	0.321103
TCGA-AC-A62X-01A-11D-A89E-36	chr1	100862001	101216000	354	0.314628
TCGA-AC-A62X-01A-11D-A89E-36	chr1	101216001	101697000	477	0.307934
TCGA-AC-A62X-01A-11D-A89E-36	chr1	101697001	102370000	672	0.259827
TCGA-AC-A62X-01A-11D-A89E-36	chr1	102370001	103594000	1218	0.266417
TCGA-AC-A62X-01A-11D-A89E-36	chr1	103611001	103619000	8	1.459209
TCGA-AC-A62X-01A-11D-A89E-36	chr1	103717001	106947000	3152	0.253240
TCGA-AC-A62X-01A-11D-A89E-36	chr1	106947001	107976000	1029	0.312924
TCGA-AC-A62X-01A-11D-A89E-36	chr1	107976001	109150000	979	0.341356
TCGA-AC-A62X-01A-11D-A89E-36	chr1	109150001	110304000	1126	0.381270
TCGA-AC-A62X-01A-11D-A89E-36	chr1	110304001	110783000	479	0.367749
TCGA-AC-A62X-01A-11D-A89E-36	chr1	110783001	111225000	439	0.314107
TCGA-AC-A62X-01A-11D-A89E-36	chr1	111225001	111734000	509	0.351001
TCGA-AC-A62X-01A-11D-A89E-36	chr1	111734001	114351000	2581	0.348852
TCGA-AC-A62X-01A-11D-A89E-36	chr1	114351001	115588000	1234	0.333317
TCGA-AC-A62X-01A-11D-A89E-36	chr1	115588001	118355000	2758	0.356541
TCGA-AC-A62X-01A-11D-A89E-36	chr1	118355001	118617000	260	0.291843
TCGA-AC-A62X-01A-11D-A89E-36	chr1	118617001	118797000	180	-0.066857
