GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A8-A081-01A-11D-A89H-36	chr1	17001	984000	207	-0.450933
TCGA-A8-A081-01A-11D-A89H-36	chr1	984001	1587000	585	-0.571561
TCGA-A8-A081-01A-11D-A89H-36	chr1	1587001	1961000	330	-0.385807
TCGA-A8-A081-01A-11D-A89H-36	chr1	1961001	2436000	470	-0.505030
TCGA-A8-A081-01A-11D-A89H-36	chr1	2436001	2536000	100	-0.786590
TCGA-A8-A081-01A-11D-A89H-36	chr1	2536001	2982000	328	-0.553866
TCGA-A8-A081-01A-11D-A89H-36	chr1	2982001	3057000	75	-0.464617
TCGA-A8-A081-01A-11D-A89H-36	chr1	3057001	3199000	141	-0.629772
TCGA-A8-A081-01A-11D-A89H-36	chr1	3199001	3291000	92	-0.554647
TCGA-A8-A081-01A-11D-A89H-36	chr1	3291001	3686000	390	-0.571853
TCGA-A8-A081-01A-11D-A89H-36	chr1	3686001	3720000	33	-0.724652
TCGA-A8-A081-01A-11D-A89H-36	chr1	3720001	3831000	111	-0.497119
TCGA-A8-A081-01A-11D-A89H-36	chr1	3831001	4995000	1155	-0.360760
TCGA-A8-A081-01A-11D-A89H-36	chr1	4995001	5842000	845	-0.318683
TCGA-A8-A081-01A-11D-A89H-36	chr1	5842001	6446000	602	-0.448405
TCGA-A8-A081-01A-11D-A89H-36	chr1	6446001	6502000	56	-0.593156
TCGA-A8-A081-01A-11D-A89H-36	chr1	6502001	6591000	89	-0.400941
TCGA-A8-A081-01A-11D-A89H-36	chr1	6591001	6789000	198	-0.328314
TCGA-A8-A081-01A-11D-A89H-36	chr1	6789001	6979000	190	-0.173685
TCGA-A8-A081-01A-11D-A89H-36	chr1	6979001	7910000	929	-0.345021
TCGA-A8-A081-01A-11D-A89H-36	chr1	7910001	8141000	231	-0.228686
TCGA-A8-A081-01A-11D-A89H-36	chr1	8141001	8213000	72	-0.272666
TCGA-A8-A081-01A-11D-A89H-36	chr1	8213001	8230000	17	-0.251320
TCGA-A8-A081-01A-11D-A89H-36	chr1	8230001	8290000	60	-0.315217
TCGA-A8-A081-01A-11D-A89H-36	chr1	8290001	9118000	824	-0.250877
TCGA-A8-A081-01A-11D-A89H-36	chr1	9118001	9909000	790	-0.345296
TCGA-A8-A081-01A-11D-A89H-36	chr1	9909001	10671000	761	-0.255534
TCGA-A8-A081-01A-11D-A89H-36	chr1	10671001	10755000	84	-0.536084
TCGA-A8-A081-01A-11D-A89H-36	chr1	10755001	10948000	193	-0.394706
TCGA-A8-A081-01A-11D-A89H-36	chr1	10948001	12046000	1098	-0.333380
TCGA-A8-A081-01A-11D-A89H-36	chr1	12046001	12126000	80	-0.353490
TCGA-A8-A081-01A-11D-A89H-36	chr1	12126001	15315000	2784	-0.275367
TCGA-A8-A081-01A-11D-A89H-36	chr1	15315001	15321000	6	-2.902279
TCGA-A8-A081-01A-11D-A89H-36	chr1	15321001	15551000	230	-0.320375
TCGA-A8-A081-01A-11D-A89H-36	chr1	15551001	15724000	173	-0.216003
TCGA-A8-A081-01A-11D-A89H-36	chr1	15724001	15840000	113	-0.413427
TCGA-A8-A081-01A-11D-A89H-36	chr1	15840001	15981000	141	-0.236362
TCGA-A8-A081-01A-11D-A89H-36	chr1	15981001	16140000	158	-0.519075
TCGA-A8-A081-01A-11D-A89H-36	chr1	16140001	16166000	26	-0.535206
