GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A7-A26F-01A-21D-A89A-36	chr1	17001	3405000	2440	-0.258246
TCGA-A7-A26F-01A-21D-A89A-36	chr1	3405001	3495000	89	-0.272891
TCGA-A7-A26F-01A-21D-A89A-36	chr1	3495001	3628000	132	-0.270745
TCGA-A7-A26F-01A-21D-A89A-36	chr1	3628001	3659000	30	-0.284034
TCGA-A7-A26F-01A-21D-A89A-36	chr1	3659001	4277000	609	-0.273559
TCGA-A7-A26F-01A-21D-A89A-36	chr1	4277001	4331000	54	-0.278819
TCGA-A7-A26F-01A-21D-A89A-36	chr1	4331001	4572000	240	-0.295055
TCGA-A7-A26F-01A-21D-A89A-36	chr1	4572001	4874000	302	-0.304724
TCGA-A7-A26F-01A-21D-A89A-36	chr1	4874001	4967000	93	-0.283379
TCGA-A7-A26F-01A-21D-A89A-36	chr1	4967001	5854000	885	-0.288623
TCGA-A7-A26F-01A-21D-A89A-36	chr1	5854001	6085000	229	-0.275246
TCGA-A7-A26F-01A-21D-A89A-36	chr1	6085001	6378000	293	-0.252445
TCGA-A7-A26F-01A-21D-A89A-36	chr1	6378001	6386000	8	-1.859312
TCGA-A7-A26F-01A-21D-A89A-36	chr1	6386001	8274000	1886	-0.273510
TCGA-A7-A26F-01A-21D-A89A-36	chr1	8274001	8291000	17	-0.303889
TCGA-A7-A26F-01A-21D-A89A-36	chr1	8291001	9052000	759	-0.268202
TCGA-A7-A26F-01A-21D-A89A-36	chr1	9052001	9221000	166	-0.253918
TCGA-A7-A26F-01A-21D-A89A-36	chr1	9221001	9229000	8	-0.318713
TCGA-A7-A26F-01A-21D-A89A-36	chr1	9229001	9404000	175	-0.251582
TCGA-A7-A26F-01A-21D-A89A-36	chr1	9404001	9442000	38	-0.238120
TCGA-A7-A26F-01A-21D-A89A-36	chr1	9442001	10908000	1465	-0.273930
TCGA-A7-A26F-01A-21D-A89A-36	chr1	10908001	11429000	521	-0.269132
TCGA-A7-A26F-01A-21D-A89A-36	chr1	11429001	11610000	181	-0.242543
TCGA-A7-A26F-01A-21D-A89A-36	chr1	11610001	11667000	57	-0.247077
TCGA-A7-A26F-01A-21D-A89A-36	chr1	11667001	12710000	1043	-0.270048
TCGA-A7-A26F-01A-21D-A89A-36	chr1	12710001	12791000	80	-0.284864
TCGA-A7-A26F-01A-21D-A89A-36	chr1	12791001	13946000	755	-0.280841
TCGA-A7-A26F-01A-21D-A89A-36	chr1	13946001	15758000	1808	-0.279064
TCGA-A7-A26F-01A-21D-A89A-36	chr1	15758001	15804000	46	-0.260741
TCGA-A7-A26F-01A-21D-A89A-36	chr1	15804001	16044000	236	-0.274004
TCGA-A7-A26F-01A-21D-A89A-36	chr1	16044001	16211000	167	-0.220242
TCGA-A7-A26F-01A-21D-A89A-36	chr1	16211001	16568000	337	-0.268212
TCGA-A7-A26F-01A-21D-A89A-36	chr1	16574001	16607000	25	0.461084
TCGA-A7-A26F-01A-21D-A89A-36	chr1	16607001	16646000	39	-0.357565
TCGA-A7-A26F-01A-21D-A89A-36	chr1	16646001	16719000	33	-0.048609
TCGA-A7-A26F-01A-21D-A89A-36	chr1	16719001	16730000	11	0.174830
TCGA-A7-A26F-01A-21D-A89A-36	chr1	16730001	16761000	6	-0.707972
TCGA-A7-A26F-01A-21D-A89A-36	chr1	16764001	16949000	113	0.139677
TCGA-A7-A26F-01A-21D-A89A-36	chr1	16949001	20277000	3324	-0.267745
TCGA-A7-A26F-01A-21D-A89A-36	chr1	20277001	21268000	986	-0.274142
TCGA-A7-A26F-01A-21D-A89A-36	chr1	21268001	21554000	274	-0.427579
TCGA-A7-A26F-01A-21D-A89A-36	chr1	21554001	22025000	466	-0.311363
TCGA-A7-A26F-01A-21D-A89A-36	chr1	22025001	24138000	2110	-0.229991
TCGA-A7-A26F-01A-21D-A89A-36	chr1	24138001	28132000	3885	-0.236405
TCGA-A7-A26F-01A-21D-A89A-36	chr1	28132001	28307000	175	-0.256734
TCGA-A7-A26F-01A-21D-A89A-36	chr1	28307001	31450000	3133	-0.246893
TCGA-A7-A26F-01A-21D-A89A-36	chr1	31450001	31603000	152	1.094451
TCGA-A7-A26F-01A-21D-A89A-36	chr1	31603001	33959000	2348	1.096648
TCGA-A7-A26F-01A-21D-A89A-36	chr1	33959001	34729000	757	1.053130
TCGA-A7-A26F-01A-21D-A89A-36	chr1	34729001	34763000	34	1.077479
TCGA-A7-A26F-01A-21D-A89A-36	chr1	34763001	34844000	81	1.075300
TCGA-A7-A26F-01A-21D-A89A-36	chr1	34844001	35142000	298	1.073227
TCGA-A7-A26F-01A-21D-A89A-36	chr1	35142001	36213000	1070	0.567880
TCGA-A7-A26F-01A-21D-A89A-36	chr1	36213001	36314000	101	1.059444
TCGA-A7-A26F-01A-21D-A89A-36	chr1	36314001	36483000	169	0.587462
TCGA-A7-A26F-01A-21D-A89A-36	chr1	36483001	36510000	27	1.070148
TCGA-A7-A26F-01A-21D-A89A-36	chr1	36510001	36589000	78	0.587309
TCGA-A7-A26F-01A-21D-A89A-36	chr1	36589001	36748000	159	1.081694
TCGA-A7-A26F-01A-21D-A89A-36	chr1	36748001	36787000	39	0.867561
TCGA-A7-A26F-01A-21D-A89A-36	chr1	36787001	36962000	174	1.074983
TCGA-A7-A26F-01A-21D-A89A-36	chr1	36962001	40556000	3562	0.571123
TCGA-A7-A26F-01A-21D-A89A-36	chr1	40556001	40563000	7	-0.685844
TCGA-A7-A26F-01A-21D-A89A-36	chr1	40563001	48523000	7903	0.575749
TCGA-A7-A26F-01A-21D-A89A-36	chr1	48523001	51068000	2533	0.533269
TCGA-A7-A26F-01A-21D-A89A-36	chr1	51068001	56619000	5533	0.567083
TCGA-A7-A26F-01A-21D-A89A-36	chr1	56619001	58228000	1603	0.522549
TCGA-A7-A26F-01A-21D-A89A-36	chr1	58228001	63660000	5403	0.546181
TCGA-A7-A26F-01A-21D-A89A-36	chr1	63660001	73562000	9790	0.534024
TCGA-A7-A26F-01A-21D-A89A-36	chr1	73562001	121743000	46110	0.190699
TCGA-A7-A26F-01A-21D-A89A-36	chr1	121743001	124103000	184	-0.181281
TCGA-A7-A26F-01A-21D-A89A-36	chr1	124119001	143192000	387	0.076314
TCGA-A7-A26F-01A-21D-A89A-36	chr1	143192001	146186000	940	0.343884
TCGA-A7-A26F-01A-21D-A89A-36	chr1	146228001	186467000	37769	0.180487
TCGA-A7-A26F-01A-21D-A89A-36	chr1	186467001	198103000	11472	0.149436
TCGA-A7-A26F-01A-21D-A89A-36	chr1	198103001	207621000	9223	0.187805
TCGA-A7-A26F-01A-21D-A89A-36	chr1	207621001	222558000	14840	0.062671
TCGA-A7-A26F-01A-21D-A89A-36	chr1	222558001	237476000	14618	0.077746
TCGA-A7-A26F-01A-21D-A89A-36	chr1	237476001	239671000	2186	0.039700
TCGA-A7-A26F-01A-21D-A89A-36	chr1	239671001	243089000	3380	0.052992
TCGA-A7-A26F-01A-21D-A89A-36	chr1	243089001	245255000	2153	0.064112
TCGA-A7-A26F-01A-21D-A89A-36	chr1	245255001	245473000	215	0.118182
TCGA-A7-A26F-01A-21D-A89A-36	chr1	245473001	245485000	12	-1.056686
TCGA-A7-A26F-01A-21D-A89A-36	chr1	245485001	248931000	3272	0.061309
TCGA-A7-A26F-01A-21D-A89A-36	chr2	11001	6105000	5994	0.078490
TCGA-A7-A26F-01A-21D-A89A-36	chr2	6105001	26233000	20038	0.091597
TCGA-A7-A26F-01A-21D-A89A-36	chr2	26233001	29651000	3404	0.110095
TCGA-A7-A26F-01A-21D-A89A-36	chr2	29651001	36612000	6859	0.086547
TCGA-A7-A26F-01A-21D-A89A-36	chr2	36612001	38728000	2113	0.105759
TCGA-A7-A26F-01A-21D-A89A-36	chr2	38728001	38740000	12	0.690166
TCGA-A7-A26F-01A-21D-A89A-36	chr2	38740001	70254000	31360	0.091740
TCGA-A7-A26F-01A-21D-A89A-36	chr2	70254001	77253000	6933	0.099488
TCGA-A7-A26F-01A-21D-A89A-36	chr2	77253001	83829000	6526	0.058154
TCGA-A7-A26F-01A-21D-A89A-36	chr2	83829001	89804000	4584	0.098930
TCGA-A7-A26F-01A-21D-A89A-36	chr2	89804001	89842000	37	0.145208
TCGA-A7-A26F-01A-21D-A89A-36	chr2	89842001	102804000	8580	0.102952
TCGA-A7-A26F-01A-21D-A89A-36	chr2	102804001	103643000	838	0.075080
TCGA-A7-A26F-01A-21D-A89A-36	chr2	103643001	113423000	8427	0.095485
TCGA-A7-A26F-01A-21D-A89A-36	chr2	113423001	113500000	34	0.104232
TCGA-A7-A26F-01A-21D-A89A-36	chr2	113500001	116644000	3065	0.065735
TCGA-A7-A26F-01A-21D-A89A-36	chr2	116644001	123385000	6686	0.089187
TCGA-A7-A26F-01A-21D-A89A-36	chr2	123385001	126453000	3026	0.063535
TCGA-A7-A26F-01A-21D-A89A-36	chr2	126453001	130459000	3861	0.099094
TCGA-A7-A26F-01A-21D-A89A-36	chr2	130560001	130694000	25	-0.485854
TCGA-A7-A26F-01A-21D-A89A-36	chr2	130695001	176200000	45043	0.085285
TCGA-A7-A26F-01A-21D-A89A-36	chr2	176200001	176283000	83	-0.253581
TCGA-A7-A26F-01A-21D-A89A-36	chr2	176283001	189113000	12728	0.079829
TCGA-A7-A26F-01A-21D-A89A-36	chr2	189113001	196288000	7129	0.084460
TCGA-A7-A26F-01A-21D-A89A-36	chr2	196288001	205871000	9531	-0.258947
TCGA-A7-A26F-01A-21D-A89A-36	chr2	205871001	207487000	1606	-0.261341
