GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-C8-A12Q-01A-11D-A724-36	chr1	17001	1030000	252	-0.444420
TCGA-C8-A12Q-01A-11D-A724-36	chr1	1031001	3138000	1924	0.002550
TCGA-C8-A12Q-01A-11D-A724-36	chr1	3138001	3703000	558	-0.449572
TCGA-C8-A12Q-01A-11D-A724-36	chr1	3703001	3718000	15	-0.431996
TCGA-C8-A12Q-01A-11D-A724-36	chr1	3718001	4320000	594	-0.431830
TCGA-C8-A12Q-01A-11D-A724-36	chr1	4320001	4361000	40	-0.419407
TCGA-C8-A12Q-01A-11D-A724-36	chr1	4361001	4366000	5	-0.394885
TCGA-C8-A12Q-01A-11D-A724-36	chr1	4366001	4426000	60	-0.411815
TCGA-C8-A12Q-01A-11D-A724-36	chr1	4426001	4774000	348	-0.441596
TCGA-C8-A12Q-01A-11D-A724-36	chr1	4774001	6519000	1741	0.008443
TCGA-C8-A12Q-01A-11D-A724-36	chr1	6519001	6686000	167	0.170024
TCGA-C8-A12Q-01A-11D-A724-36	chr1	6686001	6925000	239	0.325937
TCGA-C8-A12Q-01A-11D-A724-36	chr1	6925001	7905000	978	-0.007427
TCGA-C8-A12Q-01A-11D-A724-36	chr1	7905001	8072000	167	0.332446
TCGA-C8-A12Q-01A-11D-A724-36	chr1	8072001	8364000	292	0.329840
TCGA-C8-A12Q-01A-11D-A724-36	chr1	8364001	12360000	3990	0.000505
TCGA-C8-A12Q-01A-11D-A724-36	chr1	12360001	12700000	340	-0.427577
TCGA-C8-A12Q-01A-11D-A724-36	chr1	12700001	16536000	3425	0.030881
TCGA-C8-A12Q-01A-11D-A724-36	chr1	16536001	16603000	36	-0.393998
TCGA-C8-A12Q-01A-11D-A724-36	chr1	16604001	16622000	18	-0.187876
TCGA-C8-A12Q-01A-11D-A724-36	chr1	16622001	16949000	187	-0.132612
TCGA-C8-A12Q-01A-11D-A724-36	chr1	16949001	19483000	2530	-0.006656
TCGA-C8-A12Q-01A-11D-A724-36	chr1	19483001	20804000	1320	0.322230
TCGA-C8-A12Q-01A-11D-A724-36	chr1	20804001	31432000	10485	-0.010375
TCGA-C8-A12Q-01A-11D-A724-36	chr1	31432001	31643000	210	0.956242
TCGA-C8-A12Q-01A-11D-A724-36	chr1	31643001	31691000	48	1.006368
TCGA-C8-A12Q-01A-11D-A724-36	chr1	31691001	32263000	572	0.341989
