GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-BH-A0HN-01A-11D-A892-36	chr1	17001	5053000	4075	-0.180693
TCGA-BH-A0HN-01A-11D-A892-36	chr1	5053001	5070000	17	-1.272143
TCGA-BH-A0HN-01A-11D-A892-36	chr1	5070001	13122000	7817	-0.190353
TCGA-BH-A0HN-01A-11D-A892-36	chr1	13170001	13173000	3	-30.032330
TCGA-BH-A0HN-01A-11D-A892-36	chr1	13224001	16577000	3240	-0.182474
TCGA-BH-A0HN-01A-11D-A892-36	chr1	16577001	16949000	224	0.065755
TCGA-BH-A0HN-01A-11D-A892-36	chr1	16949001	26438000	9361	-0.172161
TCGA-BH-A0HN-01A-11D-A892-36	chr1	26438001	28825000	2377	-0.233306
TCGA-BH-A0HN-01A-11D-A892-36	chr1	28825001	49200000	20248	-0.152441
TCGA-BH-A0HN-01A-11D-A892-36	chr1	49200001	49218000	18	-1.392689
TCGA-BH-A0HN-01A-11D-A892-36	chr1	49218001	49462000	242	-0.070274
TCGA-BH-A0HN-01A-11D-A892-36	chr1	49462001	49472000	10	-2.030335
TCGA-BH-A0HN-01A-11D-A892-36	chr1	49472001	50103000	626	-0.015381
TCGA-BH-A0HN-01A-11D-A892-36	chr1	50103001	50133000	30	-1.057797
TCGA-BH-A0HN-01A-11D-A892-36	chr1	50133001	56050000	5901	-0.156581
TCGA-BH-A0HN-01A-11D-A892-36	chr1	56050001	56069000	19	-1.526468
TCGA-BH-A0HN-01A-11D-A892-36	chr1	56069001	57348000	1275	-0.219063
TCGA-BH-A0HN-01A-11D-A892-36	chr1	57348001	57362000	14	-1.254837
TCGA-BH-A0HN-01A-11D-A892-36	chr1	57362001	59999000	2614	-0.190296
TCGA-BH-A0HN-01A-11D-A892-36	chr1	59999001	60015000	16	-1.588772
TCGA-BH-A0HN-01A-11D-A892-36	chr1	60015001	60191000	174	-0.249488
TCGA-BH-A0HN-01A-11D-A892-36	chr1	60191001	60203000	12	-1.777174
TCGA-BH-A0HN-01A-11D-A892-36	chr1	60203001	60383000	180	-0.401985
TCGA-BH-A0HN-01A-11D-A892-36	chr1	60383001	60397000	14	-2.145849
TCGA-BH-A0HN-01A-11D-A892-36	chr1	60397001	65584000	5164	-0.154064
TCGA-BH-A0HN-01A-11D-A892-36	chr1	65584001	65601000	17	-0.606284
TCGA-BH-A0HN-01A-11D-A892-36	chr1	65601001	65939000	335	-0.150725
TCGA-BH-A0HN-01A-11D-A892-36	chr1	65939001	65959000	20	-1.537560
TCGA-BH-A0HN-01A-11D-A892-36	chr1	65959001	66488000	524	-0.284134
TCGA-BH-A0HN-01A-11D-A892-36	chr1	66488001	66500000	12	-1.502665
TCGA-BH-A0HN-01A-11D-A892-36	chr1	66500001	66550000	50	-0.210942
TCGA-BH-A0HN-01A-11D-A892-36	chr1	66550001	66567000	17	-1.751610
TCGA-BH-A0HN-01A-11D-A892-36	chr1	66567001	68515000	1938	-0.150381
TCGA-BH-A0HN-01A-11D-A892-36	chr1	68515001	68530000	15	-1.395940
TCGA-BH-A0HN-01A-11D-A892-36	chr1	68530001	69422000	885	-0.161727
TCGA-BH-A0HN-01A-11D-A892-36	chr1	69422001	69444000	22	-2.650937
TCGA-BH-A0HN-01A-11D-A892-36	chr1	69444001	71246000	1790	-0.138455
TCGA-BH-A0HN-01A-11D-A892-36	chr1	71246001	71264000	18	-1.994949
TCGA-BH-A0HN-01A-11D-A892-36	chr1	71264001	71467000	203	-0.090959
TCGA-BH-A0HN-01A-11D-A892-36	chr1	71467001	71492000	25	-1.546821
TCGA-BH-A0HN-01A-11D-A892-36	chr1	71492001	71527000	29	-0.187179
TCGA-BH-A0HN-01A-11D-A892-36	chr1	71527001	71561000	34	-3.668341
TCGA-BH-A0HN-01A-11D-A892-36	chr1	71561001	71816000	255	-0.139988
TCGA-BH-A0HN-01A-11D-A892-36	chr1	71816001	71835000	19	-2.391885
TCGA-BH-A0HN-01A-11D-A892-36	chr1	71835001	72042000	200	-0.130273
TCGA-BH-A0HN-01A-11D-A892-36	chr1	72042001	72063000	21	-1.876494
TCGA-BH-A0HN-01A-11D-A892-36	chr1	72063001	72175000	112	-0.109135
TCGA-BH-A0HN-01A-11D-A892-36	chr1	72175001	72200000	25	-1.200659
TCGA-BH-A0HN-01A-11D-A892-36	chr1	72200001	72697000	452	-0.111073
TCGA-BH-A0HN-01A-11D-A892-36	chr1	72697001	72712000	15	-2.531328
TCGA-BH-A0HN-01A-11D-A892-36	chr1	72712001	72807000	95	-0.317427
TCGA-BH-A0HN-01A-11D-A892-36	chr1	72807001	72824000	17	-1.419246
TCGA-BH-A0HN-01A-11D-A892-36	chr1	72824001	73451000	623	-0.133622
TCGA-BH-A0HN-01A-11D-A892-36	chr1	73451001	73470000	19	-2.225731
TCGA-BH-A0HN-01A-11D-A892-36	chr1	73470001	73918000	448	-0.254586
TCGA-BH-A0HN-01A-11D-A892-36	chr1	73918001	73999000	80	-1.235336
TCGA-BH-A0HN-01A-11D-A892-36	chr1	73999001	74210000	211	-0.078719
TCGA-BH-A0HN-01A-11D-A892-36	chr1	74210001	74234000	24	-1.036518
TCGA-BH-A0HN-01A-11D-A892-36	chr1	74234001	74362000	128	0.069448
TCGA-BH-A0HN-01A-11D-A892-36	chr1	74362001	74380000	18	-1.958601
TCGA-BH-A0HN-01A-11D-A892-36	chr1	74380001	74420000	40	-0.108081
TCGA-BH-A0HN-01A-11D-A892-36	chr1	74420001	74439000	19	-1.644766
TCGA-BH-A0HN-01A-11D-A892-36	chr1	74439001	74766000	324	-0.316084
TCGA-BH-A0HN-01A-11D-A892-36	chr1	74766001	74788000	22	-2.408736
TCGA-BH-A0HN-01A-11D-A892-36	chr1	74788001	74819000	31	-0.559730
TCGA-BH-A0HN-01A-11D-A892-36	chr1	74819001	74849000	30	-2.446480
TCGA-BH-A0HN-01A-11D-A892-36	chr1	74849001	75074000	225	-0.072068
TCGA-BH-A0HN-01A-11D-A892-36	chr1	75074001	75094000	20	-1.883405
TCGA-BH-A0HN-01A-11D-A892-36	chr1	75094001	75236000	142	-0.030472
TCGA-BH-A0HN-01A-11D-A892-36	chr1	75236001	75250000	14	-1.240040
TCGA-BH-A0HN-01A-11D-A892-36	chr1	75250001	76296000	1033	-0.120996
TCGA-BH-A0HN-01A-11D-A892-36	chr1	76296001	76315000	19	-1.193454
TCGA-BH-A0HN-01A-11D-A892-36	chr1	76315001	76809000	493	-0.272534
TCGA-BH-A0HN-01A-11D-A892-36	chr1	76809001	76828000	19	-1.493549
TCGA-BH-A0HN-01A-11D-A892-36	chr1	76828001	76932000	104	-0.184874
TCGA-BH-A0HN-01A-11D-A892-36	chr1	76932001	76950000	18	-1.481720
TCGA-BH-A0HN-01A-11D-A892-36	chr1	76950001	78320000	1355	-0.105206
TCGA-BH-A0HN-01A-11D-A892-36	chr1	78320001	78351000	31	-1.554931
TCGA-BH-A0HN-01A-11D-A892-36	chr1	78351001	78914000	557	-0.153526
TCGA-BH-A0HN-01A-11D-A892-36	chr1	78914001	78928000	14	-1.933805
TCGA-BH-A0HN-01A-11D-A892-36	chr1	78928001	79071000	143	-0.134642
TCGA-BH-A0HN-01A-11D-A892-36	chr1	79071001	79088000	17	-1.954845
TCGA-BH-A0HN-01A-11D-A892-36	chr1	79088001	80292000	1196	-0.067942
TCGA-BH-A0HN-01A-11D-A892-36	chr1	80292001	80312000	20	-2.420233
TCGA-BH-A0HN-01A-11D-A892-36	chr1	80312001	80554000	242	-0.076170
TCGA-BH-A0HN-01A-11D-A892-36	chr1	80554001	80574000	20	-1.366148
TCGA-BH-A0HN-01A-11D-A892-36	chr1	80574001	80753000	179	-0.033096
TCGA-BH-A0HN-01A-11D-A892-36	chr1	80753001	80769000	16	-2.390290
TCGA-BH-A0HN-01A-11D-A892-36	chr1	80769001	80979000	200	-0.084991
TCGA-BH-A0HN-01A-11D-A892-36	chr1	80979001	80996000	17	-1.549168
TCGA-BH-A0HN-01A-11D-A892-36	chr1	80996001	82079000	1082	-0.110220
TCGA-BH-A0HN-01A-11D-A892-36	chr1	82079001	82098000	19	-1.190102
TCGA-BH-A0HN-01A-11D-A892-36	chr1	82098001	82197000	96	-0.216285
TCGA-BH-A0HN-01A-11D-A892-36	chr1	82197001	82213000	16	-1.476540
TCGA-BH-A0HN-01A-11D-A892-36	chr1	82213001	82440000	222	-0.145974
TCGA-BH-A0HN-01A-11D-A892-36	chr1	82440001	82452000	12	-1.607855
TCGA-BH-A0HN-01A-11D-A892-36	chr1	82452001	82473000	21	-3.222638
TCGA-BH-A0HN-01A-11D-A892-36	chr1	82473001	82716000	241	-0.162915
TCGA-BH-A0HN-01A-11D-A892-36	chr1	82716001	82767000	51	-1.624060
TCGA-BH-A0HN-01A-11D-A892-36	chr1	82767001	82826000	59	-0.175641
TCGA-BH-A0HN-01A-11D-A892-36	chr1	82826001	82844000	18	-2.351715
TCGA-BH-A0HN-01A-11D-A892-36	chr1	82844001	83078000	234	-0.225290
TCGA-BH-A0HN-01A-11D-A892-36	chr1	83078001	83098000	20	-2.665905
TCGA-BH-A0HN-01A-11D-A892-36	chr1	83098001	83386000	259	-0.124356
TCGA-BH-A0HN-01A-11D-A892-36	chr1	83386001	83432000	39	-1.333612
TCGA-BH-A0HN-01A-11D-A892-36	chr1	83432001	83878000	445	-0.261085
TCGA-BH-A0HN-01A-11D-A892-36	chr1	83878001	83908000	29	-1.367874
TCGA-BH-A0HN-01A-11D-A892-36	chr1	83908001	86572000	2624	-0.103277
TCGA-BH-A0HN-01A-11D-A892-36	chr1	86572001	86592000	20	-1.898940
TCGA-BH-A0HN-01A-11D-A892-36	chr1	86592001	87837000	1238	-0.087464
TCGA-BH-A0HN-01A-11D-A892-36	chr1	87837001	87995000	158	-0.357667
TCGA-BH-A0HN-01A-11D-A892-36	chr1	87995001	88018000	23	-1.668556
TCGA-BH-A0HN-01A-11D-A892-36	chr1	88018001	88140000	122	-0.169917
TCGA-BH-A0HN-01A-11D-A892-36	chr1	88140001	88161000	21	-2.010996
TCGA-BH-A0HN-01A-11D-A892-36	chr1	88161001	88250000	88	-0.234100
TCGA-BH-A0HN-01A-11D-A892-36	chr1	88250001	88270000	20	-2.073653
TCGA-BH-A0HN-01A-11D-A892-36	chr1	88270001	88294000	24	-0.150371
TCGA-BH-A0HN-01A-11D-A892-36	chr1	88294001	88313000	19	-1.561703
TCGA-BH-A0HN-01A-11D-A892-36	chr1	88313001	88519000	202	-0.210208
TCGA-BH-A0HN-01A-11D-A892-36	chr1	88519001	88559000	40	-1.415764
TCGA-BH-A0HN-01A-11D-A892-36	chr1	88559001	90075000	1500	-0.071090
TCGA-BH-A0HN-01A-11D-A892-36	chr1	90075001	90407000	330	-0.299175
TCGA-BH-A0HN-01A-11D-A892-36	chr1	90407001	90453000	46	-1.481019
TCGA-BH-A0HN-01A-11D-A892-36	chr1	90453001	95279000	4807	-0.109626
TCGA-BH-A0HN-01A-11D-A892-36	chr1	95279001	95580000	297	-0.320421
TCGA-BH-A0HN-01A-11D-A892-36	chr1	95580001	95594000	14	-2.817177
TCGA-BH-A0HN-01A-11D-A892-36	chr1	95594001	96321000	723	-0.183236
TCGA-BH-A0HN-01A-11D-A892-36	chr1	96321001	96343000	22	-1.625439
TCGA-BH-A0HN-01A-11D-A892-36	chr1	96343001	97303000	958	-0.097154
TCGA-BH-A0HN-01A-11D-A892-36	chr1	97303001	97318000	15	-2.020046
TCGA-BH-A0HN-01A-11D-A892-36	chr1	97322001	97382000	60	-0.083253
TCGA-BH-A0HN-01A-11D-A892-36	chr1	97382001	97398000	16	-1.338266
TCGA-BH-A0HN-01A-11D-A892-36	chr1	97398001	97497000	99	-0.111656
TCGA-BH-A0HN-01A-11D-A892-36	chr1	97497001	97514000	17	-2.389437
TCGA-BH-A0HN-01A-11D-A892-36	chr1	97514001	97868000	354	-0.118012
TCGA-BH-A0HN-01A-11D-A892-36	chr1	97868001	97912000	44	-2.081604
TCGA-BH-A0HN-01A-11D-A892-36	chr1	97912001	98073000	161	-0.104730
TCGA-BH-A0HN-01A-11D-A892-36	chr1	98073001	98145000	72	-0.761532
TCGA-BH-A0HN-01A-11D-A892-36	chr1	98145001	98184000	39	-1.710517
TCGA-BH-A0HN-01A-11D-A892-36	chr1	98184001	98414000	230	-0.279321
TCGA-BH-A0HN-01A-11D-A892-36	chr1	98414001	98433000	19	-1.618500
TCGA-BH-A0HN-01A-11D-A892-36	chr1	98433001	98489000	56	-0.347527
TCGA-BH-A0HN-01A-11D-A892-36	chr1	98489001	98505000	16	-1.718079
TCGA-BH-A0HN-01A-11D-A892-36	chr1	98505001	98970000	463	-0.157907
TCGA-BH-A0HN-01A-11D-A892-36	chr1	98970001	98990000	19	-2.006464
TCGA-BH-A0HN-01A-11D-A892-36	chr1	98990001	99227000	235	-0.183195
TCGA-BH-A0HN-01A-11D-A892-36	chr1	99227001	99246000	19	-1.327298
TCGA-BH-A0HN-01A-11D-A892-36	chr1	99246001	99344000	98	-0.027315
TCGA-BH-A0HN-01A-11D-A892-36	chr1	99344001	99400000	53	-0.853936
TCGA-BH-A0HN-01A-11D-A892-36	chr1	99400001	99479000	79	-0.021385
TCGA-BH-A0HN-01A-11D-A892-36	chr1	99479001	99493000	14	-1.859729
TCGA-BH-A0HN-01A-11D-A892-36	chr1	99493001	100716000	1222	-0.147998
TCGA-BH-A0HN-01A-11D-A892-36	chr1	100716001	100733000	17	-1.764056
TCGA-BH-A0HN-01A-11D-A892-36	chr1	100733001	100866000	133	-0.043174
TCGA-BH-A0HN-01A-11D-A892-36	chr1	100866001	100882000	16	-1.618544
TCGA-BH-A0HN-01A-11D-A892-36	chr1	100882001	101475000	592	-0.118857
TCGA-BH-A0HN-01A-11D-A892-36	chr1	101475001	101507000	32	-1.024527
TCGA-BH-A0HN-01A-11D-A892-36	chr1	101507001	101794000	284	-0.270150
TCGA-BH-A0HN-01A-11D-A892-36	chr1	101794001	101809000	15	-1.659411
TCGA-BH-A0HN-01A-11D-A892-36	chr1	101809001	101872000	63	-0.046737
TCGA-BH-A0HN-01A-11D-A892-36	chr1	101872001	101888000	16	-2.057910
TCGA-BH-A0HN-01A-11D-A892-36	chr1	101888001	102354000	465	-0.174613
TCGA-BH-A0HN-01A-11D-A892-36	chr1	102354001	103213000	855	-0.048788
TCGA-BH-A0HN-01A-11D-A892-36	chr1	103213001	103246000	33	-0.877595
TCGA-BH-A0HN-01A-11D-A892-36	chr1	103246001	103263000	17	-2.497285
TCGA-BH-A0HN-01A-11D-A892-36	chr1	103263001	103337000	74	0.024756
TCGA-BH-A0HN-01A-11D-A892-36	chr1	103337001	103483000	144	-0.615767
TCGA-BH-A0HN-01A-11D-A892-36	chr1	103483001	103853000	213	-0.064119
TCGA-BH-A0HN-01A-11D-A892-36	chr1	103853001	103867000	14	-1.491136
TCGA-BH-A0HN-01A-11D-A892-36	chr1	103867001	103978000	110	-0.143084
TCGA-BH-A0HN-01A-11D-A892-36	chr1	103978001	104003000	25	-1.557394
TCGA-BH-A0HN-01A-11D-A892-36	chr1	104003001	104116000	111	-0.304104
TCGA-BH-A0HN-01A-11D-A892-36	chr1	104116001	104136000	19	-1.322736
TCGA-BH-A0HN-01A-11D-A892-36	chr1	104136001	104545000	409	-0.091981
TCGA-BH-A0HN-01A-11D-A892-36	chr1	104545001	104577000	32	-0.896516
TCGA-BH-A0HN-01A-11D-A892-36	chr1	104577001	104732000	154	-0.031876
TCGA-BH-A0HN-01A-11D-A892-36	chr1	104732001	104755000	23	-1.355502
TCGA-BH-A0HN-01A-11D-A892-36	chr1	104755001	105331000	561	-0.008393
TCGA-BH-A0HN-01A-11D-A892-36	chr1	105331001	105347000	16	-1.536197
TCGA-BH-A0HN-01A-11D-A892-36	chr1	105347001	105749000	390	0.035588
TCGA-BH-A0HN-01A-11D-A892-36	chr1	105749001	105770000	20	-1.238229
TCGA-BH-A0HN-01A-11D-A892-36	chr1	105770001	105802000	32	0.055281
TCGA-BH-A0HN-01A-11D-A892-36	chr1	105802001	105815000	13	-1.327410
TCGA-BH-A0HN-01A-11D-A892-36	chr1	105815001	105950000	135	-0.110588
TCGA-BH-A0HN-01A-11D-A892-36	chr1	105950001	105967000	16	-1.452633
TCGA-BH-A0HN-01A-11D-A892-36	chr1	105967001	106200000	233	-0.018429
TCGA-BH-A0HN-01A-11D-A892-36	chr1	106200001	106227000	27	-1.678318
TCGA-BH-A0HN-01A-11D-A892-36	chr1	106227001	106271000	44	-0.308083
TCGA-BH-A0HN-01A-11D-A892-36	chr1	106271001	106289000	17	-2.622632
TCGA-BH-A0HN-01A-11D-A892-36	chr1	106289001	106483000	193	-0.079029
TCGA-BH-A0HN-01A-11D-A892-36	chr1	106483001	106501000	18	-1.883498
TCGA-BH-A0HN-01A-11D-A892-36	chr1	106501001	106564000	63	-0.112754
TCGA-BH-A0HN-01A-11D-A892-36	chr1	106564001	106577000	13	-2.116737
TCGA-BH-A0HN-01A-11D-A892-36	chr1	106577001	106693000	116	-0.205755
TCGA-BH-A0HN-01A-11D-A892-36	chr1	106693001	106705000	12	-2.187109
