GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-E2-A1L6-01A-11D-A897-36	chr1	17001	1707000	888	-0.005148
TCGA-E2-A1L6-01A-11D-A897-36	chr1	1715001	1749000	24	0.633006
TCGA-E2-A1L6-01A-11D-A897-36	chr1	1749001	2653000	897	-0.004058
TCGA-E2-A1L6-01A-11D-A897-36	chr1	2653001	2689000	8	0.657980
TCGA-E2-A1L6-01A-11D-A897-36	chr1	2752001	12841000	10031	-0.004247
TCGA-E2-A1L6-01A-11D-A897-36	chr1	12841001	12863000	22	0.517179
TCGA-E2-A1L6-01A-11D-A897-36	chr1	12863001	13122000	39	0.134873
TCGA-E2-A1L6-01A-11D-A897-36	chr1	13170001	13385000	85	-0.244357
TCGA-E2-A1L6-01A-11D-A897-36	chr1	13385001	16602000	3176	-0.006917
TCGA-E2-A1L6-01A-11D-A897-36	chr1	16602001	16620000	17	0.002045
TCGA-E2-A1L6-01A-11D-A897-36	chr1	16620001	16730000	70	0.023274
TCGA-E2-A1L6-01A-11D-A897-36	chr1	16730001	16868000	39	-0.591696
TCGA-E2-A1L6-01A-11D-A897-36	chr1	16868001	16949000	80	-0.032829
TCGA-E2-A1L6-01A-11D-A897-36	chr1	16949001	21990000	5019	-0.000744
TCGA-E2-A1L6-01A-11D-A897-36	chr1	21991001	22011000	20	-0.911799
TCGA-E2-A1L6-01A-11D-A897-36	chr1	22011001	122742000	97272	-0.004133
TCGA-E2-A1L6-01A-11D-A897-36	chr1	122756001	122905000	22	-0.312727
TCGA-E2-A1L6-01A-11D-A897-36	chr1	122912001	122914000	2	0.958502
TCGA-E2-A1L6-01A-11D-A897-36	chr1	122922001	122923000	1	-7.797994
TCGA-E2-A1L6-01A-11D-A897-36	chr1	122925001	122937000	4	0.859499
TCGA-E2-A1L6-01A-11D-A897-36	chr1	122948001	122949000	1	-3.942815
TCGA-E2-A1L6-01A-11D-A897-36	chr1	122998001	123373000	39	0.011841
TCGA-E2-A1L6-01A-11D-A897-36	chr1	123390001	123396000	4	2.202109
TCGA-E2-A1L6-01A-11D-A897-36	chr1	123397001	123559000	27	-0.657695
TCGA-E2-A1L6-01A-11D-A897-36	chr1	123559001	123680000	12	-0.081596
TCGA-E2-A1L6-01A-11D-A897-36	chr1	123682001	123721000	5	0.282659
TCGA-E2-A1L6-01A-11D-A897-36	chr1	123742001	124097000	38	-0.288337
TCGA-E2-A1L6-01A-11D-A897-36	chr1	124098001	124206000	15	1.727982
TCGA-E2-A1L6-01A-11D-A897-36	chr1	124206001	124229000	4	0.252491
TCGA-E2-A1L6-01A-11D-A897-36	chr1	124250001	124251000	1	2.943831
TCGA-E2-A1L6-01A-11D-A897-36	chr1	124268001	124321000	12	0.568177
TCGA-E2-A1L6-01A-11D-A897-36	chr1	124325001	124371000	9	0.000554
TCGA-E2-A1L6-01A-11D-A897-36	chr1	124376001	124553000	34	0.084459
TCGA-E2-A1L6-01A-11D-A897-36	chr1	124555001	124592000	9	-2.719203
TCGA-E2-A1L6-01A-11D-A897-36	chr1	124597001	124630000	12	-0.253581
TCGA-E2-A1L6-01A-11D-A897-36	chr1	124631001	124643000	3	-3.667712
TCGA-E2-A1L6-01A-11D-A897-36	chr1	124653001	124714000	14	0.332557
TCGA-E2-A1L6-01A-11D-A897-36	chr1	124714001	124716000	2	-2.629054
TCGA-E2-A1L6-01A-11D-A897-36	chr1	124722001	124736000	4	0.181127
TCGA-E2-A1L6-01A-11D-A897-36	chr1	124736001	124764000	9	-1.693488
TCGA-E2-A1L6-01A-11D-A897-36	chr1	124766001	143268000	318	-0.016539
TCGA-E2-A1L6-01A-11D-A897-36	chr1	143270001	143746000	215	0.421485
TCGA-E2-A1L6-01A-11D-A897-36	chr1	143746001	143755000	9	0.816621
TCGA-E2-A1L6-01A-11D-A897-36	chr1	143756001	149056000	2088	0.326121
TCGA-E2-A1L6-01A-11D-A897-36	chr1	149062001	150191000	431	0.314137
TCGA-E2-A1L6-01A-11D-A897-36	chr1	150191001	154465000	4204	0.318807
TCGA-E2-A1L6-01A-11D-A897-36	chr1	154465001	161419000	6903	0.322650
TCGA-E2-A1L6-01A-11D-A897-36	chr1	161419001	164756000	3235	0.320313
TCGA-E2-A1L6-01A-11D-A897-36	chr1	164756001	166832000	2066	0.314187
TCGA-E2-A1L6-01A-11D-A897-36	chr1	166832001	177683000	10760	0.318049
TCGA-E2-A1L6-01A-11D-A897-36	chr1	177683001	181586000	3880	0.319990
