GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	17001	889000	116	-0.133120
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	889001	934000	43	-0.182789
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	935001	973000	38	-0.183285
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	973001	1200000	218	-0.209293
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	1200001	1215000	14	-0.189180
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	1215001	2008000	740	-0.197487
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	2008001	2047000	39	-0.250438
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	2047001	2446000	394	-0.218953
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	2446001	2477000	31	-0.191609
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	2477001	2930000	338	-0.202634
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	2930001	3018000	85	-0.166301
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	3018001	3076000	58	-0.179805
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	3076001	3195000	118	-0.194031
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	3195001	3233000	38	-0.167386
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	3233001	3596000	359	-0.164062
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	3596001	3658000	61	-0.177100
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	3658001	3722000	63	-0.189983
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	3722001	3741000	19	-0.144058
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	3741001	3920000	178	-0.175048
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	3921001	3935000	14	-0.141011
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	3935001	4005000	70	-0.161246
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	4005001	4055000	50	-0.171957
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	4055001	4083000	24	-0.194468
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	4083001	4105000	20	-0.131221
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	4105001	4931000	825	-0.170960
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	4931001	5032000	101	-0.160366
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	5032001	5077000	44	-0.169977
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	5077001	5617000	539	-0.170765
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	5617001	5649000	32	-0.147170
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	5649001	5806000	157	-0.164563
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	5806001	5821000	15	-0.179440
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	5821001	6955000	1132	-0.187669
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	6955001	7032000	77	-0.173711
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	7032001	7557000	524	-0.161148
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	7557001	7650000	93	-0.193997
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	7650001	7959000	308	-0.165369
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	7959001	8127000	168	-0.178864
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	8127001	8251000	124	-0.197779
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	8251001	8290000	39	-0.233856
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	8290001	8412000	122	-0.190537
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	8412001	8825000	411	-0.158477
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	8825001	9262000	434	-0.202123
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	9262001	9280000	18	-0.164921
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	9280001	10541000	1260	-0.199231
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	10541001	11047000	506	-0.189771
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	11047001	11338000	291	-0.189425
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	11338001	11516000	178	-0.195680
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	11516001	11788000	272	-0.202649
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	11788001	12056000	268	-0.221897
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	12056001	12208000	152	-0.214093
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	12208001	12809000	600	-0.158159
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	12809001	12838000	27	-0.190069
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	12838001	13059000	46	-0.254868
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	13104001	13122000	18	-0.136437
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	13170001	13443000	143	-0.214910
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	13443001	13451000	8	-0.240233
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	13451001	13605000	154	-0.211067
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	13605001	13634000	29	-0.182219
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	13634001	13672000	38	-0.188457
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	13672001	14195000	522	-0.140525
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	14195001	14255000	60	-0.104068
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	14255001	14318000	62	-0.120926
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	14318001	14467000	149	-0.095947
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	14467001	14511000	44	-0.073292
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	14511001	14996000	484	-0.157780
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	14996001	15036000	40	-0.193350
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	15036001	16112000	1071	-0.185946
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	16112001	16177000	65	-0.182259
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	16177001	16422000	245	-0.196513
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	16422001	16481000	59	-0.206929
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	16481001	16646000	131	-0.137471
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	16646001	16865000	82	-0.018517
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	16867001	16999000	129	-0.888404
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	16999001	18319000	1319	-0.184345
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	18319001	18349000	30	-0.165370
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	18349001	19939000	1589	-0.166581
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	19939001	22076000	2115	-0.178143
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	22076001	23580000	1504	0.311120
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	23580001	24102000	519	0.279620
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	24102001	26180000	1980	0.308147
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	26180001	27957000	1767	0.273460
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	27957001	28132000	174	0.310632
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	28132001	28595000	463	0.263907
TCGA-AR-A2LR-01A-12D-A89B-36	chr1	28595001	30961000	2356	0.305307
