GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-E2-A14P-01A-31D-A19H-09	chr1	17001	1040000	261	-0.270327
TCGA-E2-A14P-01A-31D-A19H-09	chr1	1040001	1240000	193	-0.524209
TCGA-E2-A14P-01A-31D-A19H-09	chr1	1240001	1334000	90	-0.378228
TCGA-E2-A14P-01A-31D-A19H-09	chr1	1334001	1350000	16	-0.757226
TCGA-E2-A14P-01A-31D-A19H-09	chr1	1351001	1689000	321	-0.312181
TCGA-E2-A14P-01A-31D-A19H-09	chr1	1689001	1742000	28	-2.314384
TCGA-E2-A14P-01A-31D-A19H-09	chr1	1742001	1779000	31	-0.285293
TCGA-E2-A14P-01A-31D-A19H-09	chr1	1779001	1970000	191	-0.157328
TCGA-E2-A14P-01A-31D-A19H-09	chr1	1970001	2227000	255	-0.303437
TCGA-E2-A14P-01A-31D-A19H-09	chr1	2227001	2288000	59	-0.330683
TCGA-E2-A14P-01A-31D-A19H-09	chr1	2288001	2556000	267	-0.392730
TCGA-E2-A14P-01A-31D-A19H-09	chr1	2556001	3953000	1270	-0.252788
TCGA-E2-A14P-01A-31D-A19H-09	chr1	3953001	4095000	138	-0.138776
TCGA-E2-A14P-01A-31D-A19H-09	chr1	4095001	5855000	1755	-0.121699
TCGA-E2-A14P-01A-31D-A19H-09	chr1	5855001	6772000	915	-0.175628
TCGA-E2-A14P-01A-31D-A19H-09	chr1	6772001	7965000	1191	-0.130116
TCGA-E2-A14P-01A-31D-A19H-09	chr1	7965001	8230000	265	-0.121222
TCGA-E2-A14P-01A-31D-A19H-09	chr1	8230001	9118000	884	-0.126882
TCGA-E2-A14P-01A-31D-A19H-09	chr1	9118001	9585000	466	-0.029018
TCGA-E2-A14P-01A-31D-A19H-09	chr1	9585001	10216000	630	-0.147547
TCGA-E2-A14P-01A-31D-A19H-09	chr1	10216001	10422000	206	-0.106145
TCGA-E2-A14P-01A-31D-A19H-09	chr1	10422001	10966000	544	-0.175818
TCGA-E2-A14P-01A-31D-A19H-09	chr1	10966001	11816000	850	-0.135337
TCGA-E2-A14P-01A-31D-A19H-09	chr1	11816001	12164000	348	-0.148304
TCGA-E2-A14P-01A-31D-A19H-09	chr1	12164001	13122000	735	-0.106219
TCGA-E2-A14P-01A-31D-A19H-09	chr1	13170001	13173000	3	-29.907532
TCGA-E2-A14P-01A-31D-A19H-09	chr1	13224001	13455000	152	-0.316481
TCGA-E2-A14P-01A-31D-A19H-09	chr1	13455001	13634000	179	-0.163912
TCGA-E2-A14P-01A-31D-A19H-09	chr1	13634001	13804000	170	-0.099089
TCGA-E2-A14P-01A-31D-A19H-09	chr1	13804001	15047000	1240	-0.094040
TCGA-E2-A14P-01A-31D-A19H-09	chr1	15047001	15166000	119	0.153680
TCGA-E2-A14P-01A-31D-A19H-09	chr1	15166001	15684000	517	0.840912
TCGA-E2-A14P-01A-31D-A19H-09	chr1	15684001	16507000	818	0.437609
TCGA-E2-A14P-01A-31D-A19H-09	chr1	16507001	16949000	269	-0.009787
TCGA-E2-A14P-01A-31D-A19H-09	chr1	16949001	18382000	1430	0.436517
TCGA-E2-A14P-01A-31D-A19H-09	chr1	18382001	20315000	1932	0.191840
TCGA-E2-A14P-01A-31D-A19H-09	chr1	20315001	21209000	889	-0.117691
TCGA-E2-A14P-01A-31D-A19H-09	chr1	21209001	23198000	1972	0.463178
TCGA-E2-A14P-01A-31D-A19H-09	chr1	23198001	25555000	2256	0.186433
TCGA-E2-A14P-01A-31D-A19H-09	chr1	25555001	26056000	501	0.450194
TCGA-E2-A14P-01A-31D-A19H-09	chr1	26056001	27078000	1016	0.319016
TCGA-E2-A14P-01A-31D-A19H-09	chr1	27078001	28006000	924	0.189520
TCGA-E2-A14P-01A-31D-A19H-09	chr1	28006001	28078000	72	0.491018
TCGA-E2-A14P-01A-31D-A19H-09	chr1	28078001	28735000	656	0.600316
TCGA-E2-A14P-01A-31D-A19H-09	chr1	28735001	31470000	2725	0.204455
TCGA-E2-A14P-01A-31D-A19H-09	chr1	31470001	32322000	851	0.515060
TCGA-E2-A14P-01A-31D-A19H-09	chr1	32322001	37222000	4876	0.203546
TCGA-E2-A14P-01A-31D-A19H-09	chr1	37222001	38051000	829	0.422291
TCGA-E2-A14P-01A-31D-A19H-09	chr1	38051001	47042000	8922	0.469209
TCGA-E2-A14P-01A-31D-A19H-09	chr1	47042001	47059000	17	1.040720
TCGA-E2-A14P-01A-31D-A19H-09	chr1	47059001	50534000	3445	0.481953
TCGA-E2-A14P-01A-31D-A19H-09	chr1	50534001	51250000	714	0.901309
TCGA-E2-A14P-01A-31D-A19H-09	chr1	51250001	58581000	7295	0.530458
TCGA-E2-A14P-01A-31D-A19H-09	chr1	58581001	60591000	2001	0.745234
TCGA-E2-A14P-01A-31D-A19H-09	chr1	60591001	60870000	277	0.919047
TCGA-E2-A14P-01A-31D-A19H-09	chr1	60870001	62219000	1348	0.776907
TCGA-E2-A14P-01A-31D-A19H-09	chr1	62219001	62397000	178	0.837167
TCGA-E2-A14P-01A-31D-A19H-09	chr1	62397001	62819000	422	0.688932
TCGA-E2-A14P-01A-31D-A19H-09	chr1	62819001	65915000	3075	-0.099605
TCGA-E2-A14P-01A-31D-A19H-09	chr1	65915001	67306000	1377	-0.065887
TCGA-E2-A14P-01A-31D-A19H-09	chr1	67306001	67475000	169	-0.110204
TCGA-E2-A14P-01A-31D-A19H-09	chr1	67475001	67919000	443	-0.090599
TCGA-E2-A14P-01A-31D-A19H-09	chr1	67919001	68012000	93	-0.064470
TCGA-E2-A14P-01A-31D-A19H-09	chr1	68012001	68108000	96	-0.062099
TCGA-E2-A14P-01A-31D-A19H-09	chr1	68108001	68629000	521	-0.087259
TCGA-E2-A14P-01A-31D-A19H-09	chr1	68629001	78055000	9316	-0.092539
TCGA-E2-A14P-01A-31D-A19H-09	chr1	78055001	79635000	1568	-0.072965
TCGA-E2-A14P-01A-31D-A19H-09	chr1	79635001	79713000	78	-0.366790
TCGA-E2-A14P-01A-31D-A19H-09	chr1	79713001	81295000	1566	-0.482457
TCGA-E2-A14P-01A-31D-A19H-09	chr1	81295001	81844000	548	-0.119577
TCGA-E2-A14P-01A-31D-A19H-09	chr1	81844001	87858000	5919	-0.480915
