GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	17001	5557000	4577	-0.141810
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	5557001	20797000	14642	-0.126070
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	20797001	27874000	6945	-0.109032
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	27874001	28514000	639	-0.005289
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	28514001	29754000	1237	-0.169944
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	29754001	32249000	2487	-0.127984
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	32249001	33187000	935	-0.220433
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	33187001	33467000	278	-0.030908
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	33467001	34338000	861	-0.118177
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	34338001	34763000	419	-0.173444
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	34763001	36964000	2198	-0.071204
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	36964001	40097000	3106	-0.117878
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	40097001	47019000	6880	-0.105881
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	47019001	54209000	7155	-0.102467
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	54209001	55001000	787	-0.125599
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	55001001	65896000	10834	-0.094733
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	65896001	67285000	1375	-0.074840
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	67285001	68461000	1175	-0.104283
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	68461001	81789000	13189	-0.091387
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	81789001	90825000	8918	-0.082700
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	90825001	92906000	2070	-0.104022
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	92906001	98670000	5740	-0.084733
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	98670001	108185000	9302	-0.085921
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	108185001	113319000	4885	-0.100670
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	113319001	119893000	6543	-0.091861
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	119893001	124783000	803	-0.069649
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	124802001	143910000	565	0.816357
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	143914001	147053000	840	0.692870
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	147053001	147911000	854	0.524475
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	147911001	150026000	627	0.628409
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	150026001	150642000	616	0.705082
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	150642001	151750000	1100	0.724260
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	151750001	151769000	19	1.230346
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	151769001	155038000	3207	0.525004
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	155038001	155114000	76	0.507286
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	155114001	159376000	4217	0.517597
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	159376001	160188000	807	0.542657
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	160188001	161819000	1542	0.522314
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	161819001	162216000	397	0.551312
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	162216001	162653000	436	0.532808
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	162653001	171894000	9180	0.537188
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	171894001	178544000	6595	0.541466
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	178544001	179593000	1042	0.528773
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	179593001	180140000	546	0.550485
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	180140001	180609000	468	0.545202
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	180609001	181665000	1044	0.578529
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	181665001	182660000	993	0.613771
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	182660001	183974000	1310	0.526872
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	183974001	184275000	301	0.537721
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	184275001	184996000	714	0.619423
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	184996001	192198000	7159	0.627421
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	192198001	196757000	4524	0.624397
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	196760001	196836000	12	-0.922274
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	196844001	196993000	141	0.593448
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	196993001	197197000	204	0.677067
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	197197001	197371000	174	0.819112
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	197371001	197609000	235	0.814567
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	197609001	198571000	955	0.807914
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	198571001	199922000	1342	0.817577
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	199922001	200188000	266	0.780328
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	200188001	202325000	2130	0.791384
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	202325001	205305000	2978	0.800246
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	205305001	205647000	342	0.798901
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	205647001	205916000	267	1.876137
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	205916001	205949000	33	1.655312
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	205949001	206011000	62	1.655090
TCGA-A8-A08B-01A-11D-A88Z-36	chr1	206011001	206440000	201	1.611235
