GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AN-A04A-01A-21D-A89H-36	chr1	17001	860000	87	-0.307462
TCGA-AN-A04A-01A-21D-A89H-36	chr1	860001	1024000	160	-0.329962
TCGA-AN-A04A-01A-21D-A89H-36	chr1	1024001	1159000	127	-0.304716
TCGA-AN-A04A-01A-21D-A89H-36	chr1	1159001	1421000	256	-0.335536
TCGA-AN-A04A-01A-21D-A89H-36	chr1	1421001	1632000	207	-0.321534
TCGA-AN-A04A-01A-21D-A89H-36	chr1	1636001	1671000	28	-0.304941
TCGA-AN-A04A-01A-21D-A89H-36	chr1	1671001	2337000	629	-0.338721
TCGA-AN-A04A-01A-21D-A89H-36	chr1	2337001	2982000	526	-0.342702
TCGA-AN-A04A-01A-21D-A89H-36	chr1	2982001	3067000	85	-0.349199
TCGA-AN-A04A-01A-21D-A89H-36	chr1	3067001	3915000	840	-0.348231
TCGA-AN-A04A-01A-21D-A89H-36	chr1	3915001	3941000	25	-0.354333
TCGA-AN-A04A-01A-21D-A89H-36	chr1	3941001	3956000	15	-0.326228
TCGA-AN-A04A-01A-21D-A89H-36	chr1	3956001	4055000	99	-0.352773
TCGA-AN-A04A-01A-21D-A89H-36	chr1	4055001	5068000	1006	-0.349764
TCGA-AN-A04A-01A-21D-A89H-36	chr1	5068001	6045000	973	-0.343569
TCGA-AN-A04A-01A-21D-A89H-36	chr1	6045001	6077000	32	-0.319020
TCGA-AN-A04A-01A-21D-A89H-36	chr1	6077001	7317000	1239	-0.350827
TCGA-AN-A04A-01A-21D-A89H-36	chr1	7317001	7339000	22	-0.274524
TCGA-AN-A04A-01A-21D-A89H-36	chr1	7339001	8924000	1582	-0.351235
TCGA-AN-A04A-01A-21D-A89H-36	chr1	8924001	9008000	84	-0.361016
TCGA-AN-A04A-01A-21D-A89H-36	chr1	9008001	9127000	116	-0.360341
TCGA-AN-A04A-01A-21D-A89H-36	chr1	9127001	9242000	115	-0.345050
TCGA-AN-A04A-01A-21D-A89H-36	chr1	9242001	10988000	1745	-0.355883
TCGA-AN-A04A-01A-21D-A89H-36	chr1	10988001	11007000	19	-0.347707
TCGA-AN-A04A-01A-21D-A89H-36	chr1	11007001	12583000	1576	-0.352490
TCGA-AN-A04A-01A-21D-A89H-36	chr1	12583001	12595000	12	-0.324658
TCGA-AN-A04A-01A-21D-A89H-36	chr1	12595001	12885000	275	-0.349505
TCGA-AN-A04A-01A-21D-A89H-36	chr1	12885001	13122000	29	-0.300796
TCGA-AN-A04A-01A-21D-A89H-36	chr1	13170001	13173000	3	-9.241555
TCGA-AN-A04A-01A-21D-A89H-36	chr1	13224001	14077000	773	-0.355256
TCGA-AN-A04A-01A-21D-A89H-36	chr1	14077001	14115000	38	-0.327612
