GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-B6-A0WT-01A-11D-A893-36	chr1	17001	12780000	11790	-0.017157
TCGA-B6-A0WT-01A-11D-A893-36	chr1	12780001	12911000	97	-0.990960
TCGA-B6-A0WT-01A-11D-A893-36	chr1	13006001	16606000	3286	-0.009810
TCGA-B6-A0WT-01A-11D-A893-36	chr1	16606001	16649000	43	0.232656
TCGA-B6-A0WT-01A-11D-A893-36	chr1	16649001	16949000	160	0.183929
TCGA-B6-A0WT-01A-11D-A893-36	chr1	16949001	26133000	9057	-0.009383
TCGA-B6-A0WT-01A-11D-A893-36	chr1	26133001	26139000	6	-0.449994
TCGA-B6-A0WT-01A-11D-A893-36	chr1	26139001	122999000	93279	-0.000504
TCGA-B6-A0WT-01A-11D-A893-36	chr1	123013001	123059000	6	-0.570374
TCGA-B6-A0WT-01A-11D-A893-36	chr1	123086001	143186000	503	-0.036556
TCGA-B6-A0WT-01A-11D-A893-36	chr1	143186001	143227000	30	0.195983
TCGA-B6-A0WT-01A-11D-A893-36	chr1	143227001	143242000	12	1.681145
TCGA-B6-A0WT-01A-11D-A893-36	chr1	143245001	143679000	176	0.500181
TCGA-B6-A0WT-01A-11D-A893-36	chr1	143679001	150278000	2673	0.420716
TCGA-B6-A0WT-01A-11D-A893-36	chr1	150278001	150560000	282	0.385218
TCGA-B6-A0WT-01A-11D-A893-36	chr1	150560001	151968000	1400	0.404450
TCGA-B6-A0WT-01A-11D-A893-36	chr1	151968001	156172000	4113	0.411243
TCGA-B6-A0WT-01A-11D-A893-36	chr1	156172001	157003000	828	0.409986
TCGA-B6-A0WT-01A-11D-A893-36	chr1	157003001	158201000	1198	0.417054
TCGA-B6-A0WT-01A-11D-A893-36	chr1	158201001	158412000	210	0.403205
TCGA-B6-A0WT-01A-11D-A893-36	chr1	158412001	158473000	61	0.417296
TCGA-B6-A0WT-01A-11D-A893-36	chr1	158473001	159366000	881	0.414761
TCGA-B6-A0WT-01A-11D-A893-36	chr1	159366001	162700000	3239	0.421968
TCGA-B6-A0WT-01A-11D-A893-36	chr1	162700001	165312000	2599	0.422979
TCGA-B6-A0WT-01A-11D-A893-36	chr1	165312001	168128000	2805	0.415750
TCGA-B6-A0WT-01A-11D-A893-36	chr1	168128001	168337000	209	0.411122
TCGA-B6-A0WT-01A-11D-A893-36	chr1	168337001	168796000	454	0.429113
TCGA-B6-A0WT-01A-11D-A893-36	chr1	168796001	171372000	2547	0.423535
