GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-B6-A0RT-01A-21D-A128-09	chr1	17001	817000	49	-0.353001
TCGA-B6-A0RT-01A-21D-A128-09	chr1	818001	841000	22	0.379614
TCGA-B6-A0RT-01A-21D-A128-09	chr1	841001	859000	15	-0.978153
TCGA-B6-A0RT-01A-21D-A128-09	chr1	859001	1665000	773	0.122245
TCGA-B6-A0RT-01A-21D-A128-09	chr1	1665001	2656000	953	0.184036
TCGA-B6-A0RT-01A-21D-A128-09	chr1	2656001	2776000	8	-0.666833
TCGA-B6-A0RT-01A-21D-A128-09	chr1	2777001	4789000	1991	0.243798
TCGA-B6-A0RT-01A-21D-A128-09	chr1	4789001	5588000	797	0.123775
TCGA-B6-A0RT-01A-21D-A128-09	chr1	5588001	8535000	2941	0.273954
TCGA-B6-A0RT-01A-21D-A128-09	chr1	8535001	11426000	2887	0.015796
TCGA-B6-A0RT-01A-21D-A128-09	chr1	11426001	12162000	736	0.132317
TCGA-B6-A0RT-01A-21D-A128-09	chr1	12162001	12719000	557	0.090695
TCGA-B6-A0RT-01A-21D-A128-09	chr1	12719001	12839000	117	-0.081849
TCGA-B6-A0RT-01A-21D-A128-09	chr1	12839001	12889000	37	-1.115339
TCGA-B6-A0RT-01A-21D-A128-09	chr1	12900001	13366000	92	-0.363746
TCGA-B6-A0RT-01A-21D-A128-09	chr1	13366001	13582000	216	0.144873
TCGA-B6-A0RT-01A-21D-A128-09	chr1	13582001	14184000	601	0.137937
TCGA-B6-A0RT-01A-21D-A128-09	chr1	14184001	15048000	862	0.082163
TCGA-B6-A0RT-01A-21D-A128-09	chr1	15048001	15556000	507	0.157084
TCGA-B6-A0RT-01A-21D-A128-09	chr1	15556001	16554000	987	-0.005055
TCGA-B6-A0RT-01A-21D-A128-09	chr1	16567001	16602000	22	-1.430173
TCGA-B6-A0RT-01A-21D-A128-09	chr1	16602001	16642000	39	0.156889
TCGA-B6-A0RT-01A-21D-A128-09	chr1	16642001	16879000	98	-0.512125
TCGA-B6-A0RT-01A-21D-A128-09	chr1	16879001	16912000	33	-0.088675
TCGA-B6-A0RT-01A-21D-A128-09	chr1	16912001	18835000	1918	-0.054266
