GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-B6-A0WX-01A-11D-A893-36	chr1	17001	2456000	1612	-0.294373
TCGA-B6-A0WX-01A-11D-A893-36	chr1	2456001	3868000	1287	-0.296540
TCGA-B6-A0WX-01A-11D-A893-36	chr1	3868001	6414000	2533	-0.344946
TCGA-B6-A0WX-01A-11D-A893-36	chr1	6414001	6519000	105	-0.288399
TCGA-B6-A0WX-01A-11D-A893-36	chr1	6519001	6936000	417	-0.351583
TCGA-B6-A0WX-01A-11D-A893-36	chr1	6936001	10438000	3494	-0.341846
TCGA-B6-A0WX-01A-11D-A893-36	chr1	10438001	12842000	2401	-0.333131
TCGA-B6-A0WX-01A-11D-A893-36	chr1	12842001	12885000	31	-0.245558
TCGA-B6-A0WX-01A-11D-A893-36	chr1	12885001	15465000	2190	-0.345959
TCGA-B6-A0WX-01A-11D-A893-36	chr1	15465001	16487000	1018	-0.331431
TCGA-B6-A0WX-01A-11D-A893-36	chr1	16487001	16730000	169	-0.246967
TCGA-B6-A0WX-01A-11D-A893-36	chr1	16730001	16864000	37	-1.040755
TCGA-B6-A0WX-01A-11D-A893-36	chr1	16864001	16960000	92	0.031147
TCGA-B6-A0WX-01A-11D-A893-36	chr1	16960001	17826000	864	-0.336056
TCGA-B6-A0WX-01A-11D-A893-36	chr1	17826001	35842000	17848	-0.339863
TCGA-B6-A0WX-01A-11D-A893-36	chr1	35842001	69946000	33903	0.250930
TCGA-B6-A0WX-01A-11D-A893-36	chr1	69946001	77872000	7830	0.214157
TCGA-B6-A0WX-01A-11D-A893-36	chr1	77872001	79634000	1750	0.656266
TCGA-B6-A0WX-01A-11D-A893-36	chr1	79634001	82646000	2987	0.644296
TCGA-B6-A0WX-01A-11D-A893-36	chr1	82646001	84070000	1377	0.666262
TCGA-B6-A0WX-01A-11D-A893-36	chr1	84070001	96396000	12236	0.671133
TCGA-B6-A0WX-01A-11D-A893-36	chr1	96396001	101690000	5275	0.239600
TCGA-B6-A0WX-01A-11D-A893-36	chr1	101690001	106359000	4470	-0.369163
TCGA-B6-A0WX-01A-11D-A893-36	chr1	106359001	110063000	3480	-0.348306
TCGA-B6-A0WX-01A-11D-A893-36	chr1	110063001	113036000	2948	-0.343741
TCGA-B6-A0WX-01A-11D-A893-36	chr1	113036001	115481000	2428	-0.356678
TCGA-B6-A0WX-01A-11D-A893-36	chr1	115481001	116475000	989	0.400663
TCGA-B6-A0WX-01A-11D-A893-36	chr1	116475001	116962000	485	0.920535
TCGA-B6-A0WX-01A-11D-A893-36	chr1	116962001	117299000	337	1.260336
TCGA-B6-A0WX-01A-11D-A893-36	chr1	117299001	117564000	263	1.341591
TCGA-B6-A0WX-01A-11D-A893-36	chr1	117564001	117695000	131	0.903345
TCGA-B6-A0WX-01A-11D-A893-36	chr1	117695001	117812000	117	1.028835
TCGA-B6-A0WX-01A-11D-A893-36	chr1	117812001	120007000	2174	1.086607
TCGA-B6-A0WX-01A-11D-A893-36	chr1	120014001	120574000	90	0.898043
TCGA-B6-A0WX-01A-11D-A893-36	chr1	120671001	120814000	3	-4.837145
TCGA-B6-A0WX-01A-11D-A893-36	chr1	120825001	120851000	4	-29.599826
TCGA-B6-A0WX-01A-11D-A893-36	chr1	120857001	120879000	3	-7.314748
TCGA-B6-A0WX-01A-11D-A893-36	chr1	120879001	120894000	4	-29.550799
TCGA-B6-A0WX-01A-11D-A893-36	chr1	120896001	120902000	4	-29.575772
TCGA-B6-A0WX-01A-11D-A893-36	chr1	120902001	120907000	4	-7.809805
TCGA-B6-A0WX-01A-11D-A893-36	chr1	120907001	120911000	4	-8.657907
TCGA-B6-A0WX-01A-11D-A893-36	chr1	120921001	121604000	264	0.668332
TCGA-B6-A0WX-01A-11D-A893-36	chr1	121735001	124906000	326	0.315508
TCGA-B6-A0WX-01A-11D-A893-36	chr1	124908001	143282000	313	0.774818
TCGA-B6-A0WX-01A-11D-A893-36	chr1	143285001	143936000	250	1.056498
TCGA-B6-A0WX-01A-11D-A893-36	chr1	143937001	145709000	287	0.829114
TCGA-B6-A0WX-01A-11D-A893-36	chr1	145709001	146914000	477	0.895944
TCGA-B6-A0WX-01A-11D-A893-36	chr1	146927001	147015000	41	-0.833356
TCGA-B6-A0WX-01A-11D-A893-36	chr1	147020001	147776000	752	0.878026
TCGA-B6-A0WX-01A-11D-A893-36	chr1	147776001	155014000	5680	0.897789
TCGA-B6-A0WX-01A-11D-A893-36	chr1	155014001	156272000	1228	0.908111
TCGA-B6-A0WX-01A-11D-A893-36	chr1	156272001	161304000	5011	0.898003
TCGA-B6-A0WX-01A-11D-A893-36	chr1	161304001	161508000	176	0.879828
TCGA-B6-A0WX-01A-11D-A893-36	chr1	161508001	161702000	134	1.113782
TCGA-B6-A0WX-01A-11D-A893-36	chr1	161702001	162066000	364	0.890973
TCGA-B6-A0WX-01A-11D-A893-36	chr1	162066001	175101000	12936	0.882130
TCGA-B6-A0WX-01A-11D-A893-36	chr1	175101001	175109000	8	-29.719381
TCGA-B6-A0WX-01A-11D-A893-36	chr1	175109001	178073000	2948	0.873852
TCGA-B6-A0WX-01A-11D-A893-36	chr1	178073001	190522000	12377	0.868377
TCGA-B6-A0WX-01A-11D-A893-36	chr1	190522001	192207000	1678	0.875355
TCGA-B6-A0WX-01A-11D-A893-36	chr1	192207001	194947000	2719	0.871569
TCGA-B6-A0WX-01A-11D-A893-36	chr1	194947001	195246000	299	0.843832
TCGA-B6-A0WX-01A-11D-A893-36	chr1	195246001	200882000	5517	0.870880
TCGA-B6-A0WX-01A-11D-A893-36	chr1	200882001	203820000	2933	0.906617
TCGA-B6-A0WX-01A-11D-A893-36	chr1	203820001	205288000	1467	0.901013
