GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	17001	955000	179	-0.217103
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	955001	1961000	943	-0.089187
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	1961001	3348000	1262	-0.063723
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	3348001	5722000	2358	-0.043728
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	5722001	5787000	65	-0.056852
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	5787001	6772000	983	-0.054476
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	6772001	6940000	168	0.004498
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	6940001	7565000	624	-0.038344
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	7565001	16533000	8550	-0.039817
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	16533001	16654000	89	-0.410543
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	16674001	24477000	7654	-0.035892
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	24477001	24482000	5	-0.078653
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	24482001	31097000	6496	-0.035325
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	31097001	31215000	118	-0.055456
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	31215001	37321000	6081	-0.028648
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	37321001	37395000	74	-0.024522
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	37395001	40040000	2618	-0.030506
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	40040001	40901000	856	-0.023956
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	40901001	49029000	8068	-0.018238
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	49029001	51798000	2760	0.006208
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	51798001	58470000	6636	-0.015736
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	58470001	59974000	1499	-0.004607
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	59974001	62766000	2785	-0.002359
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	62766001	62964000	198	0.036035
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	62964001	65603000	2621	-0.002677
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	65603001	76317000	10598	0.013399
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	76317001	76508000	190	0.025691
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	76508001	81300000	4753	0.014847
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	81300001	82669000	1358	0.011219
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	82669001	82827000	158	0.048524
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	82827001	83200000	367	-0.019284
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	83200001	83412000	184	-0.218101
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	83413001	83560000	145	-0.145021
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	83560001	87356000	3748	0.008557
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	87356001	87454000	98	-0.012441
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	87454001	88644000	1185	0.005617
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	88644001	88991000	347	0.012990
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	88991001	92469000	3449	0.009776
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	92469001	93002000	533	-0.003231
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	93002001	95449000	2435	-0.000573
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	95449001	102950000	7475	0.014549
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	102950001	103084000	133	0.024844
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	103084001	103561000	474	0.027591
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	103561001	103761000	43	1.316011
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	103761001	106163000	2368	0.015055
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	106163001	108831000	2472	0.014354
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	108831001	110569000	1709	-0.025183
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	110569001	112375000	1785	-0.005809
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	112375001	112507000	132	-0.015983
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	112507001	114525000	2000	-0.010238
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	114525001	115607000	1078	0.001090
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	115607001	115660000	52	0.014332
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	115660001	117736000	2069	-0.007901
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	117736001	119803000	2059	0.005408
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	119803001	121743000	573	-0.056208
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	121743001	123196000	82	-1.335122
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	123200001	123391000	15	-2.167891
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	123393001	123444000	11	-0.720827
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	123445001	123560000	20	-3.151638
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	123560001	124563000	131	-1.645960
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	124564001	124783000	61	-2.303512
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	124802001	143265000	305	-0.038959
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	143265001	147001000	1054	0.803540
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	147001001	147807000	796	0.953908
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	147807001	150026000	731	0.842133
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	150026001	151029000	999	0.936283
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	151029001	151178000	149	0.930180
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	151178001	151381000	203	0.927893
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	151381001	151539000	158	0.928964
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	151539001	151969000	426	0.939525
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	151969001	153494000	1463	0.952890
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	153494001	154410000	916	0.919820
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	154410001	154576000	166	0.922616
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	154576001	155178000	602	0.918146
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	155178001	155887000	680	0.924525
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	155887001	157223000	1333	0.915655
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	157223001	157522000	299	0.956510
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	157522001	157621000	99	0.944764
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	157621001	158464000	842	0.944276
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	158464001	159756000	1276	0.963390
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	159756001	160188000	431	0.915443
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	160188001	160478000	290	0.940883
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	160478001	162043000	1476	0.934613
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	162043001	162353000	309	0.961329
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	162353001	162863000	507	0.942009
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	162863001	163845000	974	0.970137
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	163845001	164098000	253	0.971732
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	164098001	165497000	1397	0.949977
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	165497001	165653000	156	0.955569
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	165653001	167204000	1541	0.949402
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	167204001	167347000	143	0.967068
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	167347001	167858000	511	0.936766
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	167858001	169164000	1300	0.966314
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	169164001	173393000	4188	0.967219
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	173393001	173419000	26	0.948691
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	173419001	177483000	4022	0.952735
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	177483001	177527000	44	0.977923
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	177527001	188791000	11192	0.959237
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	188791001	189033000	242	0.981785
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	189033001	189117000	84	0.964244
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	189117001	189791000	672	0.985381
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	189791001	191930000	2133	0.977987
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	191930001	192382000	451	0.981850
TCGA-EW-A1J5-01A-11D-A13L-09	chr1	192382001	192462000	80	0.969659
