GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A2-A0CL-01A-11D-A890-36	chr1	17001	12792000	11801	-0.038112
TCGA-A2-A0CL-01A-11D-A890-36	chr1	12792001	13007000	87	0.536645
TCGA-A2-A0CL-01A-11D-A890-36	chr1	13056001	16603000	3283	-0.030820
TCGA-A2-A0CL-01A-11D-A890-36	chr1	16604001	16909000	166	0.271231
TCGA-A2-A0CL-01A-11D-A890-36	chr1	16909001	31164000	14106	-0.029633
TCGA-A2-A0CL-01A-11D-A890-36	chr1	31164001	50661000	19373	-0.020507
TCGA-A2-A0CL-01A-11D-A890-36	chr1	50661001	50666000	5	-0.067525
TCGA-A2-A0CL-01A-11D-A890-36	chr1	50666001	102762000	51706	-0.014578
TCGA-A2-A0CL-01A-11D-A890-36	chr1	102762001	112705000	9500	-0.010940
TCGA-A2-A0CL-01A-11D-A890-36	chr1	112705001	117332000	4599	0.083726
TCGA-A2-A0CL-01A-11D-A890-36	chr1	117332001	117340000	8	0.002224
TCGA-A2-A0CL-01A-11D-A890-36	chr1	117340001	143311000	3667	0.065015
TCGA-A2-A0CL-01A-11D-A890-36	chr1	143311001	143938000	247	-0.916607
TCGA-A2-A0CL-01A-11D-A890-36	chr1	144101001	161569000	13706	0.044744
TCGA-A2-A0CL-01A-11D-A890-36	chr1	161570001	161649000	48	0.656746
TCGA-A2-A0CL-01A-11D-A890-36	chr1	161649001	185814000	23989	0.051876
TCGA-A2-A0CL-01A-11D-A890-36	chr1	185814001	185816000	2	-29.870835
TCGA-A2-A0CL-01A-11D-A890-36	chr1	185816001	191942000	6087	0.055040
TCGA-A2-A0CL-01A-11D-A890-36	chr1	191942001	191950000	8	-0.045157
TCGA-A2-A0CL-01A-11D-A890-36	chr1	191950001	210665000	18270	0.114438
TCGA-A2-A0CL-01A-11D-A890-36	chr1	210665001	248931000	37653	0.036877
TCGA-A2-A0CL-01A-11D-A890-36	chr2	11001	17403000	17233	0.034884
TCGA-A2-A0CL-01A-11D-A890-36	chr2	17403001	17410000	7	-29.900520
TCGA-A2-A0CL-01A-11D-A890-36	chr2	17410001	92354000	71339	0.046938
TCGA-A2-A0CL-01A-11D-A890-36	chr2	92370001	94152000	25	-1.412341
TCGA-A2-A0CL-01A-11D-A890-36	chr2	94153001	97044000	2458	-0.011942
TCGA-A2-A0CL-01A-11D-A890-36	chr2	97044001	130005000	30980	0.117747
TCGA-A2-A0CL-01A-11D-A890-36	chr2	130005001	130127000	51	-0.958417
TCGA-A2-A0CL-01A-11D-A890-36	chr2	130131001	130402000	268	0.108128
TCGA-A2-A0CL-01A-11D-A890-36	chr2	130410001	130426000	6	-1.291461
TCGA-A2-A0CL-01A-11D-A890-36	chr2	130429001	130457000	9	-4.131922
TCGA-A2-A0CL-01A-11D-A890-36	chr2	130458001	131207000	513	0.108044
TCGA-A2-A0CL-01A-11D-A890-36	chr2	131209001	131332000	57	0.763544
TCGA-A2-A0CL-01A-11D-A890-36	chr2	131332001	190266000	58462	0.126815
TCGA-A2-A0CL-01A-11D-A890-36	chr2	190266001	205373000	15011	0.051828
TCGA-A2-A0CL-01A-11D-A890-36	chr2	205373001	206393000	1015	0.025096
TCGA-A2-A0CL-01A-11D-A890-36	chr2	206393001	208898000	2492	0.045043
TCGA-A2-A0CL-01A-11D-A890-36	chr2	208898001	210731000	1816	0.044357
TCGA-A2-A0CL-01A-11D-A890-36	chr2	210731001	231071000	20235	0.050258
TCGA-A2-A0CL-01A-11D-A890-36	chr2	231071001	231182000	111	0.661303
TCGA-A2-A0CL-01A-11D-A890-36	chr2	231182001	242159000	10808	0.037157
TCGA-A2-A0CL-01A-11D-A890-36	chr3	12001	4106000	4051	-0.089476
TCGA-A2-A0CL-01A-11D-A890-36	chr3	4106001	13448000	9302	-0.095359
TCGA-A2-A0CL-01A-11D-A890-36	chr3	13448001	18560000	5094	-0.097638
TCGA-A2-A0CL-01A-11D-A890-36	chr3	18560001	18714000	153	-0.089194
TCGA-A2-A0CL-01A-11D-A890-36	chr3	18714001	20486000	1758	-0.092266
TCGA-A2-A0CL-01A-11D-A890-36	chr3	20486001	21056000	570	-0.125236
TCGA-A2-A0CL-01A-11D-A890-36	chr3	21056001	34841000	13704	-0.091821
TCGA-A2-A0CL-01A-11D-A890-36	chr3	34841001	46739000	11856	-0.175793
TCGA-A2-A0CL-01A-11D-A890-36	chr3	46739001	46807000	60	-0.031485
TCGA-A2-A0CL-01A-11D-A890-36	chr3	46807001	50490000	3671	-0.195576
TCGA-A2-A0CL-01A-11D-A890-36	chr3	50490001	70399000	19801	-0.179367
TCGA-A2-A0CL-01A-11D-A890-36	chr3	70399001	75785000	5348	-0.175262
TCGA-A2-A0CL-01A-11D-A890-36	chr3	75785001	77249000	1461	-0.195607
TCGA-A2-A0CL-01A-11D-A890-36	chr3	77249001	88362000	11058	-0.168305
TCGA-A2-A0CL-01A-11D-A890-36	chr3	88362001	94282000	3123	-0.154235
TCGA-A2-A0CL-01A-11D-A890-36	chr3	94282001	98093000	3800	-0.086589
TCGA-A2-A0CL-01A-11D-A890-36	chr3	98093001	117254000	19006	-0.086944
TCGA-A2-A0CL-01A-11D-A890-36	chr3	117254001	117616000	361	-0.000392
TCGA-A2-A0CL-01A-11D-A890-36	chr3	117616001	118137000	520	0.116915
TCGA-A2-A0CL-01A-11D-A890-36	chr3	118137001	120668000	2508	0.133620
TCGA-A2-A0CL-01A-11D-A890-36	chr3	120668001	122318000	1636	0.139587
