GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A2-A0ET-01A-31D-A744-36	chr1	17001	16578000	15153	-0.394030
TCGA-A2-A0ET-01A-31D-A744-36	chr1	16578001	16638000	52	-0.486139
TCGA-A2-A0ET-01A-31D-A744-36	chr1	16638001	16949000	171	-0.245967
TCGA-A2-A0ET-01A-31D-A744-36	chr1	16949001	82665000	65209	-0.380131
TCGA-A2-A0ET-01A-31D-A744-36	chr1	82665001	103561000	20735	-0.354883
TCGA-A2-A0ET-01A-31D-A744-36	chr1	103561001	103761000	43	0.600739
TCGA-A2-A0ET-01A-31D-A744-36	chr1	103761001	115682000	11618	-0.363429
TCGA-A2-A0ET-01A-31D-A744-36	chr1	115682001	115690000	8	-8.152906
TCGA-A2-A0ET-01A-31D-A744-36	chr1	115690001	122807000	4705	-0.361004
TCGA-A2-A0ET-01A-31D-A744-36	chr1	122818001	122905000	15	-5.833043
TCGA-A2-A0ET-01A-31D-A744-36	chr1	122912001	123059000	15	0.061974
TCGA-A2-A0ET-01A-31D-A744-36	chr1	123086001	123196000	18	-2.230429
TCGA-A2-A0ET-01A-31D-A744-36	chr1	123200001	123373000	14	-3.897093
TCGA-A2-A0ET-01A-31D-A744-36	chr1	123390001	123512000	17	-2.234172
TCGA-A2-A0ET-01A-31D-A744-36	chr1	123513001	123561000	16	-2.597095
TCGA-A2-A0ET-01A-31D-A744-36	chr1	123616001	123936000	38	-2.821039
TCGA-A2-A0ET-01A-31D-A744-36	chr1	123950001	124013000	8	-5.940306
TCGA-A2-A0ET-01A-31D-A744-36	chr1	124026001	124097000	7	-2.243018
TCGA-A2-A0ET-01A-31D-A744-36	chr1	124098001	124251000	20	-0.123861
TCGA-A2-A0ET-01A-31D-A744-36	chr1	124268001	124307000	9	-1.395919
TCGA-A2-A0ET-01A-31D-A744-36	chr1	124307001	124565000	49	-0.580020
TCGA-A2-A0ET-01A-31D-A744-36	chr1	124568001	124601000	9	-2.239518
TCGA-A2-A0ET-01A-31D-A744-36	chr1	124602001	124624000	8	-0.799852
TCGA-A2-A0ET-01A-31D-A744-36	chr1	124629001	124643000	4	-9.884976
TCGA-A2-A0ET-01A-31D-A744-36	chr1	124653001	124691000	8	-0.584268
TCGA-A2-A0ET-01A-31D-A744-36	chr1	124691001	124716000	8	-2.405420
TCGA-A2-A0ET-01A-31D-A744-36	chr1	124722001	143186000	270	-0.364856
TCGA-A2-A0ET-01A-31D-A744-36	chr1	143186001	145711000	609	0.599249
TCGA-A2-A0ET-01A-31D-A744-36	chr1	145711001	145902000	182	0.521455
TCGA-A2-A0ET-01A-31D-A744-36	chr1	145902001	146875000	279	0.545219
TCGA-A2-A0ET-01A-31D-A744-36	chr1	146875001	151029000	2568	0.529761
TCGA-A2-A0ET-01A-31D-A744-36	chr1	151029001	152978000	1887	0.528895
TCGA-A2-A0ET-01A-31D-A744-36	chr1	152978001	153339000	358	0.547368
TCGA-A2-A0ET-01A-31D-A744-36	chr1	153339001	153435000	96	0.533513
TCGA-A2-A0ET-01A-31D-A744-36	chr1	153435001	154797000	1361	0.503591
TCGA-A2-A0ET-01A-31D-A744-36	chr1	154797001	154816000	19	0.505604
TCGA-A2-A0ET-01A-31D-A744-36	chr1	154816001	156386000	1540	0.505247
TCGA-A2-A0ET-01A-31D-A744-36	chr1	156386001	156433000	47	0.503164
TCGA-A2-A0ET-01A-31D-A744-36	chr1	156433001	157233000	798	0.512883
TCGA-A2-A0ET-01A-31D-A744-36	chr1	157233001	160460000	3209	0.540721
TCGA-A2-A0ET-01A-31D-A744-36	chr1	160460001	162753000	2201	0.533183
TCGA-A2-A0ET-01A-31D-A744-36	chr1	162753001	167701000	4927	0.542662
TCGA-A2-A0ET-01A-31D-A744-36	chr1	167701001	168777000	1070	0.535159
TCGA-A2-A0ET-01A-31D-A744-36	chr1	168777001	168909000	132	0.538796
TCGA-A2-A0ET-01A-31D-A744-36	chr1	168909001	170001000	1067	0.552935
TCGA-A2-A0ET-01A-31D-A744-36	chr1	170001001	171438000	1431	0.552602
TCGA-A2-A0ET-01A-31D-A744-36	chr1	171438001	171969000	530	0.535209
TCGA-A2-A0ET-01A-31D-A744-36	chr1	171969001	172903000	930	0.554766
TCGA-A2-A0ET-01A-31D-A744-36	chr1	172903001	172966000	63	0.567077
TCGA-A2-A0ET-01A-31D-A744-36	chr1	172966001	174853000	1854	0.540986
TCGA-A2-A0ET-01A-31D-A744-36	chr1	174853001	177483000	2616	0.540589
TCGA-A2-A0ET-01A-31D-A744-36	chr1	177483001	177522000	39	0.567705
TCGA-A2-A0ET-01A-31D-A744-36	chr1	177522001	177968000	444	0.549349
TCGA-A2-A0ET-01A-31D-A744-36	chr1	177968001	177997000	29	0.518991
