GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-D8-A27I-01A-11D-A89A-36	chr1	17001	2653000	1809	-0.096857
TCGA-D8-A27I-01A-11D-A89A-36	chr1	2653001	2689000	8	0.282799
TCGA-D8-A27I-01A-11D-A89A-36	chr1	2752001	12839000	10029	-0.095798
TCGA-D8-A27I-01A-11D-A89A-36	chr1	12839001	12889000	37	-1.020876
TCGA-D8-A27I-01A-11D-A89A-36	chr1	12900001	16503000	3220	-0.091949
TCGA-D8-A27I-01A-11D-A89A-36	chr1	16503001	16606000	70	-0.074561
TCGA-D8-A27I-01A-11D-A89A-36	chr1	16606001	16889000	144	0.081308
TCGA-D8-A27I-01A-11D-A89A-36	chr1	16889001	16950000	60	-0.086826
TCGA-D8-A27I-01A-11D-A89A-36	chr1	16950001	125168000	102834	-0.087776
TCGA-D8-A27I-01A-11D-A89A-36	chr1	125168001	150188000	2817	0.299822
TCGA-D8-A27I-01A-11D-A89A-36	chr1	150188001	158945000	8647	0.287520
TCGA-D8-A27I-01A-11D-A89A-36	chr1	158945001	161569000	2579	0.295473
TCGA-D8-A27I-01A-11D-A89A-36	chr1	161570001	161573000	3	-29.776734
TCGA-D8-A27I-01A-11D-A89A-36	chr1	161591001	167740000	6090	0.288421
TCGA-D8-A27I-01A-11D-A89A-36	chr1	167740001	168774000	1028	0.293870
TCGA-D8-A27I-01A-11D-A89A-36	chr1	168774001	172963000	4153	0.290035
TCGA-D8-A27I-01A-11D-A89A-36	chr1	172963001	173069000	101	0.288993
TCGA-D8-A27I-01A-11D-A89A-36	chr1	173069001	181586000	8450	0.286864
TCGA-D8-A27I-01A-11D-A89A-36	chr1	181586001	188791000	7158	0.286274
TCGA-D8-A27I-01A-11D-A89A-36	chr1	188791001	196762000	7924	0.284333
TCGA-D8-A27I-01A-11D-A89A-36	chr1	196765001	196836000	10	-6.058348
TCGA-D8-A27I-01A-11D-A89A-36	chr1	196844001	197338000	486	0.287603
TCGA-D8-A27I-01A-11D-A89A-36	chr1	197338001	201198000	3836	0.288880
TCGA-D8-A27I-01A-11D-A89A-36	chr1	201198001	202337000	1137	0.287945
TCGA-D8-A27I-01A-11D-A89A-36	chr1	202337001	210891000	8253	0.289121
TCGA-D8-A27I-01A-11D-A89A-36	chr1	210891001	214649000	3749	0.286818
TCGA-D8-A27I-01A-11D-A89A-36	chr1	214649001	214780000	131	0.281150
TCGA-D8-A27I-01A-11D-A89A-36	chr1	214780001	214982000	200	0.276838
TCGA-D8-A27I-01A-11D-A89A-36	chr1	214982001	221519000	6497	0.286935
TCGA-D8-A27I-01A-11D-A89A-36	chr1	221519001	222342000	816	0.283589
TCGA-D8-A27I-01A-11D-A89A-36	chr1	222342001	228768000	6171	0.289390
TCGA-D8-A27I-01A-11D-A89A-36	chr1	228768001	228895000	126	0.271087
TCGA-D8-A27I-01A-11D-A89A-36	chr1	228895001	228910000	15	0.313556
TCGA-D8-A27I-01A-11D-A89A-36	chr1	228910001	229214000	304	0.290890
TCGA-D8-A27I-01A-11D-A89A-36	chr1	229214001	229338000	124	0.282127
