GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	17001	1125000	342	-0.229901
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	1125001	7768000	6443	-0.192960
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	7768001	15804000	7624	-0.156823
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	15804001	16025000	218	-0.129441
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	16025001	16367000	341	-0.159724
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	16367001	16653000	252	-0.110112
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	16653001	16865000	75	-0.449591
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	16867001	17696000	825	-0.177728
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	17696001	21987000	4272	-0.150568
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	21987001	22010000	22	-1.683579
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	22010001	27919000	5795	-0.146526
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	27919001	28128000	208	-0.105167
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	28128001	40048000	11858	-0.154746
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	40048001	42177000	2118	-0.122354
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	42177001	42592000	411	-0.087197
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	42592001	46744000	4137	-0.134531
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	46744001	47177000	411	-0.103525
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	47177001	49060000	1870	-0.144487
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	49060001	50217000	1150	-0.078101
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	50217001	53076000	2856	0.095162
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	53076001	53548000	470	0.044588
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	53548001	55064000	1510	0.073705
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	55064001	56409000	1336	0.101615
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	56409001	56553000	144	0.040037
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	56553001	56644000	91	0.016569
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	56644001	58057000	1412	0.048348
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	58057001	59349000	1273	0.082857
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	59349001	62169000	2810	0.105419
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	62169001	63877000	1703	0.068574
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	63877001	64373000	494	0.097183
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	64374001	64386000	12	-1.559732
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	64386001	69546000	5125	0.078846
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	69546001	72290000	2719	0.012361
TCGA-EW-A1PC-01B-11D-A21Q-09	chr1	72290001	72298000	8	-1.755360
