GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	17001	1007000	230	-0.348923
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	1007001	7188000	5975	-0.357876
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	7188001	8186000	997	-0.363663
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	8186001	11266000	3074	-0.377927
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	11266001	15047000	3377	-0.375964
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	15047001	15099000	52	-0.367083
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	15099001	16542000	1435	-0.372852
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	16543001	16654000	81	-0.126227
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	16674001	17134000	338	-0.244704
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	17134001	17172000	38	-0.378453
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	17172001	17214000	42	-0.360833
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	17214001	17549000	334	-0.389007
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	17549001	22917000	5345	-0.367304
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	22917001	23560000	643	-0.372766
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	23560001	29306000	5634	-0.377100
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	29306001	29359000	53	-0.346242
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	29359001	31237000	1868	-0.352838
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	31237001	31407000	170	-0.351918
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	31407001	34888000	3459	-0.362119
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	34888001	37059000	2168	0.289767
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	37059001	37732000	673	0.777235
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	37732001	37835000	103	0.778619
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	37835001	43513000	5634	0.285458
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	43513001	44519000	1003	0.765607
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	44519001	45441000	918	0.286020
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	45441001	46390000	944	0.756326
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	46390001	47608000	1195	0.287716
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	47608001	49657000	2034	0.767023
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	49657001	51073000	1409	0.310194
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	51073001	51192000	119	0.781524
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	51192001	53068000	1875	0.299016
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	53068001	54348000	1278	0.315170
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	54348001	54997000	644	0.314127
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	54997001	55031000	33	0.807114
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	55031001	55542000	511	1.125950
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	55542001	55815000	269	0.782923
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	55815001	55947000	131	0.769960
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	55947001	58910000	2940	0.779535
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	58910001	59225000	314	0.795870
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	59225001	63704000	4464	0.318884
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	63704001	65697000	1979	0.016391
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	65697001	65838000	140	0.026262
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	65838001	67302000	1449	0.013466
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	67302001	67473000	171	0.023040
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	67473001	72043000	4537	0.022371
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	72043001	72090000	47	0.060209
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	72090001	80502000	8316	0.023019
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	80502001	83164000	2640	0.022416
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	83164001	83203000	34	0.037944
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	83203001	83365000	140	0.077084
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	83365001	84039000	664	0.028475
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	84039001	87187000	3101	0.027745
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	87187001	87202000	15	0.016440
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	87202001	87395000	193	0.039765
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	87395001	89473000	2066	0.031005
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	89473001	89991000	510	0.033740
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	89991001	90020000	29	0.021708
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	90020001	90036000	16	0.085011
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	90036001	90071000	34	0.043933
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	90071001	90395000	322	0.037844
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	90395001	90641000	246	0.149494
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	90641001	91053000	412	0.325726
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	91053001	91089000	36	0.319344
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	91089001	91839000	739	0.324302
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	91839001	91919000	80	0.310165
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	91919001	94703000	2776	0.323700
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	94703001	94724000	21	0.303446
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	94724001	95282000	558	0.323997
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	95282001	95680000	394	0.317504
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	95680001	96840000	1154	0.322226
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	96840001	97007000	167	0.329094
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	97007001	99726000	2707	0.323580
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	99726001	103827000	3932	0.327299
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	103827001	103858000	31	0.344441
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	103858001	104094000	233	0.322283
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	104094001	104193000	98	0.330465
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	104193001	105009000	802	0.324963
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	105009001	106355000	1329	0.333368
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	106355001	106616000	260	0.557831
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	106616001	111198000	4356	0.560958
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	111198001	122779000	9154	-0.001933
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	122798001	123756000	116	-0.362149
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	123756001	143530000	500	0.018111
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	143535001	143746000	195	0.348156
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	143746001	143754000	8	1.030508
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	143754001	146229000	661	0.033844
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	146324001	148297000	1233	0.340270
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	148297001	149748000	268	0.049402
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	149749001	161507000	11525	0.337432
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	161507001	161705000	138	0.397088
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	161705001	169121000	7386	0.336264
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	169121001	169488000	342	0.340229
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	169488001	183476000	13901	0.339282
TCGA-A2-A4RW-01A-21D-A89C-36	chr1	183476001	248931000	64346	0.585777
TCGA-A2-A4RW-01A-21D-A89C-36	chr2	11001	109028000	102475	0.020409
TCGA-A2-A4RW-01A-21D-A89C-36	chr2	109028001	109356000	326	-0.377982
TCGA-A2-A4RW-01A-21D-A89C-36	chr2	109356001	112939000	2424	-0.367748
TCGA-A2-A4RW-01A-21D-A89C-36	chr2	112939001	237970000	123591	0.022823
TCGA-A2-A4RW-01A-21D-A89C-36	chr2	237970001	242159000	4080	-0.029642
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	12001	36141000	35929	0.020951
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	36141001	42492000	6326	-0.372343
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	42492001	42537000	45	-0.352999
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	42537001	46695000	4144	-0.369760
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	46695001	46884000	181	-0.276664
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	46884001	49695000	2800	-0.377736
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	49695001	52993000	3287	-0.362975
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	52993001	53005000	12	-1.842522
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	53005001	58438000	5404	-0.373635
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	58438001	64115000	5640	-0.376516
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	64115001	64123000	8	-2.101961
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	64123001	64486000	362	-0.384349
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	64486001	66181000	1686	-0.371488
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	66181001	66243000	61	-0.389938
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	66243001	69373000	3109	-0.374044
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	69373001	71167000	1793	-0.367831
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	71167001	71199000	32	-0.388038
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	71199001	71591000	391	-0.376382
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	71591001	72731000	1139	-0.377629
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	72731001	74000000	1268	-0.378866
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	74000001	74020000	20	-0.377852
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	74020001	75375000	1347	-0.379520
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75375001	75378000	3	-8.095528
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75378001	75384000	6	-29.561866
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75384001	75385000	1	-9.082985
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75385001	75397000	12	-29.539550
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75397001	75403000	6	-29.496823
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75403001	75419000	16	-29.543264
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75419001	75422000	3	-7.467290
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75422001	75425000	3	-9.007292
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75425001	75429000	4	-6.215036
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75429001	75434000	5	-6.282098
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75434001	75443000	9	-29.531245
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75443001	75444000	1	-7.886313
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75444001	75449000	5	-29.539770
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75449001	75462000	13	-29.538540
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75462001	75463000	1	-9.077149
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75463001	75465000	2	-29.547179
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75465001	75466000	1	-9.102551
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75466001	75489000	23	-29.554829
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75489001	75494000	5	-6.681969
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75494001	75507000	13	-29.547931
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75507001	75508000	1	-9.149117
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75508001	75512000	4	-29.569124
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75512001	75515000	3	-9.046401
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75515001	75566000	25	-29.543814
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75566001	75567000	1	-4.342543
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75567001	75569000	2	-29.536286
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75569001	75571000	2	-29.536289
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75571001	75579000	8	-29.552741
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75579001	75582000	3	-8.104860
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75582001	75592000	10	-29.547141
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75592001	75593000	1	-5.541486
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75593001	75710000	117	-0.312417
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	75710001	76677000	966	-0.371638
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	76677001	76916000	238	-0.363646
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	76916001	77305000	387	-0.386352
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	77305001	79328000	2007	-0.371213
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	79328001	79667000	339	-0.361302
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	79667001	80339000	669	-0.366156
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	80339001	81010000	666	-0.365655
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	81010001	81107000	91	-0.388847
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	81107001	81172000	65	-0.335432
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	81172001	81200000	28	-0.342558
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	81200001	89277000	8052	-0.365528
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	89277001	89621000	333	0.045668
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	89621001	89629000	8	-0.932431
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	89629001	90711000	1020	0.036293
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	90717001	91153000	24	0.985194
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	91168001	140815000	46966	0.025285
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	140815001	154045000	13172	0.084220
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	154045001	177481000	23175	0.028368
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	177481001	177494000	13	-0.305761
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	177494001	189753000	12183	0.030614
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	189753001	189852000	99	0.359890
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	189852001	191960000	2095	0.031804
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	191960001	194974000	2981	-0.350088
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	194974001	195589000	584	-0.345493
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	195589001	195615000	26	-0.367514
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	195615001	195754000	112	-0.919016
TCGA-A2-A4RW-01A-21D-A89C-36	chr3	195754001	198175000	2337	-0.353475
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	15001	72000	28	0.013772
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	72001	137000	59	0.348162
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	137001	1759000	1587	-0.350604
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	1759001	2493000	732	-0.341237
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	2493001	3272000	778	-0.369893
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	3272001	5503000	2179	-0.356987
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	5503001	6259000	750	-0.360302
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	6259001	11765000	5162	-0.359345
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	11765001	11805000	39	-0.357635
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	11805001	14393000	2565	-0.370012
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	14393001	16422000	2002	-0.364836
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	16422001	17548000	1119	-0.376684
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	17548001	28243000	10639	-0.366588
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	28243001	28473000	230	-0.372505
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	28473001	28936000	462	-0.353926
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	28936001	29296000	360	-0.366507
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	29296001	31393000	2094	-0.364013
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	31393001	31735000	340	-0.362800
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	31735001	34778000	3008	-0.360543
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	34778001	34827000	49	-1.663181
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	34827001	43265000	8418	-0.366896
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	43265001	48935000	5631	-0.350961
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	48935001	49503000	337	-0.293280
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	49503001	50663000	120	0.106391
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	50679001	53350000	1526	-0.353118
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	53350001	54342000	983	-0.350783
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	54342001	55065000	719	0.015620
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	55065001	57443000	2371	0.022449
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	57443001	57507000	64	0.031006
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	57507001	59156000	1579	0.020536
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	59156001	67195000	7946	0.026050
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	67195001	69258000	1926	0.025830
TCGA-A2-A4RW-01A-21D-A89C-36	chr4	69260001	69366000	103	-0.126043
