GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-B6-A0IH-01A-11D-A892-36	chr1	17001	16541000	15139	-0.174185
TCGA-B6-A0IH-01A-11D-A892-36	chr1	16541001	16647000	75	-0.909291
TCGA-B6-A0IH-01A-11D-A892-36	chr1	16647001	16949000	162	-0.097688
TCGA-B6-A0IH-01A-11D-A892-36	chr1	16949001	124251000	102486	-0.169354
TCGA-B6-A0IH-01A-11D-A892-36	chr1	124268001	125026000	210	0.188778
TCGA-B6-A0IH-01A-11D-A892-36	chr1	125026001	125046000	20	1.475046
TCGA-B6-A0IH-01A-11D-A892-36	chr1	125046001	143484000	211	0.215100
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143498001	143542000	12	-0.903183
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143542001	143605000	58	-29.073016
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143605001	143606000	1	-8.406439
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143606001	143637000	31	-29.049296
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143639001	143640000	1	-7.896105
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143640001	143652000	12	-29.029205
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143652001	143653000	1	-7.529503
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143653001	143656000	3	-29.072032
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143656001	143657000	1	-6.564271
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143657001	143681000	24	-29.036976
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143681001	143682000	1	-8.506457
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143682001	143702000	20	-29.055343
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143702001	143707000	4	-8.428425
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143707001	143716000	9	-29.053265
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143716001	143720000	4	-29.027949
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143720001	143726000	6	-29.043529
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143726001	143728000	2	-8.312103
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143731001	143738000	7	-29.081979
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143742001	143746000	3	-3.128663
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143746001	143755000	9	-29.080462
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143756001	143757000	1	-7.090007
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143757001	143895000	29	-29.088930
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143898001	143910000	3	-29.039468
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143914001	143936000	2	-6.220999
TCGA-B6-A0IH-01A-11D-A892-36	chr1	143937001	147070000	855	0.273699
TCGA-B6-A0IH-01A-11D-A892-36	chr1	147070001	150026000	1464	0.285990
TCGA-B6-A0IH-01A-11D-A892-36	chr1	150026001	150339000	313	0.576723
TCGA-B6-A0IH-01A-11D-A892-36	chr1	150339001	154848000	4439	0.619344
TCGA-B6-A0IH-01A-11D-A892-36	chr1	154848001	158199000	3319	0.621554
TCGA-B6-A0IH-01A-11D-A892-36	chr1	158199001	158249000	49	0.617625
TCGA-B6-A0IH-01A-11D-A892-36	chr1	158249001	160958000	2692	0.624506
TCGA-B6-A0IH-01A-11D-A892-36	chr1	160958001	161428000	468	0.615159
TCGA-B6-A0IH-01A-11D-A892-36	chr1	161428001	167191000	5652	0.621260
TCGA-B6-A0IH-01A-11D-A892-36	chr1	167191001	167448000	257	0.610499
TCGA-B6-A0IH-01A-11D-A892-36	chr1	167448001	169683000	2204	0.617853
TCGA-B6-A0IH-01A-11D-A892-36	chr1	169683001	169699000	16	0.593038
TCGA-B6-A0IH-01A-11D-A892-36	chr1	169699001	189367000	19538	0.619685
TCGA-B6-A0IH-01A-11D-A892-36	chr1	189367001	189558000	189	0.572017
TCGA-B6-A0IH-01A-11D-A892-36	chr1	189558001	190883000	1321	0.632801
TCGA-B6-A0IH-01A-11D-A892-36	chr1	190883001	190892000	9	-1.307803
TCGA-B6-A0IH-01A-11D-A892-36	chr1	190892001	192823000	1923	0.627283
TCGA-B6-A0IH-01A-11D-A892-36	chr1	192823001	193496000	670	0.616356
TCGA-B6-A0IH-01A-11D-A892-36	chr1	193496001	198333000	4717	0.623755
TCGA-B6-A0IH-01A-11D-A892-36	chr1	198333001	198341000	8	-1.358469
TCGA-B6-A0IH-01A-11D-A892-36	chr1	198341001	198804000	463	0.620601
TCGA-B6-A0IH-01A-11D-A892-36	chr1	198804001	198807000	3	0.244156
TCGA-B6-A0IH-01A-11D-A892-36	chr1	198807001	202876000	4052	0.620578
TCGA-B6-A0IH-01A-11D-A892-36	chr1	202876001	202945000	69	0.615725
TCGA-B6-A0IH-01A-11D-A892-36	chr1	202945001	203428000	483	0.631886
TCGA-B6-A0IH-01A-11D-A892-36	chr1	203428001	203939000	511	0.622103
TCGA-B6-A0IH-01A-11D-A892-36	chr1	203939001	203953000	14	-1.342226
TCGA-B6-A0IH-01A-11D-A892-36	chr1	203953001	205655000	1701	0.620027
TCGA-B6-A0IH-01A-11D-A892-36	chr1	205655001	210907000	4953	0.620822
TCGA-B6-A0IH-01A-11D-A892-36	chr1	210907001	211108000	201	0.605646
TCGA-B6-A0IH-01A-11D-A892-36	chr1	211108001	214426000	3309	0.617729
TCGA-B6-A0IH-01A-11D-A892-36	chr1	214426001	215953000	1522	0.619627
TCGA-B6-A0IH-01A-11D-A892-36	chr1	215953001	221732000	5742	0.623349
TCGA-B6-A0IH-01A-11D-A892-36	chr1	221732001	228908000	6913	0.617393
TCGA-B6-A0IH-01A-11D-A892-36	chr1	228908001	232735000	3813	0.616336
TCGA-B6-A0IH-01A-11D-A892-36	chr1	232735001	232786000	51	0.660934
