GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-EW-A1P8-01A-11D-A898-36	chr1	17001	1139000	356	-0.126086
TCGA-EW-A1P8-01A-11D-A898-36	chr1	1141001	1156000	15	-0.155908
TCGA-EW-A1P8-01A-11D-A898-36	chr1	1156001	2071000	861	-0.150495
TCGA-EW-A1P8-01A-11D-A898-36	chr1	2071001	2909000	718	-0.147832
TCGA-EW-A1P8-01A-11D-A898-36	chr1	2909001	2920000	11	-0.193368
TCGA-EW-A1P8-01A-11D-A898-36	chr1	2920001	3257000	333	-0.173657
TCGA-EW-A1P8-01A-11D-A898-36	chr1	3257001	3282000	25	-0.164868
TCGA-EW-A1P8-01A-11D-A898-36	chr1	3282001	3665000	378	-0.150410
TCGA-EW-A1P8-01A-11D-A898-36	chr1	3665001	3741000	75	-0.147750
TCGA-EW-A1P8-01A-11D-A898-36	chr1	3741001	4098000	351	-0.187863
TCGA-EW-A1P8-01A-11D-A898-36	chr1	4098001	4375000	274	-0.181192
TCGA-EW-A1P8-01A-11D-A898-36	chr1	4375001	4457000	82	-0.181605
TCGA-EW-A1P8-01A-11D-A898-36	chr1	4457001	4573000	116	-0.179753
TCGA-EW-A1P8-01A-11D-A898-36	chr1	4573001	4588000	15	-0.241131
TCGA-EW-A1P8-01A-11D-A898-36	chr1	4588001	5105000	516	-0.195703
TCGA-EW-A1P8-01A-11D-A898-36	chr1	5105001	5648000	542	-0.187304
TCGA-EW-A1P8-01A-11D-A898-36	chr1	5648001	5726000	78	-0.149335
TCGA-EW-A1P8-01A-11D-A898-36	chr1	5726001	5798000	72	-0.157422
TCGA-EW-A1P8-01A-11D-A898-36	chr1	5798001	5829000	31	-0.195425
TCGA-EW-A1P8-01A-11D-A898-36	chr1	5829001	6043000	212	-0.182519
TCGA-EW-A1P8-01A-11D-A898-36	chr1	6043001	6084000	41	-0.141834
TCGA-EW-A1P8-01A-11D-A898-36	chr1	6084001	7303000	1218	-0.167449
TCGA-EW-A1P8-01A-11D-A898-36	chr1	7303001	7407000	104	-0.180589
TCGA-EW-A1P8-01A-11D-A898-36	chr1	7407001	7742000	335	-0.180392
TCGA-EW-A1P8-01A-11D-A898-36	chr1	7742001	8956000	1211	-0.154385
TCGA-EW-A1P8-01A-11D-A898-36	chr1	8956001	8979000	23	-0.158840
TCGA-EW-A1P8-01A-11D-A898-36	chr1	8979001	9127000	145	-0.175723
TCGA-EW-A1P8-01A-11D-A898-36	chr1	9127001	10755000	1627	-0.153870
TCGA-EW-A1P8-01A-11D-A898-36	chr1	10755001	10794000	39	-0.156317
TCGA-EW-A1P8-01A-11D-A898-36	chr1	10794001	11924000	1130	-0.156619
TCGA-EW-A1P8-01A-11D-A898-36	chr1	11924001	11985000	61	-0.151357
TCGA-EW-A1P8-01A-11D-A898-36	chr1	11985001	14316000	1928	-0.168895
