GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-E9-A1NF-01A-11D-A897-36	chr1	17001	1302000	512	-0.072604
TCGA-E9-A1NF-01A-11D-A897-36	chr1	1302001	1537000	230	0.015539
TCGA-E9-A1NF-01A-11D-A897-36	chr1	1537001	2102000	521	-0.103799
TCGA-E9-A1NF-01A-11D-A897-36	chr1	2102001	7896000	5649	-0.078191
TCGA-E9-A1NF-01A-11D-A897-36	chr1	7896001	12780000	4878	-0.106110
TCGA-E9-A1NF-01A-11D-A897-36	chr1	12780001	13007000	98	-1.347178
TCGA-E9-A1NF-01A-11D-A897-36	chr1	13056001	13480000	201	-0.091602
TCGA-E9-A1NF-01A-11D-A897-36	chr1	13480001	13902000	422	-0.113450
TCGA-E9-A1NF-01A-11D-A897-36	chr1	13902001	16542000	2629	-0.099779
TCGA-E9-A1NF-01A-11D-A897-36	chr1	16543001	16675000	82	0.266798
TCGA-E9-A1NF-01A-11D-A897-36	chr1	16675001	16876000	82	0.010662
TCGA-E9-A1NF-01A-11D-A897-36	chr1	16876001	16949000	72	-0.716780
TCGA-E9-A1NF-01A-11D-A897-36	chr1	16949001	17938000	986	-0.095377
TCGA-E9-A1NF-01A-11D-A897-36	chr1	17938001	20902000	2959	-0.091317
TCGA-E9-A1NF-01A-11D-A897-36	chr1	20902001	21989000	1073	-0.107041
TCGA-E9-A1NF-01A-11D-A897-36	chr1	21989001	22012000	22	-1.457732
TCGA-E9-A1NF-01A-11D-A897-36	chr1	22015001	23527000	1512	-0.095158
TCGA-E9-A1NF-01A-11D-A897-36	chr1	23527001	25072000	1536	-0.111045
TCGA-E9-A1NF-01A-11D-A897-36	chr1	25072001	28083000	2909	-0.108253
TCGA-E9-A1NF-01A-11D-A897-36	chr1	28083001	28669000	585	-0.133791
TCGA-E9-A1NF-01A-11D-A897-36	chr1	28669001	31878000	3198	-0.091849
TCGA-E9-A1NF-01A-11D-A897-36	chr1	31878001	32241000	363	-0.124209
TCGA-E9-A1NF-01A-11D-A897-36	chr1	32241001	32880000	639	-0.100328
TCGA-E9-A1NF-01A-11D-A897-36	chr1	32880001	44060000	11110	-0.093743
TCGA-E9-A1NF-01A-11D-A897-36	chr1	44060001	44203000	142	-0.128503
TCGA-E9-A1NF-01A-11D-A897-36	chr1	44203001	44792000	589	-0.094629
TCGA-E9-A1NF-01A-11D-A897-36	chr1	44792001	45762000	963	-0.106266
TCGA-E9-A1NF-01A-11D-A897-36	chr1	45762001	46399000	635	-0.095663
TCGA-E9-A1NF-01A-11D-A897-36	chr1	46399001	47243000	821	-0.056391
TCGA-E9-A1NF-01A-11D-A897-36	chr1	47243001	47519000	276	-0.103047
TCGA-E9-A1NF-01A-11D-A897-36	chr1	47519001	51015000	3474	-0.073568
TCGA-E9-A1NF-01A-11D-A897-36	chr1	51015001	52910000	1894	-0.107280
TCGA-E9-A1NF-01A-11D-A897-36	chr1	52910001	53858000	946	-0.091240
TCGA-E9-A1NF-01A-11D-A897-36	chr1	53858001	53899000	41	0.166309
TCGA-E9-A1NF-01A-11D-A897-36	chr1	53899001	55764000	1855	-0.084838
TCGA-E9-A1NF-01A-11D-A897-36	chr1	55764001	57814000	2044	-0.077290
TCGA-E9-A1NF-01A-11D-A897-36	chr1	57814001	60789000	2947	-0.071402
TCGA-E9-A1NF-01A-11D-A897-36	chr1	60789001	65817000	5007	-0.095450
TCGA-E9-A1NF-01A-11D-A897-36	chr1	65817001	72290000	6425	-0.080318
TCGA-E9-A1NF-01A-11D-A897-36	chr1	72290001	72298000	8	-1.232046
TCGA-E9-A1NF-01A-11D-A897-36	chr1	72298001	78823000	6443	-0.078246
TCGA-E9-A1NF-01A-11D-A897-36	chr1	78823001	107502000	28290	0.166536
TCGA-E9-A1NF-01A-11D-A897-36	chr1	107502001	107854000	352	0.362523
TCGA-E9-A1NF-01A-11D-A897-36	chr1	107854001	120557000	11945	0.164197
TCGA-E9-A1NF-01A-11D-A897-36	chr1	120561001	120947000	35	-0.561641
TCGA-E9-A1NF-01A-11D-A897-36	chr1	120947001	122405000	265	0.178147
TCGA-E9-A1NF-01A-11D-A897-36	chr1	122520001	124926000	321	-0.357706
TCGA-E9-A1NF-01A-11D-A897-36	chr1	124940001	143276000	307	0.151750
TCGA-E9-A1NF-01A-11D-A897-36	chr1	143276001	144141000	260	0.825147
TCGA-E9-A1NF-01A-11D-A897-36	chr1	144396001	150637000	2924	0.318604
TCGA-E9-A1NF-01A-11D-A897-36	chr1	150637001	151143000	502	0.227749
TCGA-E9-A1NF-01A-11D-A897-36	chr1	151143001	151814000	667	0.076107
TCGA-E9-A1NF-01A-11D-A897-36	chr1	151814001	153850000	1974	0.103120
TCGA-E9-A1NF-01A-11D-A897-36	chr1	153850001	154189000	339	0.066149
TCGA-E9-A1NF-01A-11D-A897-36	chr1	154189001	154270000	81	0.969475
TCGA-E9-A1NF-01A-11D-A897-36	chr1	154270001	154465000	195	0.059241
TCGA-E9-A1NF-01A-11D-A897-36	chr1	154465001	156826000	2329	0.077993
TCGA-E9-A1NF-01A-11D-A897-36	chr1	156826001	157923000	1097	0.100194
TCGA-E9-A1NF-01A-11D-A897-36	chr1	157923001	158407000	483	0.089740
TCGA-E9-A1NF-01A-11D-A897-36	chr1	158407001	158861000	453	0.099578
TCGA-E9-A1NF-01A-11D-A897-36	chr1	158861001	159366000	494	0.103333
TCGA-E9-A1NF-01A-11D-A897-36	chr1	159366001	160263000	892	0.325662
TCGA-E9-A1NF-01A-11D-A897-36	chr1	160263001	162429000	2076	0.517847
TCGA-E9-A1NF-01A-11D-A897-36	chr1	162429001	162653000	224	0.306826
TCGA-E9-A1NF-01A-11D-A897-36	chr1	162653001	164357000	1693	0.341188
TCGA-E9-A1NF-01A-11D-A897-36	chr1	164357001	165138000	779	0.306509
TCGA-E9-A1NF-01A-11D-A897-36	chr1	165138001	165838000	700	0.109829
TCGA-E9-A1NF-01A-11D-A897-36	chr1	165838001	165856000	18	0.303714
TCGA-E9-A1NF-01A-11D-A897-36	chr1	165856001	169302000	3407	0.101431
TCGA-E9-A1NF-01A-11D-A897-36	chr1	169302001	173703000	4383	0.335940
TCGA-E9-A1NF-01A-11D-A897-36	chr1	173703001	174088000	385	0.300653
TCGA-E9-A1NF-01A-11D-A897-36	chr1	174088001	177276000	3147	0.336056
TCGA-E9-A1NF-01A-11D-A897-36	chr1	177276001	178575000	1294	0.373539
TCGA-E9-A1NF-01A-11D-A897-36	chr1	178575001	180156000	1573	0.318649
