GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	17001	7554000	6571	0.157728
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	7554001	10105000	2545	0.135832
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	10105001	12789000	2682	-0.038645
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	12789001	13059000	93	-0.978607
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	13104001	13233000	30	0.503948
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	13233001	13241000	8	-1.778506
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	13241001	16603000	3242	-0.046022
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	16604001	16646000	42	-0.002968
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	16646001	16882000	97	0.054841
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	16882001	16949000	66	-0.027619
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	16949001	21135000	4178	-0.037218
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	21135001	21853000	705	0.155265
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	21853001	21989000	135	0.186896
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	21989001	22012000	22	-0.925249
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	22015001	26436000	4319	0.149205
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	26436001	44197000	17669	-0.044356
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	44197001	65408000	21098	0.123339
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	65408001	67145000	1713	0.497409
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	67145001	67218000	73	1.373326
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	67218001	67277000	59	0.127447
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	67277001	67536000	259	1.384187
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	67536001	67573000	36	0.130104
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	67573001	68629000	1056	1.375888
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	68629001	68816000	181	0.089493
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	68816001	69054000	238	0.519497
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	69054001	73181000	4053	0.098598
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	73181001	84063000	10768	0.101385
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	84063001	85181000	1116	0.121577
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	85181001	85287000	106	0.499460
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	85287001	85309000	22	1.380110
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	85309001	85375000	66	0.132165
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	85375001	85813000	420	1.379644
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	85813001	85919000	104	0.401865
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	85919001	86063000	138	1.165574
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	86063001	86199000	135	0.101854
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	86199001	86219000	18	1.149612
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	86219001	86279000	58	0.125329
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	86279001	86290000	11	1.364573
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	86290001	86875000	578	0.110751
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	86875001	86954000	79	1.356711
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	86954001	87660000	706	0.101730
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	87660001	87935000	275	0.484807
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	87935001	88301000	365	0.820848
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	88301001	88462000	157	0.496813
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	88462001	88503000	41	1.369038
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	88503001	89344000	841	0.108638
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	89344001	89446000	95	1.395561
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	89446001	90336000	880	0.112119
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	90336001	90362000	26	1.405522
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	90362001	90373000	11	0.111682
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	90373001	90416000	42	1.378848
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	90416001	91236000	815	0.112528
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	91236001	92497000	1255	0.277934
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	92497001	92730000	233	0.919592
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	92730001	106608000	13643	0.105795
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	106608001	115871000	8996	0.125797
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	115871001	116180000	306	-0.290095
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	116180001	116245000	65	-0.281118
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	116245001	116325000	80	-0.272076
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	116325001	116480000	155	-0.276463
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	116480001	116898000	416	-0.263678
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	116898001	117087000	189	-0.266328
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	117087001	119847000	2750	0.119023
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	119847001	119870000	23	2.473616
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	119870001	119893000	23	2.543852
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	119893001	120093000	110	2.712098
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	120095001	120198000	46	2.427623
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	120199001	121296000	123	1.671401
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	121391001	122405000	209	0.221965
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	122520001	124783000	315	0.041448
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	124802001	143538000	331	0.351292
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	143538001	143938000	237	0.687624
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	144101001	153714000	5936	0.401701
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	153714001	157645000	3899	0.412127
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	157645001	159613000	1952	0.373721
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	159613001	160993000	1377	0.406782
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	160993001	162530000	1448	0.400228
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	162530001	175047000	12419	0.382320
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	175047001	175559000	511	0.396468
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	175559001	175931000	372	0.381850
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	175931001	179745000	3789	0.381908
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	179745001	186021000	6244	0.392555
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	186021001	188792000	2743	0.356388
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	188792001	188986000	194	0.348767
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	188986001	193580000	4577	0.355276
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	193580001	194787000	1194	0.361260
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	194787001	197424000	2540	0.360937
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	197424001	199138000	1701	0.368303
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	199138001	199145000	7	-7.007929
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	199145001	200400000	1249	0.374335
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	200400001	201072000	667	0.396756
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	201072001	202168000	1095	0.414663
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	202168001	205949000	3776	0.410037
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	205949001	206868000	689	0.415249
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	206868001	206921000	53	0.410679
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	206921001	212118000	5130	0.386927
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	212118001	212926000	800	0.403991
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	212926001	213507000	580	0.374915
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	213507001	218854000	5325	0.370876
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	218854001	221308000	2434	0.367105
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	221308001	222073000	765	0.377450
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	222073001	222091000	18	0.340377
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	222091001	222342000	244	0.379531
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	222342001	223017000	655	0.390807
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	223017001	225097000	1962	0.400652
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	225097001	225306000	209	0.383090
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	225306001	225709000	402	0.396628
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	225709001	225745000	36	0.392307
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	225745001	227153000	1405	0.405369
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	227153001	227862000	694	0.388052
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	227862001	228674000	715	0.434859
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	228674001	229848000	1164	0.391060
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	229848001	230092000	244	0.389292
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	230092001	230992000	898	0.394990
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	230992001	234525000	3522	0.392228
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	234525001	234564000	39	0.394652
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	234564001	238020000	3416	0.387497
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	238020001	238625000	605	0.345634
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	238625001	238682000	56	0.353720
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	238682001	239609000	926	0.351867
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	239609001	241098000	1480	0.357712
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	241098001	241113000	15	0.379081
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	241113001	242934000	1811	0.370516
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	242934001	242946000	12	0.447438
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	242946001	246663000	3659	0.382144
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	246663001	246722000	59	0.440974
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	246722001	246797000	74	0.404791
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	246797001	247246000	438	0.396754
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	247246001	247411000	164	0.541383
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	247411001	247564000	153	0.473972
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	247564001	247710000	140	0.287074
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	247710001	247837000	121	0.300541
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	247837001	248598000	655	0.359111
TCGA-AN-A0FZ-01A-11D-A891-36	chr1	248598001	248931000	306	0.400244
TCGA-AN-A0FZ-01A-11D-A891-36	chr2	11001	89789000	87808	-0.071134
TCGA-AN-A0FZ-01A-11D-A891-36	chr2	89789001	89852000	62	-0.206583
TCGA-AN-A0FZ-01A-11D-A891-36	chr2	89869001	129230000	33408	-0.071665
TCGA-AN-A0FZ-01A-11D-A891-36	chr2	129230001	129783000	542	-1.074483
TCGA-AN-A0FZ-01A-11D-A891-36	chr2	129783001	242159000	111076	-0.076262
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	12001	159000	144	-0.043174
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	159001	8782000	8555	0.278566
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	8782001	8819000	37	0.844466
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	8819001	16197000	7360	0.310762
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	16197001	16200000	3	-29.887123
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	16200001	17968000	1759	0.280440
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	17968001	24149000	6140	0.115688
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	24149001	25887000	1735	0.139323
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	25887001	36838000	10890	0.140111
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	36838001	42197000	5337	0.173104
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	42197001	43269000	1064	0.181461
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	43269001	44071000	799	-0.476151
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	44071001	44087000	16	-0.469889
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	44087001	44100000	13	-0.462221
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	44100001	44181000	81	-0.486711
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	44181001	44582000	401	-0.480494
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	44582001	44598000	16	-0.475646
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	44598001	44871000	272	-0.476281
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	44871001	45268000	397	-0.452378
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	45268001	45284000	16	-0.482405
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	45284001	45334000	50	-0.465486
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	45334001	45358000	24	-0.455820
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	45358001	46670000	1310	-0.464196
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	46670001	46761000	91	-0.425318
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	46761001	47034000	265	-0.431292
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	47034001	48154000	1116	-0.467195
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	48154001	48492000	334	-0.452602
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	48492001	48729000	236	-0.435936
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	48729001	49548000	818	-0.463715
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	49548001	49559000	11	-0.438441
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	49559001	49617000	57	-0.451229
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	49617001	49626000	9	-0.487105
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	49626001	50123000	496	-0.439654
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	50123001	50136000	13	-0.357872
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	50136001	50386000	250	-0.408165
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	50386001	51740000	1346	-0.456884
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	51740001	51932000	190	-0.475991
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	51932001	52600000	668	-0.426952
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	52600001	53106000	506	-0.460972
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	53106001	53144000	38	-0.472939
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	53144001	53183000	39	-0.383582
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	53183001	53510000	321	-0.457468
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	53510001	53759000	248	-0.475345
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	53759001	53805000	46	-0.431591
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	53805001	54849000	1035	-0.482601
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	54849001	54881000	32	-0.485549
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	54881001	55284000	396	-0.484640
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	55284001	55336000	52	-0.442429
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	55336001	55593000	257	-0.481085
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	55593001	55616000	23	-0.508578
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	55616001	55853000	237	-0.468288
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	55853001	55890000	37	-0.485611
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	55890001	55901000	11	-0.478452
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	55901001	55970000	69	-0.485922
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	55970001	56014000	44	-0.497067
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	56014001	56115000	101	-0.479177
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	56115001	56341000	226	-0.476241
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	56341001	56400000	59	-0.473254
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	56400001	57038000	634	-0.477050
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	57038001	57074000	36	-0.461185
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	57074001	57353000	278	-0.470006
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	57353001	58024000	670	-0.470538
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	58024001	58481000	457	-0.478880
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	58481001	59433000	944	-0.474003
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	59433001	59478000	45	-0.487523
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	59478001	59753000	275	-0.488325
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	59753001	59774000	21	-0.484717
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	59774001	60056000	281	-0.499156
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	60056001	60064000	8	-0.459373
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	60064001	60156000	92	-0.507615
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	60156001	60423000	267	-0.487564
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	60423001	60509000	86	-0.494020
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	60509001	60732000	223	-0.486795
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	60732001	60741000	9	-0.447727
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	60741001	61822000	1079	-0.491127
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	61822001	61837000	15	-0.502029
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	61837001	62131000	294	-0.509098
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	62131001	63269000	1118	-0.498423
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	63269001	63374000	104	-0.513891
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	63374001	63689000	311	-0.493246
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	63689001	63779000	89	-0.469996
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	63779001	64080000	301	-0.482335
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	64080001	64680000	599	-0.483028
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	64680001	64691000	11	-0.442772
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	64691001	64745000	54	-0.483921
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	64745001	65152000	406	-0.475818
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	65152001	65259000	107	-0.465896
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	65259001	65695000	431	-0.488307
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	65695001	65709000	11	-0.381373
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	65709001	65767000	58	-0.464537
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	65767001	66101000	334	-0.482633
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	66101001	66117000	16	-0.443319
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	66117001	66331000	213	-0.481606
TCGA-AN-A0FZ-01A-11D-A891-36	chr3	66331001	66340000	9	-0.483804
