GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	17001	827000	58	0.245241
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	827001	2652000	1750	-0.003263
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	2652001	2757000	11	-0.591765
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	2775001	16619000	13367	-0.004880
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	16619001	16719000	60	-0.149929
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	16719001	16730000	11	0.361508
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	16730001	16889000	60	0.199424
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	16889001	16907000	18	0.406449
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	16907001	16949000	41	0.424210
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	16949001	100877000	83271	-0.004083
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	100877001	101297000	419	-0.531656
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	101297001	101337000	40	-0.516657
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	101337001	110134000	8371	0.217873
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	110134001	124006000	10357	0.227496
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	124012001	124070000	7	-0.396521
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	124096001	124284000	27	0.694167
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	124290001	124299000	2	-1.988629
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	124306001	143484000	433	0.206661
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	143498001	144141000	250	-0.819850
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	144396001	153170000	5390	0.229049
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	153170001	196705000	43168	0.229008
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	196705001	196971000	179	0.274777
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	196971001	207273000	10042	0.235005
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	207273001	234777000	27102	0.234473
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	234777001	234783000	6	0.149812
TCGA-GM-A5PV-01A-41D-A89F-36	chr1	234783001	248931000	13871	0.233188
TCGA-GM-A5PV-01A-41D-A89F-36	chr2	11001	242159000	232896	-0.004338
TCGA-GM-A5PV-01A-41D-A89F-36	chr3	12001	142100000	138427	-0.002484
TCGA-GM-A5PV-01A-41D-A89F-36	chr3	142100001	142368000	268	0.584348
TCGA-GM-A5PV-01A-41D-A89F-36	chr3	142368001	161696000	19225	-0.004344
TCGA-GM-A5PV-01A-41D-A89F-36	chr3	161696001	161832000	136	-0.998915
TCGA-GM-A5PV-01A-41D-A89F-36	chr3	161832001	173674000	11658	-0.006214
TCGA-GM-A5PV-01A-41D-A89F-36	chr3	173674001	174720000	1043	-0.279016
TCGA-GM-A5PV-01A-41D-A89F-36	chr3	174720001	177796000	3056	-0.603073
TCGA-GM-A5PV-01A-41D-A89F-36	chr3	177796001	178396000	599	-0.279510
TCGA-GM-A5PV-01A-41D-A89F-36	chr3	178396001	195672000	17103	-0.003505
TCGA-GM-A5PV-01A-41D-A89F-36	chr3	195672001	195707000	34	0.138765
TCGA-GM-A5PV-01A-41D-A89F-36	chr3	195707001	198175000	2380	-0.006029
TCGA-GM-A5PV-01A-41D-A89F-36	chr4	15001	34778000	34133	-0.005208
TCGA-GM-A5PV-01A-41D-A89F-36	chr4	34778001	34827000	49	-0.895057
TCGA-GM-A5PV-01A-41D-A89F-36	chr4	34827001	49092000	14206	-0.007830
TCGA-GM-A5PV-01A-41D-A89F-36	chr4	49092001	50663000	300	0.088492
TCGA-GM-A5PV-01A-41D-A89F-36	chr4	50679001	69258000	17114	-0.006877
TCGA-GM-A5PV-01A-41D-A89F-36	chr4	69260001	69366000	103	-0.775621
TCGA-GM-A5PV-01A-41D-A89F-36	chr4	69366001	99763000	30186	-0.005351
TCGA-GM-A5PV-01A-41D-A89F-36	chr4	99763001	99773000	10	0.638680
TCGA-GM-A5PV-01A-41D-A89F-36	chr4	99773001	190204000	89478	-0.013249
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	13001	778000	694	0.201343
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	778001	826000	40	-0.905809
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	827001	20742000	19690	0.218470
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	20742001	24012000	3206	0.220329
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	24012001	32469000	8402	0.214936
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	32469001	86814000	48542	0.223040
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	86814001	86821000	7	0.224230
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	86822001	87181000	356	0.228657
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	87181001	87221000	40	0.881638
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	87221001	99143000	11860	0.222950
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	99143001	115666000	16318	0.222170
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	115666001	121909000	6207	0.220708
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	121909001	122080000	169	0.218479
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	122080001	125292000	3198	0.220738
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	125292001	131885000	6557	0.220832
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	131885001	150468000	18472	0.225032
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	150468001	151871000	1401	0.229714
TCGA-GM-A5PV-01A-41D-A89F-36	chr5	151871001	181474000	28783	0.224099
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	148001	257000	109	-0.038601
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	257001	362000	105	0.586003
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	362001	382000	20	0.711070
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	382001	6769000	6335	-0.007232
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	6769001	7328000	557	-0.270137
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	7328001	9686000	2346	-0.268986
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	9686001	9819000	131	0.577557
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	9819001	9899000	80	0.595220
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	9899001	10028000	125	0.588782
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	10028001	10600000	571	0.578423
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	10600001	11112000	511	0.581425
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	11112001	11790000	678	0.593269
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	11790001	12115000	325	0.246728
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	12115001	13519000	1404	-0.268988
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	13519001	22814000	9273	0.219968
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	22814001	23492000	674	-0.010523
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	23492001	25051000	1545	-0.266683
TCGA-GM-A5PV-01A-41D-A89F-36	chr6	25051001	26896000	1674	-0.272733
