GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AO-A0J5-01A-11D-A744-36	chr1	17001	10499000	9509	-0.233511
TCGA-AO-A0J5-01A-11D-A744-36	chr1	10499001	14770000	3867	-0.234955
TCGA-AO-A0J5-01A-11D-A744-36	chr1	14770001	14811000	41	-0.216398
TCGA-AO-A0J5-01A-11D-A744-36	chr1	14811001	16487000	1671	-0.241079
TCGA-AO-A0J5-01A-11D-A744-36	chr1	16487001	16644000	123	-0.343419
TCGA-AO-A0J5-01A-11D-A744-36	chr1	16644001	16654000	10	-1.169828
TCGA-AO-A0J5-01A-11D-A744-36	chr1	16674001	16909000	116	-0.332733
TCGA-AO-A0J5-01A-11D-A744-36	chr1	16909001	16928000	18	-0.358428
TCGA-AO-A0J5-01A-11D-A744-36	chr1	16928001	16949000	21	-0.367399
TCGA-AO-A0J5-01A-11D-A744-36	chr1	16949001	29479000	12392	-0.236410
TCGA-AO-A0J5-01A-11D-A744-36	chr1	29479001	47884000	18291	-0.232104
TCGA-AO-A0J5-01A-11D-A744-36	chr1	47884001	48020000	135	-0.227356
TCGA-AO-A0J5-01A-11D-A744-36	chr1	48020001	48900000	871	-0.227007
TCGA-AO-A0J5-01A-11D-A744-36	chr1	48900001	49273000	369	-0.218674
TCGA-AO-A0J5-01A-11D-A744-36	chr1	49273001	63732000	14398	-0.231585
TCGA-AO-A0J5-01A-11D-A744-36	chr1	63732001	65874000	2127	-0.231000
TCGA-AO-A0J5-01A-11D-A744-36	chr1	65874001	71046000	5137	-0.227530
TCGA-AO-A0J5-01A-11D-A744-36	chr1	71046001	72290000	1231	-0.214614
TCGA-AO-A0J5-01A-11D-A744-36	chr1	72290001	72298000	8	-1.327756
TCGA-AO-A0J5-01A-11D-A744-36	chr1	72298001	78705000	6325	-0.223343
TCGA-AO-A0J5-01A-11D-A744-36	chr1	78705001	78806000	101	-0.221161
TCGA-AO-A0J5-01A-11D-A744-36	chr1	78806001	81908000	3077	-0.223006
TCGA-AO-A0J5-01A-11D-A744-36	chr1	81908001	83372000	1426	-0.218358
TCGA-AO-A0J5-01A-11D-A744-36	chr1	83372001	83585000	204	-0.195336
TCGA-AO-A0J5-01A-11D-A744-36	chr1	83585001	93073000	9406	-0.229905
TCGA-AO-A0J5-01A-11D-A744-36	chr1	93073001	120672000	26495	0.026187
TCGA-AO-A0J5-01A-11D-A744-36	chr1	120805001	120910000	24	-29.578997
TCGA-AO-A0J5-01A-11D-A744-36	chr1	120910001	120911000	1	-7.649238
TCGA-AO-A0J5-01A-11D-A744-36	chr1	120921001	123721000	410	-0.005764
TCGA-AO-A0J5-01A-11D-A744-36	chr1	123742001	124291000	65	-0.442011
TCGA-AO-A0J5-01A-11D-A744-36	chr1	124298001	125012000	189	0.143005
TCGA-AO-A0J5-01A-11D-A744-36	chr1	125012001	125046000	34	0.999610
TCGA-AO-A0J5-01A-11D-A744-36	chr1	125046001	143839000	437	0.126672
TCGA-AO-A0J5-01A-11D-A744-36	chr1	143841001	143938000	19	-0.759649
TCGA-AO-A0J5-01A-11D-A744-36	chr1	144101001	147901000	1681	0.420186
TCGA-AO-A0J5-01A-11D-A744-36	chr1	147901001	148258000	142	0.459339
TCGA-AO-A0J5-01A-11D-A744-36	chr1	148258001	153172000	3574	0.420108
TCGA-AO-A0J5-01A-11D-A744-36	chr1	153172001	156142000	2938	0.420535
TCGA-AO-A0J5-01A-11D-A744-36	chr1	156142001	157362000	1217	0.424978
TCGA-AO-A0J5-01A-11D-A744-36	chr1	157362001	161631000	4190	0.426841
TCGA-AO-A0J5-01A-11D-A744-36	chr1	161631001	161638000	4	0.249571
TCGA-AO-A0J5-01A-11D-A744-36	chr1	161638001	164877000	3200	0.425875
TCGA-AO-A0J5-01A-11D-A744-36	chr1	164877001	172164000	7237	0.424401
TCGA-AO-A0J5-01A-11D-A744-36	chr1	172164001	177483000	5270	0.423474
TCGA-AO-A0J5-01A-11D-A744-36	chr1	177483001	177781000	296	0.435055
TCGA-AO-A0J5-01A-11D-A744-36	chr1	177781001	179361000	1571	0.422948
TCGA-AO-A0J5-01A-11D-A744-36	chr1	179361001	179365000	4	-0.739013
TCGA-AO-A0J5-01A-11D-A744-36	chr1	179365001	188595000	9170	0.425998
TCGA-AO-A0J5-01A-11D-A744-36	chr1	188595001	188802000	206	0.442950
TCGA-AO-A0J5-01A-11D-A744-36	chr1	188802001	195181000	6349	0.437273
TCGA-AO-A0J5-01A-11D-A744-36	chr1	195181001	195481000	300	0.441482
TCGA-AO-A0J5-01A-11D-A744-36	chr1	195481001	201937000	6334	0.431485
TCGA-AO-A0J5-01A-11D-A744-36	chr1	201937001	227369000	24927	0.586628
TCGA-AO-A0J5-01A-11D-A744-36	chr1	227369001	228753000	1274	0.613367
TCGA-AO-A0J5-01A-11D-A744-36	chr1	228753001	248553000	19544	0.579938
TCGA-AO-A0J5-01A-11D-A744-36	chr1	248562001	248635000	65	-0.401774
TCGA-AO-A0J5-01A-11D-A744-36	chr1	248645001	248931000	270	0.572147
TCGA-AO-A0J5-01A-11D-A744-36	chr2	11001	92082000	88574	0.020209
TCGA-AO-A0J5-01A-11D-A744-36	chr2	92197001	93643000	26	0.915914
TCGA-AO-A0J5-01A-11D-A744-36	chr2	93672001	99938000	4998	0.024543
TCGA-AO-A0J5-01A-11D-A744-36	chr2	99938001	100722000	770	0.264795
TCGA-AO-A0J5-01A-11D-A744-36	chr2	100722001	113488000	11368	0.017245
TCGA-AO-A0J5-01A-11D-A744-36	chr2	113488001	113507000	9	-2.088820
TCGA-AO-A0J5-01A-11D-A744-36	chr2	113507001	173867000	59397	0.024257
TCGA-AO-A0J5-01A-11D-A744-36	chr2	173867001	174078000	211	-0.551410
TCGA-AO-A0J5-01A-11D-A744-36	chr2	174078001	211659000	37311	0.025725
TCGA-AO-A0J5-01A-11D-A744-36	chr2	211659001	211714000	55	0.762578
TCGA-AO-A0J5-01A-11D-A744-36	chr2	211714001	211854000	140	1.036745
TCGA-AO-A0J5-01A-11D-A744-36	chr2	211854001	211993000	134	1.110734
TCGA-AO-A0J5-01A-11D-A744-36	chr2	211993001	212074000	81	0.779545
TCGA-AO-A0J5-01A-11D-A744-36	chr2	212074001	212106000	32	0.920907
TCGA-AO-A0J5-01A-11D-A744-36	chr2	212106001	213159000	1052	0.258242
TCGA-AO-A0J5-01A-11D-A744-36	chr2	213159001	242159000	28738	0.015873
TCGA-AO-A0J5-01A-11D-A744-36	chr3	12001	141000	126	-0.546331
TCGA-AO-A0J5-01A-11D-A744-36	chr3	141001	762000	617	0.421616
TCGA-AO-A0J5-01A-11D-A744-36	chr3	762001	4302000	3500	0.427146
TCGA-AO-A0J5-01A-11D-A744-36	chr3	4302001	4348000	46	0.435214
TCGA-AO-A0J5-01A-11D-A744-36	chr3	4348001	5407000	1053	0.416174
TCGA-AO-A0J5-01A-11D-A744-36	chr3	5407001	10526000	5099	0.021846
TCGA-AO-A0J5-01A-11D-A744-36	chr3	10526001	10788000	262	0.420435
TCGA-AO-A0J5-01A-11D-A744-36	chr3	10788001	27520000	16646	0.023125
TCGA-AO-A0J5-01A-11D-A744-36	chr3	27520001	27987000	465	-0.559113
TCGA-AO-A0J5-01A-11D-A744-36	chr3	27987001	28360000	372	-0.522477
TCGA-AO-A0J5-01A-11D-A744-36	chr3	28360001	28369000	8	-0.529197
TCGA-AO-A0J5-01A-11D-A744-36	chr3	28369001	28496000	119	-0.540389
TCGA-AO-A0J5-01A-11D-A744-36	chr3	28496001	28504000	8	-2.516371
TCGA-AO-A0J5-01A-11D-A744-36	chr3	28504001	28968000	464	-0.544060
TCGA-AO-A0J5-01A-11D-A744-36	chr3	28968001	28977000	9	0.054200
TCGA-AO-A0J5-01A-11D-A744-36	chr3	28977001	29370000	390	-0.535972
TCGA-AO-A0J5-01A-11D-A744-36	chr3	29370001	29452000	82	-0.549022
TCGA-AO-A0J5-01A-11D-A744-36	chr3	29452001	29749000	297	-0.527751
TCGA-AO-A0J5-01A-11D-A744-36	chr3	29749001	29769000	20	-0.527574
TCGA-AO-A0J5-01A-11D-A744-36	chr3	29769001	30861000	1091	-0.527884
TCGA-AO-A0J5-01A-11D-A744-36	chr3	30861001	34200000	3328	-0.545752
TCGA-AO-A0J5-01A-11D-A744-36	chr3	34200001	34209000	9	-0.624323
TCGA-AO-A0J5-01A-11D-A744-36	chr3	34209001	35146000	925	-0.529196
TCGA-AO-A0J5-01A-11D-A744-36	chr3	35146001	35212000	66	-0.549429
TCGA-AO-A0J5-01A-11D-A744-36	chr3	35212001	36112000	898	-0.532000
TCGA-AO-A0J5-01A-11D-A744-36	chr3	36112001	36960000	844	-0.532821
TCGA-AO-A0J5-01A-11D-A744-36	chr3	36960001	37611000	651	-0.545090
TCGA-AO-A0J5-01A-11D-A744-36	chr3	37611001	38375000	759	-0.539350
TCGA-AO-A0J5-01A-11D-A744-36	chr3	38375001	39896000	1517	-0.533577
TCGA-AO-A0J5-01A-11D-A744-36	chr3	39896001	39919000	23	-0.506499
TCGA-AO-A0J5-01A-11D-A744-36	chr3	39919001	45632000	5688	-0.544435
TCGA-AO-A0J5-01A-11D-A744-36	chr3	45632001	46708000	1075	-0.532877
TCGA-AO-A0J5-01A-11D-A744-36	chr3	46708001	46888000	172	-0.459145
TCGA-AO-A0J5-01A-11D-A744-36	chr3	46888001	49572000	2674	-0.552538
TCGA-AO-A0J5-01A-11D-A744-36	chr3	49572001	52993000	3409	-0.543358
TCGA-AO-A0J5-01A-11D-A744-36	chr3	52993001	53004000	11	-2.408997
TCGA-AO-A0J5-01A-11D-A744-36	chr3	53004001	54346000	1332	-0.543668
TCGA-AO-A0J5-01A-11D-A744-36	chr3	54346001	54452000	100	-0.541671
TCGA-AO-A0J5-01A-11D-A744-36	chr3	54452001	55161000	702	-0.537100
TCGA-AO-A0J5-01A-11D-A744-36	chr3	55161001	55170000	9	-0.527313
TCGA-AO-A0J5-01A-11D-A744-36	chr3	55170001	55901000	731	-0.550585
TCGA-AO-A0J5-01A-11D-A744-36	chr3	55901001	56400000	499	-0.541358
TCGA-AO-A0J5-01A-11D-A744-36	chr3	56400001	56921000	519	-0.548372
TCGA-AO-A0J5-01A-11D-A744-36	chr3	56921001	56973000	51	-0.530724
TCGA-AO-A0J5-01A-11D-A744-36	chr3	56973001	58688000	1710	-0.548904
TCGA-AO-A0J5-01A-11D-A744-36	chr3	58688001	59687000	993	-0.535398
TCGA-AO-A0J5-01A-11D-A744-36	chr3	59687001	59719000	32	-0.524591
TCGA-AO-A0J5-01A-11D-A744-36	chr3	59719001	59898000	179	-0.538316
TCGA-AO-A0J5-01A-11D-A744-36	chr3	59898001	60008000	109	-0.510915
TCGA-AO-A0J5-01A-11D-A744-36	chr3	60008001	60031000	23	-0.563842
TCGA-AO-A0J5-01A-11D-A744-36	chr3	60031001	60128000	97	-0.537799
TCGA-AO-A0J5-01A-11D-A744-36	chr3	60128001	60142000	14	-0.500240
TCGA-AO-A0J5-01A-11D-A744-36	chr3	60142001	60236000	94	-0.531952
TCGA-AO-A0J5-01A-11D-A744-36	chr3	60236001	60607000	371	-0.528683
TCGA-AO-A0J5-01A-11D-A744-36	chr3	60607001	60746000	139	-0.522980
TCGA-AO-A0J5-01A-11D-A744-36	chr3	60746001	63352000	2583	-0.545918
TCGA-AO-A0J5-01A-11D-A744-36	chr3	63352001	65907000	2540	-0.544124
TCGA-AO-A0J5-01A-11D-A744-36	chr3	65907001	65916000	9	-0.547081
TCGA-AO-A0J5-01A-11D-A744-36	chr3	65916001	66776000	858	-0.551998
TCGA-AO-A0J5-01A-11D-A744-36	chr3	66776001	68150000	1368	-0.536844
