GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-C8-A138-01A-11D-A894-36	chr1	17001	187000	5	-0.897617
TCGA-C8-A138-01A-11D-A894-36	chr1	190001	916000	136	-0.377488
TCGA-C8-A138-01A-11D-A894-36	chr1	916001	1007000	89	-0.290544
TCGA-C8-A138-01A-11D-A894-36	chr1	1007001	1101000	89	-0.270600
TCGA-C8-A138-01A-11D-A894-36	chr1	1101001	1200000	96	-0.333204
TCGA-C8-A138-01A-11D-A894-36	chr1	1200001	2318000	1060	-0.334380
TCGA-C8-A138-01A-11D-A894-36	chr1	2318001	2903000	469	-0.302405
TCGA-C8-A138-01A-11D-A894-36	chr1	2903001	3489000	579	-0.344800
TCGA-C8-A138-01A-11D-A894-36	chr1	3489001	3624000	134	-0.293123
TCGA-C8-A138-01A-11D-A894-36	chr1	3624001	3656000	31	-0.349357
TCGA-C8-A138-01A-11D-A894-36	chr1	3656001	6003000	2335	-0.369166
TCGA-C8-A138-01A-11D-A894-36	chr1	6003001	6263000	258	-0.331272
TCGA-C8-A138-01A-11D-A894-36	chr1	6263001	6276000	13	-0.272500
TCGA-C8-A138-01A-11D-A894-36	chr1	6276001	7186000	909	-0.366910
TCGA-C8-A138-01A-11D-A894-36	chr1	7186001	7512000	326	-0.374143
TCGA-C8-A138-01A-11D-A894-36	chr1	7512001	12836000	5314	-0.363243
TCGA-C8-A138-01A-11D-A894-36	chr1	12836001	13621000	387	-0.341989
TCGA-C8-A138-01A-11D-A894-36	chr1	13621001	14933000	1309	-0.380005
TCGA-C8-A138-01A-11D-A894-36	chr1	14933001	14956000	23	-0.333977
TCGA-C8-A138-01A-11D-A894-36	chr1	14956001	16000000	1040	-0.366078
TCGA-C8-A138-01A-11D-A894-36	chr1	16000001	16479000	478	-0.345788
TCGA-C8-A138-01A-11D-A894-36	chr1	16479001	16576000	71	-0.382903
TCGA-C8-A138-01A-11D-A894-36	chr1	16576001	16647000	63	-0.524605
TCGA-C8-A138-01A-11D-A894-36	chr1	16647001	16889000	103	-0.347912
TCGA-C8-A138-01A-11D-A894-36	chr1	16889001	16909000	20	-0.649520
TCGA-C8-A138-01A-11D-A894-36	chr1	16909001	17069000	157	-0.427824
TCGA-C8-A138-01A-11D-A894-36	chr1	17069001	18378000	1308	-0.358029
TCGA-C8-A138-01A-11D-A894-36	chr1	18378001	18394000	16	-0.348265
TCGA-C8-A138-01A-11D-A894-36	chr1	18394001	19371000	976	-0.364362
TCGA-C8-A138-01A-11D-A894-36	chr1	19371001	19461000	90	-0.362505
TCGA-C8-A138-01A-11D-A894-36	chr1	19461001	21405000	1937	-0.360389
TCGA-C8-A138-01A-11D-A894-36	chr1	21405001	21489000	74	-0.361314
TCGA-C8-A138-01A-11D-A894-36	chr1	21489001	21699000	210	-0.333543
TCGA-C8-A138-01A-11D-A894-36	chr1	21699001	21866000	167	-0.383545
TCGA-C8-A138-01A-11D-A894-36	chr1	21866001	22006000	138	-0.323114
TCGA-C8-A138-01A-11D-A894-36	chr1	22006001	22409000	400	-0.357543
TCGA-C8-A138-01A-11D-A894-36	chr1	22409001	24194000	1782	-0.358949
TCGA-C8-A138-01A-11D-A894-36	chr1	24194001	24202000	8	-0.416424
TCGA-C8-A138-01A-11D-A894-36	chr1	24202001	24892000	685	-0.362624
TCGA-C8-A138-01A-11D-A894-36	chr1	24892001	25142000	249	-0.337087
TCGA-C8-A138-01A-11D-A894-36	chr1	25142001	25538000	304	-0.359158
TCGA-C8-A138-01A-11D-A894-36	chr1	25538001	25584000	46	-0.346305
TCGA-C8-A138-01A-11D-A894-36	chr1	25584001	29966000	4367	-0.356647
TCGA-C8-A138-01A-11D-A894-36	chr1	29966001	30040000	74	-0.367227
TCGA-C8-A138-01A-11D-A894-36	chr1	30040001	30397000	357	-0.352136
TCGA-C8-A138-01A-11D-A894-36	chr1	30397001	33455000	3046	-0.353514
TCGA-C8-A138-01A-11D-A894-36	chr1	33455001	33514000	59	-0.343622
TCGA-C8-A138-01A-11D-A894-36	chr1	33514001	33943000	426	-0.379193
TCGA-C8-A138-01A-11D-A894-36	chr1	33943001	34157000	212	-0.376258
TCGA-C8-A138-01A-11D-A894-36	chr1	34157001	34188000	31	-0.338137
TCGA-C8-A138-01A-11D-A894-36	chr1	34188001	34422000	229	-0.381593
TCGA-C8-A138-01A-11D-A894-36	chr1	34422001	36078000	1649	-0.361287
TCGA-C8-A138-01A-11D-A894-36	chr1	36078001	36205000	127	-0.330921
TCGA-C8-A138-01A-11D-A894-36	chr1	36205001	50334000	14028	-0.363921
TCGA-C8-A138-01A-11D-A894-36	chr1	50334001	59499000	9125	-0.369908
TCGA-C8-A138-01A-11D-A894-36	chr1	59499001	59531000	32	-0.384448
TCGA-C8-A138-01A-11D-A894-36	chr1	59531001	60148000	612	-0.365986
TCGA-C8-A138-01A-11D-A894-36	chr1	60148001	61647000	1494	-0.370902
TCGA-C8-A138-01A-11D-A894-36	chr1	61647001	61654000	7	-2.229504
TCGA-C8-A138-01A-11D-A894-36	chr1	61654001	65915000	4240	-0.373778
TCGA-C8-A138-01A-11D-A894-36	chr1	65915001	66028000	113	-0.362242
TCGA-C8-A138-01A-11D-A894-36	chr1	66028001	66529000	496	-0.361310
TCGA-C8-A138-01A-11D-A894-36	chr1	66529001	66692000	163	-0.359585
TCGA-C8-A138-01A-11D-A894-36	chr1	66692001	66833000	138	-0.381777
TCGA-C8-A138-01A-11D-A894-36	chr1	66833001	66899000	66	-0.350588
TCGA-C8-A138-01A-11D-A894-36	chr1	66899001	72879000	5896	-0.371500
TCGA-C8-A138-01A-11D-A894-36	chr1	72879001	77147000	4241	-0.371729
TCGA-C8-A138-01A-11D-A894-36	chr1	77147001	78207000	1054	-0.369144
TCGA-C8-A138-01A-11D-A894-36	chr1	78207001	86611000	8287	0.097176
TCGA-C8-A138-01A-11D-A894-36	chr1	86611001	86631000	20	1.089435
TCGA-C8-A138-01A-11D-A894-36	chr1	86631001	86636000	5	-29.877700
TCGA-C8-A138-01A-11D-A894-36	chr1	86636001	143505000	33829	0.116552
TCGA-C8-A138-01A-11D-A894-36	chr1	143529001	144572000	315	-0.156014
TCGA-C8-A138-01A-11D-A894-36	chr1	144826001	145821000	317	0.509568
TCGA-C8-A138-01A-11D-A894-36	chr1	145823001	177997000	29574	0.315904
TCGA-C8-A138-01A-11D-A894-36	chr1	177997001	191182000	13108	0.314359
TCGA-C8-A138-01A-11D-A894-36	chr1	191182001	223115000	31407	0.309829
TCGA-C8-A138-01A-11D-A894-36	chr1	223115001	234776000	11405	0.306138
TCGA-C8-A138-01A-11D-A894-36	chr1	234776001	234783000	7	0.225467
TCGA-C8-A138-01A-11D-A894-36	chr1	234783001	246059000	11166	0.294486
TCGA-C8-A138-01A-11D-A894-36	chr1	246059001	246094000	35	-0.140108
TCGA-C8-A138-01A-11D-A894-36	chr1	246094001	248931000	2670	0.301604
TCGA-C8-A138-01A-11D-A894-36	chr2	11001	8400000	8282	-0.052882
TCGA-C8-A138-01A-11D-A894-36	chr2	8400001	35506000	26938	-0.039885
TCGA-C8-A138-01A-11D-A894-36	chr2	35506001	38029000	2489	-0.040718
TCGA-C8-A138-01A-11D-A894-36	chr2	38029001	49016000	10934	-0.039929
