GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	17001	828000	59	0.550258
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	828001	3234000	2212	-0.097009
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	3234001	4051000	809	-0.092678
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	4051001	5298000	1239	-0.063708
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	5298001	6207000	906	-0.069298
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	6207001	6247000	40	0.022363
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	6247001	6378000	131	0.144653
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	6378001	6386000	8	-1.423286
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	6386001	7186000	799	0.167476
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	7186001	11985000	4792	-0.072814
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	11985001	12036000	51	-0.126218
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	12036001	12583000	547	-0.065311
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	12583001	13664000	680	-0.058369
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	13664001	16511000	2838	-0.067902
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	16511001	16603000	60	-0.030987
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	16604001	16873000	130	-0.135523
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	16873001	16949000	75	-0.647723
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	16949001	20635000	3682	-0.064823
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	20635001	21364000	724	-0.018205
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	21364001	21392000	26	-1.394996
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	21392001	21783000	381	-0.059219
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	21783001	22695000	907	-0.067949
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	22695001	30644000	7828	-0.065770
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	30644001	30819000	175	0.133610
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	30819001	31872000	1051	-0.065147
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	31872001	36748000	4853	-0.046439
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	36748001	39955000	3180	-0.056447
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	39955001	41032000	1071	-0.049886
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	41032001	42942000	1900	-0.034374
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	42942001	43125000	181	0.169680
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	43125001	44021000	894	-0.012132
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	44021001	46805000	2772	-0.053208
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	46805001	47160000	334	-0.012172
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	47160001	48610000	1440	-0.049142
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	48610001	53900000	5275	-0.042057
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	53900001	54976000	1071	-0.066869
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	54976001	58464000	3460	-0.035145
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	58464001	61392000	2917	-0.026185
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	61392001	62375000	982	0.186927
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	62375001	62435000	60	0.260677
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	62435001	62460000	25	0.370401
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	62460001	63180000	720	0.200042
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	63180001	63225000	45	0.089272
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	63225001	64568000	1334	-0.045864
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	64568001	65555000	984	-0.038698
TCGA-BH-A0BZ-01A-31D-A890-36	chr1	65555001	67197000	1619	-0.024721
