GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-BH-A0B1-01A-11D-A890-36	chr1	17001	16603000	15171	-0.010403
TCGA-BH-A0B1-01A-11D-A890-36	chr1	16604001	16639000	35	-0.148837
TCGA-BH-A0B1-01A-11D-A890-36	chr1	16639001	16909000	131	0.065395
TCGA-BH-A0B1-01A-11D-A890-36	chr1	16909001	120672000	102032	-0.009063
TCGA-BH-A0B1-01A-11D-A890-36	chr1	120805001	120814000	2	-7.860686
TCGA-BH-A0B1-01A-11D-A890-36	chr1	120825001	120860000	6	-7.269525
TCGA-BH-A0B1-01A-11D-A890-36	chr1	120878001	120899000	8	-7.982132
TCGA-BH-A0B1-01A-11D-A890-36	chr1	120901001	120903000	2	-29.806900
TCGA-BH-A0B1-01A-11D-A890-36	chr1	120903001	120909000	5	-6.892217
TCGA-BH-A0B1-01A-11D-A890-36	chr1	120909001	120922000	3	-6.426975
TCGA-BH-A0B1-01A-11D-A890-36	chr1	120935001	248931000	100916	0.041630
TCGA-BH-A0B1-01A-11D-A890-36	chr2	11001	129874000	121911	-0.008676
TCGA-BH-A0B1-01A-11D-A890-36	chr2	129874001	130663000	483	0.571965
TCGA-BH-A0B1-01A-11D-A890-36	chr2	130664001	242159000	110502	-0.006235
TCGA-BH-A0B1-01A-11D-A890-36	chr3	12001	78496000	78070	-0.018330
TCGA-BH-A0B1-01A-11D-A890-36	chr3	78496001	128661000	47078	0.006451
TCGA-BH-A0B1-01A-11D-A890-36	chr3	128661001	128696000	35	0.664645
TCGA-BH-A0B1-01A-11D-A890-36	chr3	128696001	195617000	66299	0.011477
TCGA-BH-A0B1-01A-11D-A890-36	chr3	195617001	195691000	51	0.726288
TCGA-BH-A0B1-01A-11D-A890-36	chr3	195691001	195700000	9	0.701106
TCGA-BH-A0B1-01A-11D-A890-36	chr3	195700001	195730000	26	0.687715
TCGA-BH-A0B1-01A-11D-A890-36	chr3	195730001	195737000	7	0.383151
TCGA-BH-A0B1-01A-11D-A890-36	chr3	195737001	198175000	2354	0.010171
TCGA-BH-A0B1-01A-11D-A890-36	chr4	15001	49092000	48388	0.007310
TCGA-BH-A0B1-01A-11D-A890-36	chr4	49092001	49657000	295	-0.185938
TCGA-BH-A0B1-01A-11D-A890-36	chr4	49657001	190204000	136896	0.008002
TCGA-BH-A0B1-01A-11D-A890-36	chr5	13001	46435000	45863	0.039071
TCGA-BH-A0B1-01A-11D-A890-36	chr5	46621001	181474000	128079	0.015600
TCGA-BH-A0B1-01A-11D-A890-36	chr6	148001	32467000	31930	0.013502
TCGA-BH-A0B1-01A-11D-A890-36	chr6	32467001	32592000	66	0.076327
TCGA-BH-A0B1-01A-11D-A890-36	chr6	32592001	78257000	43457	0.003611
TCGA-BH-A0B1-01A-11D-A890-36	chr6	78257001	78326000	69	-0.855073
TCGA-BH-A0B1-01A-11D-A890-36	chr6	78326001	170612000	91527	-0.034567
TCGA-BH-A0B1-01A-11D-A890-36	chr7	35001	39506000	39021	0.010021
TCGA-BH-A0B1-01A-11D-A890-36	chr7	39506001	39514000	8	-8.431050
TCGA-BH-A0B1-01A-11D-A890-36	chr7	39514001	159335000	112389	0.010369
TCGA-BH-A0B1-01A-11D-A890-36	chr8	205001	12328000	10533	-0.035799
TCGA-BH-A0B1-01A-11D-A890-36	chr8	12374001	12394000	17	0.565563
TCGA-BH-A0B1-01A-11D-A890-36	chr8	12415001	14684000	2140	-0.018034
TCGA-BH-A0B1-01A-11D-A890-36	chr8	14684001	16043000	1346	0.222594
TCGA-BH-A0B1-01A-11D-A890-36	chr8	16043001	34827000	18666	-0.036212
TCGA-BH-A0B1-01A-11D-A890-36	chr8	34827001	36787000	1942	0.112132
TCGA-BH-A0B1-01A-11D-A890-36	chr8	36787001	38885000	2094	0.269277
TCGA-BH-A0B1-01A-11D-A890-36	chr8	38885001	39156000	271	0.398282
TCGA-BH-A0B1-01A-11D-A890-36	chr8	39156001	39339000	183	0.350209
TCGA-BH-A0B1-01A-11D-A890-36	chr8	39339001	40530000	1030	0.297832
TCGA-BH-A0B1-01A-11D-A890-36	chr8	40530001	41597000	1055	0.251444
TCGA-BH-A0B1-01A-11D-A890-36	chr8	41597001	43257000	1651	0.323144
TCGA-BH-A0B1-01A-11D-A890-36	chr8	43257001	43802000	544	0.261409
TCGA-BH-A0B1-01A-11D-A890-36	chr8	43802001	48683000	2846	0.414389
TCGA-BH-A0B1-01A-11D-A890-36	chr8	48683001	50551000	1857	0.323786
TCGA-BH-A0B1-01A-11D-A890-36	chr8	50551001	52387000	1833	0.405312
TCGA-BH-A0B1-01A-11D-A890-36	chr8	52387001	52816000	429	0.405642
TCGA-BH-A0B1-01A-11D-A890-36	chr8	52816001	52944000	128	0.358233
TCGA-BH-A0B1-01A-11D-A890-36	chr8	52944001	55915000	2958	0.433788
TCGA-BH-A0B1-01A-11D-A890-36	chr8	55915001	56725000	808	0.286486
TCGA-BH-A0B1-01A-11D-A890-36	chr8	56725001	56822000	97	0.314036
TCGA-BH-A0B1-01A-11D-A890-36	chr8	56822001	59283000	2443	0.429423
TCGA-BH-A0B1-01A-11D-A890-36	chr8	59283001	59433000	150	0.418113
TCGA-BH-A0B1-01A-11D-A890-36	chr8	59433001	59538000	105	0.396693
