GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-B6-A0IA-01A-11D-A892-36	chr1	17001	15956000	14558	-0.022137
TCGA-B6-A0IA-01A-11D-A892-36	chr1	15956001	16317000	360	0.503650
TCGA-B6-A0IA-01A-11D-A892-36	chr1	16317001	16536000	217	-0.050732
TCGA-B6-A0IA-01A-11D-A892-36	chr1	16536001	16949000	241	-0.402281
TCGA-B6-A0IA-01A-11D-A892-36	chr1	16949001	123715000	102427	-0.016288
TCGA-B6-A0IA-01A-11D-A892-36	chr1	123720001	123721000	1	-4.503249
TCGA-B6-A0IA-01A-11D-A892-36	chr1	123742001	124779000	174	-0.155083
TCGA-B6-A0IA-01A-11D-A892-36	chr1	124780001	143744000	524	0.938485
TCGA-B6-A0IA-01A-11D-A892-36	chr1	143745001	143753000	8	1.475090
TCGA-B6-A0IA-01A-11D-A892-36	chr1	143753001	149201000	2115	0.909473
TCGA-B6-A0IA-01A-11D-A892-36	chr1	149366001	149563000	13	-0.101349
TCGA-B6-A0IA-01A-11D-A892-36	chr1	149615001	248931000	97673	0.905115
TCGA-B6-A0IA-01A-11D-A892-36	chr2	11001	14564000	14416	-0.009507
TCGA-B6-A0IA-01A-11D-A892-36	chr2	14564001	14571000	7	-5.365974
TCGA-B6-A0IA-01A-11D-A892-36	chr2	14571001	19576000	4968	-0.007695
TCGA-B6-A0IA-01A-11D-A892-36	chr2	19576001	89787000	68415	-0.015340
TCGA-B6-A0IA-01A-11D-A892-36	chr2	89787001	89852000	64	-0.162060
TCGA-B6-A0IA-01A-11D-A892-36	chr2	89869001	242159000	145026	-0.013284
TCGA-B6-A0IA-01A-11D-A892-36	chr3	12001	3376000	3335	0.524882
TCGA-B6-A0IA-01A-11D-A892-36	chr3	3376001	3469000	93	0.525914
TCGA-B6-A0IA-01A-11D-A892-36	chr3	3469001	4505000	1017	0.528147
TCGA-B6-A0IA-01A-11D-A892-36	chr3	4505001	5173000	663	0.492181
TCGA-B6-A0IA-01A-11D-A892-36	chr3	5173001	9596000	4404	0.522895
TCGA-B6-A0IA-01A-11D-A892-36	chr3	9596001	10290000	693	0.487136
TCGA-B6-A0IA-01A-11D-A892-36	chr3	10290001	11761000	1469	0.518395
TCGA-B6-A0IA-01A-11D-A892-36	chr3	11761001	13691000	1922	0.509734
TCGA-B6-A0IA-01A-11D-A892-36	chr3	13691001	15553000	1858	0.518750
TCGA-B6-A0IA-01A-11D-A892-36	chr3	15553001	16382000	827	0.504990
TCGA-B6-A0IA-01A-11D-A892-36	chr3	16382001	20126000	3718	0.524352
TCGA-B6-A0IA-01A-11D-A892-36	chr3	20126001	27288000	7118	0.522141
TCGA-B6-A0IA-01A-11D-A892-36	chr3	27288001	27715000	427	0.468852
TCGA-B6-A0IA-01A-11D-A892-36	chr3	27715001	28768000	1041	0.526695
TCGA-B6-A0IA-01A-11D-A892-36	chr3	28768001	29177000	406	0.541124
TCGA-B6-A0IA-01A-11D-A892-36	chr3	29177001	34980000	5780	0.514916
TCGA-B6-A0IA-01A-11D-A892-36	chr3	34980001	36816000	1830	0.534803
TCGA-B6-A0IA-01A-11D-A892-36	chr3	36816001	38492000	1670	0.511036
TCGA-B6-A0IA-01A-11D-A892-36	chr3	38492001	38797000	305	0.539747
TCGA-B6-A0IA-01A-11D-A892-36	chr3	38797001	38996000	198	0.535854
TCGA-B6-A0IA-01A-11D-A892-36	chr3	38996001	39561000	565	0.507736
TCGA-B6-A0IA-01A-11D-A892-36	chr3	39561001	40178000	610	0.533708
TCGA-B6-A0IA-01A-11D-A892-36	chr3	40178001	40382000	202	0.517322
TCGA-B6-A0IA-01A-11D-A892-36	chr3	40382001	42359000	1971	0.506227
TCGA-B6-A0IA-01A-11D-A892-36	chr3	42359001	42546000	187	0.543321
TCGA-B6-A0IA-01A-11D-A892-36	chr3	42546001	43030000	481	0.501518
TCGA-B6-A0IA-01A-11D-A892-36	chr3	43030001	47977000	4926	0.512604
TCGA-B6-A0IA-01A-11D-A892-36	chr3	47977001	49845000	1859	0.488051
TCGA-B6-A0IA-01A-11D-A892-36	chr3	49845001	56285000	6406	0.513853
TCGA-B6-A0IA-01A-11D-A892-36	chr3	56285001	56492000	207	0.534726
TCGA-B6-A0IA-01A-11D-A892-36	chr3	56492001	58422000	1924	0.483355
TCGA-B6-A0IA-01A-11D-A892-36	chr3	58422001	62746000	4312	0.522265
TCGA-B6-A0IA-01A-11D-A892-36	chr3	62746001	63683000	913	0.532567
TCGA-B6-A0IA-01A-11D-A892-36	chr3	63683001	64363000	678	0.503730
TCGA-B6-A0IA-01A-11D-A892-36	chr3	64363001	65793000	1421	0.527714
TCGA-B6-A0IA-01A-11D-A892-36	chr3	65793001	66818000	1023	0.498465
TCGA-B6-A0IA-01A-11D-A892-36	chr3	66818001	69088000	2250	0.527324
TCGA-B6-A0IA-01A-11D-A892-36	chr3	69088001	69306000	218	0.472199
TCGA-B6-A0IA-01A-11D-A892-36	chr3	69306001	75519000	6201	0.513703
TCGA-B6-A0IA-01A-11D-A892-36	chr3	75519001	75753000	208	0.518818
TCGA-B6-A0IA-01A-11D-A892-36	chr3	75753001	77255000	1499	0.526678
TCGA-B6-A0IA-01A-11D-A892-36	chr3	77255001	78923000	1656	0.516206
TCGA-B6-A0IA-01A-11D-A892-36	chr3	78923001	101095000	19297	0.523373
TCGA-B6-A0IA-01A-11D-A892-36	chr3	101095001	102339000	1238	0.502563
TCGA-B6-A0IA-01A-11D-A892-36	chr3	102339001	113588000	11138	0.522728
TCGA-B6-A0IA-01A-11D-A892-36	chr3	113588001	114251000	662	0.503283
TCGA-B6-A0IA-01A-11D-A892-36	chr3	114251001	120894000	6605	0.524609
TCGA-B6-A0IA-01A-11D-A892-36	chr3	120894001	121182000	285	0.540252
TCGA-B6-A0IA-01A-11D-A892-36	chr3	121182001	124121000	2922	0.512128
TCGA-B6-A0IA-01A-11D-A892-36	chr3	124121001	128510000	4359	0.518913
TCGA-B6-A0IA-01A-11D-A892-36	chr3	128510001	129939000	1422	0.495969
TCGA-B6-A0IA-01A-11D-A892-36	chr3	129939001	133578000	3557	0.523480
TCGA-B6-A0IA-01A-11D-A892-36	chr3	133578001	134725000	1145	0.518753
TCGA-B6-A0IA-01A-11D-A892-36	chr3	134725001	135900000	1158	0.538122
TCGA-B6-A0IA-01A-11D-A892-36	chr3	135900001	137164000	1245	0.496642
TCGA-B6-A0IA-01A-11D-A892-36	chr3	137164001	138183000	1005	0.532272
TCGA-B6-A0IA-01A-11D-A892-36	chr3	138183001	139054000	870	0.495436
TCGA-B6-A0IA-01A-11D-A892-36	chr3	139054001	141374000	2310	0.524953
TCGA-B6-A0IA-01A-11D-A892-36	chr3	141374001	143375000	1992	0.504028
TCGA-B6-A0IA-01A-11D-A892-36	chr3	143375001	154646000	11222	0.516161
TCGA-B6-A0IA-01A-11D-A892-36	chr3	154646001	161632000	6933	0.514342
TCGA-B6-A0IA-01A-11D-A892-36	chr3	161632001	170488000	8679	0.523526
TCGA-B6-A0IA-01A-11D-A892-36	chr3	170488001	172499000	2004	0.512844
TCGA-B6-A0IA-01A-11D-A892-36	chr3	172499001	172675000	176	0.458599
TCGA-B6-A0IA-01A-11D-A892-36	chr3	172675001	172897000	222	0.505934
TCGA-B6-A0IA-01A-11D-A892-36	chr3	172897001	176817000	3904	0.525673
TCGA-B6-A0IA-01A-11D-A892-36	chr3	176817001	177628000	805	0.482123
TCGA-B6-A0IA-01A-11D-A892-36	chr3	177628001	180708000	3063	0.518162
TCGA-B6-A0IA-01A-11D-A892-36	chr3	180708001	189167000	8402	0.508051
TCGA-B6-A0IA-01A-11D-A892-36	chr3	189167001	191477000	2295	0.518543
TCGA-B6-A0IA-01A-11D-A892-36	chr3	191477001	194006000	2502	0.526295
TCGA-B6-A0IA-01A-11D-A892-36	chr3	194006001	195589000	1546	0.500076
TCGA-B6-A0IA-01A-11D-A892-36	chr3	195589001	195731000	115	0.702384
TCGA-B6-A0IA-01A-11D-A892-36	chr3	195731001	195995000	244	0.503315
TCGA-B6-A0IA-01A-11D-A892-36	chr3	195995001	197577000	1565	0.493709
TCGA-B6-A0IA-01A-11D-A892-36	chr3	197577001	198175000	551	0.481534
