GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-E2-A14P-01A-31D-A895-36	chr1	17001	889000	116	-0.058541
TCGA-E2-A14P-01A-31D-A895-36	chr1	889001	1689000	765	-0.143693
TCGA-E2-A14P-01A-31D-A895-36	chr1	1689001	1742000	28	-2.165507
TCGA-E2-A14P-01A-31D-A895-36	chr1	1742001	3720000	1842	-0.126143
TCGA-E2-A14P-01A-31D-A895-36	chr1	3720001	3764000	44	-0.105816
TCGA-E2-A14P-01A-31D-A895-36	chr1	3764001	3902000	137	-0.143483
TCGA-E2-A14P-01A-31D-A895-36	chr1	3902001	7959000	4043	-0.108733
TCGA-E2-A14P-01A-31D-A895-36	chr1	7959001	8234000	275	-0.113847
TCGA-E2-A14P-01A-31D-A895-36	chr1	8234001	9303000	1064	-0.113490
TCGA-E2-A14P-01A-31D-A895-36	chr1	9303001	9585000	282	0.061673
TCGA-E2-A14P-01A-31D-A895-36	chr1	9585001	12015000	2429	-0.124307
TCGA-E2-A14P-01A-31D-A895-36	chr1	12015001	13122000	884	-0.099345
TCGA-E2-A14P-01A-31D-A895-36	chr1	13170001	13225000	4	-0.169503
TCGA-E2-A14P-01A-31D-A895-36	chr1	13225001	13631000	327	-0.132432
TCGA-E2-A14P-01A-31D-A895-36	chr1	13631001	13804000	173	-0.115568
TCGA-E2-A14P-01A-31D-A895-36	chr1	13804001	15096000	1289	-0.077802
TCGA-E2-A14P-01A-31D-A895-36	chr1	15096001	15461000	364	0.789375
TCGA-E2-A14P-01A-31D-A895-36	chr1	15461001	15683000	222	0.865111
TCGA-E2-A14P-01A-31D-A895-36	chr1	15683001	16507000	819	0.457253
TCGA-E2-A14P-01A-31D-A895-36	chr1	16507001	16949000	269	0.293943
TCGA-E2-A14P-01A-31D-A895-36	chr1	16949001	18380000	1428	0.450178
TCGA-E2-A14P-01A-31D-A895-36	chr1	18380001	20316000	1935	0.211555
TCGA-E2-A14P-01A-31D-A895-36	chr1	20316001	21209000	888	-0.108035
TCGA-E2-A14P-01A-31D-A895-36	chr1	21209001	23178000	1952	0.484127
TCGA-E2-A14P-01A-31D-A895-36	chr1	23178001	25557000	2278	0.208093
TCGA-E2-A14P-01A-31D-A895-36	chr1	25557001	26056000	499	0.472618
TCGA-E2-A14P-01A-31D-A895-36	chr1	26056001	27084000	1022	0.318277
TCGA-E2-A14P-01A-31D-A895-36	chr1	27084001	28006000	918	0.199572
TCGA-E2-A14P-01A-31D-A895-36	chr1	28006001	28080000	74	0.478725
TCGA-E2-A14P-01A-31D-A895-36	chr1	28080001	28750000	669	0.599838
TCGA-E2-A14P-01A-31D-A895-36	chr1	28750001	31470000	2710	0.214332
TCGA-E2-A14P-01A-31D-A895-36	chr1	31470001	32322000	851	0.526064
TCGA-E2-A14P-01A-31D-A895-36	chr1	32322001	37220000	4874	0.214426
TCGA-E2-A14P-01A-31D-A895-36	chr1	37220001	47042000	9753	0.479965
TCGA-E2-A14P-01A-31D-A895-36	chr1	47042001	47059000	17	1.121276
TCGA-E2-A14P-01A-31D-A895-36	chr1	47059001	50534000	3445	0.492893
TCGA-E2-A14P-01A-31D-A895-36	chr1	50534001	51255000	719	0.900961
TCGA-E2-A14P-01A-31D-A895-36	chr1	51255001	58948000	7656	0.550616
TCGA-E2-A14P-01A-31D-A895-36	chr1	58948001	59426000	477	0.717189
TCGA-E2-A14P-01A-31D-A895-36	chr1	59426001	60592000	1159	0.802507
TCGA-E2-A14P-01A-31D-A895-36	chr1	60592001	60870000	276	0.930819
TCGA-E2-A14P-01A-31D-A895-36	chr1	60870001	62114000	1243	0.785893
TCGA-E2-A14P-01A-31D-A895-36	chr1	62114001	62397000	283	0.861059
TCGA-E2-A14P-01A-31D-A895-36	chr1	62397001	62819000	422	0.704072
TCGA-E2-A14P-01A-31D-A895-36	chr1	62819001	65915000	3075	-0.085507
TCGA-E2-A14P-01A-31D-A895-36	chr1	65915001	67306000	1377	-0.055073
TCGA-E2-A14P-01A-31D-A895-36	chr1	67306001	67588000	281	-0.116664
TCGA-E2-A14P-01A-31D-A895-36	chr1	67588001	72841000	5176	-0.089895
TCGA-E2-A14P-01A-31D-A895-36	chr1	72841001	78730000	5852	-0.084208
TCGA-E2-A14P-01A-31D-A895-36	chr1	78730001	79659000	921	-0.077502
TCGA-E2-A14P-01A-31D-A895-36	chr1	79659001	81296000	1621	-0.472605
TCGA-E2-A14P-01A-31D-A895-36	chr1	81296001	81839000	542	-0.102018
TCGA-E2-A14P-01A-31D-A895-36	chr1	81839001	83219000	1362	-0.472619
TCGA-E2-A14P-01A-31D-A895-36	chr1	83219001	83857000	609	-0.447746
TCGA-E2-A14P-01A-31D-A895-36	chr1	83857001	87858000	3953	-0.467668
TCGA-E2-A14P-01A-31D-A895-36	chr1	87858001	87990000	132	0.705179
TCGA-E2-A14P-01A-31D-A895-36	chr1	87990001	88113000	123	0.704149
TCGA-E2-A14P-01A-31D-A895-36	chr1	88113001	88987000	869	-0.471593
TCGA-E2-A14P-01A-31D-A895-36	chr1	88987001	89574000	578	-0.467247
TCGA-E2-A14P-01A-31D-A895-36	chr1	89574001	91120000	1537	0.692045
TCGA-E2-A14P-01A-31D-A895-36	chr1	91120001	91194000	74	0.684067
TCGA-E2-A14P-01A-31D-A895-36	chr1	91194001	91395000	193	0.686561
TCGA-E2-A14P-01A-31D-A895-36	chr1	91395001	91558000	161	0.301353
TCGA-E2-A14P-01A-31D-A895-36	chr1	91558001	91744000	185	0.207881
TCGA-E2-A14P-01A-31D-A895-36	chr1	91744001	91791000	47	0.246998
TCGA-E2-A14P-01A-31D-A895-36	chr1	91791001	93051000	1260	0.206895
TCGA-E2-A14P-01A-31D-A895-36	chr1	93051001	93943000	884	0.233040
TCGA-E2-A14P-01A-31D-A895-36	chr1	93943001	104226000	10088	-0.081567
TCGA-E2-A14P-01A-31D-A895-36	chr1	104226001	104405000	179	0.189023
TCGA-E2-A14P-01A-31D-A895-36	chr1	104405001	104463000	58	-0.000152
TCGA-E2-A14P-01A-31D-A895-36	chr1	104463001	104754000	290	-0.077817
TCGA-E2-A14P-01A-31D-A895-36	chr1	104754001	104869000	104	-0.063706
TCGA-E2-A14P-01A-31D-A895-36	chr1	104871001	105139000	268	-0.093015
TCGA-E2-A14P-01A-31D-A895-36	chr1	105139001	105471000	330	-0.086747
TCGA-E2-A14P-01A-31D-A895-36	chr1	105471001	105629000	148	-0.077972
TCGA-E2-A14P-01A-31D-A895-36	chr1	105629001	106300000	666	-0.364034
TCGA-E2-A14P-01A-31D-A895-36	chr1	106300001	107748000	1447	-0.458974
TCGA-E2-A14P-01A-31D-A895-36	chr1	107748001	109197000	1254	-0.458457
TCGA-E2-A14P-01A-31D-A895-36	chr1	109197001	109297000	100	0.148357
TCGA-E2-A14P-01A-31D-A895-36	chr1	109297001	109474000	177	0.233414
TCGA-E2-A14P-01A-31D-A895-36	chr1	109474001	109537000	63	-0.105128
TCGA-E2-A14P-01A-31D-A895-36	chr1	109537001	112746000	3160	-0.479812
TCGA-E2-A14P-01A-31D-A895-36	chr1	112746001	112864000	116	-0.546088
TCGA-E2-A14P-01A-31D-A895-36	chr1	112864001	115259000	2376	-0.488725
TCGA-E2-A14P-01A-31D-A895-36	chr1	115259001	119395000	4119	-0.466210
TCGA-E2-A14P-01A-31D-A895-36	chr1	119395001	143505000	1628	-0.067460
TCGA-E2-A14P-01A-31D-A895-36	chr1	143529001	144141000	246	-0.481638
TCGA-E2-A14P-01A-31D-A895-36	chr1	144396001	152402000	4670	0.230438
TCGA-E2-A14P-01A-31D-A895-36	chr1	152402001	153245000	794	0.276781
TCGA-E2-A14P-01A-31D-A895-36	chr1	153245001	153419000	173	0.524081
TCGA-E2-A14P-01A-31D-A895-36	chr1	153419001	154294000	874	0.469091
TCGA-E2-A14P-01A-31D-A895-36	chr1	154294001	155237000	935	0.268268
