GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-C8-A1HO-01A-11D-A896-36	chr1	17001	12780000	11790	-0.006707
TCGA-C8-A1HO-01A-11D-A896-36	chr1	12780001	13366000	185	-0.821608
TCGA-C8-A1HO-01A-11D-A896-36	chr1	13366001	16603000	3196	-0.010359
TCGA-C8-A1HO-01A-11D-A896-36	chr1	16604001	16634000	30	0.305753
TCGA-C8-A1HO-01A-11D-A896-36	chr1	16634001	16909000	136	0.332319
TCGA-C8-A1HO-01A-11D-A896-36	chr1	16909001	55790000	38593	-0.001775
TCGA-C8-A1HO-01A-11D-A896-36	chr1	55790001	55828000	38	0.615803
TCGA-C8-A1HO-01A-11D-A896-36	chr1	55828001	143505000	64339	0.012812
TCGA-C8-A1HO-01A-11D-A896-36	chr1	143529001	144572000	315	-0.850341
TCGA-C8-A1HO-01A-11D-A896-36	chr1	144826001	248931000	99689	0.010482
TCGA-C8-A1HO-01A-11D-A896-36	chr2	11001	40700000	40378	-0.007231
TCGA-C8-A1HO-01A-11D-A896-36	chr2	40700001	40722000	22	-0.980405
TCGA-C8-A1HO-01A-11D-A896-36	chr2	40722001	158264000	109256	-0.000258
TCGA-C8-A1HO-01A-11D-A896-36	chr2	158264001	159239000	963	0.500397
TCGA-C8-A1HO-01A-11D-A896-36	chr2	159239001	242159000	82277	-0.004801
TCGA-C8-A1HO-01A-11D-A896-36	chr3	12001	4198000	4143	0.004608
TCGA-C8-A1HO-01A-11D-A896-36	chr3	4198001	4240000	42	-0.995137
TCGA-C8-A1HO-01A-11D-A896-36	chr3	4240001	195617000	187297	0.003551
TCGA-C8-A1HO-01A-11D-A896-36	chr3	195617001	195729000	85	0.640318
TCGA-C8-A1HO-01A-11D-A896-36	chr3	195729001	198175000	2362	-0.007898
TCGA-C8-A1HO-01A-11D-A896-36	chr4	15001	9103000	8905	0.315391
TCGA-C8-A1HO-01A-11D-A896-36	chr4	9103001	9126000	23	-0.464945
TCGA-C8-A1HO-01A-11D-A896-36	chr4	9126001	9613000	249	0.289913
TCGA-C8-A1HO-01A-11D-A896-36	chr4	9618001	9631000	13	-0.704984
TCGA-C8-A1HO-01A-11D-A896-36	chr4	9631001	12596000	2909	0.307907
TCGA-C8-A1HO-01A-11D-A896-36	chr4	12596001	20879000	8210	0.316220
TCGA-C8-A1HO-01A-11D-A896-36	chr4	20879001	27703000	6790	0.277424
TCGA-C8-A1HO-01A-11D-A896-36	chr4	27703001	46189000	18408	0.291974
TCGA-C8-A1HO-01A-11D-A896-36	chr4	46189001	49097000	2885	0.331975
TCGA-C8-A1HO-01A-11D-A896-36	chr4	49097001	49273000	143	0.128649
TCGA-C8-A1HO-01A-11D-A896-36	chr4	49286001	49510000	40	-0.856665
TCGA-C8-A1HO-01A-11D-A896-36	chr4	49510001	49515000	5	1.374862
TCGA-C8-A1HO-01A-11D-A896-36	chr4	49515001	49657000	103	-0.680572
TCGA-C8-A1HO-01A-11D-A896-36	chr4	49657001	56140000	4301	0.371995
TCGA-C8-A1HO-01A-11D-A896-36	chr4	56140001	62202000	5969	0.312057
TCGA-C8-A1HO-01A-11D-A896-36	chr4	62202001	69258000	6849	0.395959
TCGA-C8-A1HO-01A-11D-A896-36	chr4	69260001	69367000	104	0.872161
TCGA-C8-A1HO-01A-11D-A896-36	chr4	69367001	79473000	10041	0.458047
TCGA-C8-A1HO-01A-11D-A896-36	chr4	79473001	91178000	11617	0.381021
TCGA-C8-A1HO-01A-11D-A896-36	chr4	91178001	92933000	1743	0.389493
TCGA-C8-A1HO-01A-11D-A896-36	chr4	92933001	92941000	8	-29.845779
TCGA-C8-A1HO-01A-11D-A896-36	chr4	92941001	151302000	57880	0.384276
TCGA-C8-A1HO-01A-11D-A896-36	chr4	151302001	152011000	706	0.422043
TCGA-C8-A1HO-01A-11D-A896-36	chr4	152011001	185321000	33082	0.384249
TCGA-C8-A1HO-01A-11D-A896-36	chr4	185321001	190106000	4576	0.354612
TCGA-C8-A1HO-01A-11D-A896-36	chr4	190106001	190204000	20	-0.358798
TCGA-C8-A1HO-01A-11D-A896-36	chr5	13001	7921000	7752	0.005116
TCGA-C8-A1HO-01A-11D-A896-36	chr5	7921001	17606000	9554	0.053202
TCGA-C8-A1HO-01A-11D-A896-36	chr5	17606001	17633000	27	-0.925484
TCGA-C8-A1HO-01A-11D-A896-36	chr5	17633001	42627000	24751	0.040543
TCGA-C8-A1HO-01A-11D-A896-36	chr5	42627001	42631000	3	-2.070170
TCGA-C8-A1HO-01A-11D-A896-36	chr5	42631001	150798000	102001	0.002315
