GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-BH-A0H9-01A-11D-A891-36	chr1	17001	12815000	11824	-0.262996
TCGA-BH-A0H9-01A-11D-A891-36	chr1	12815001	13516000	301	-0.228128
TCGA-BH-A0H9-01A-11D-A891-36	chr1	13516001	14735000	1216	-0.250225
TCGA-BH-A0H9-01A-11D-A891-36	chr1	14735001	16506000	1765	-0.258400
TCGA-BH-A0H9-01A-11D-A891-36	chr1	16506001	16714000	136	-0.372779
TCGA-BH-A0H9-01A-11D-A891-36	chr1	16715001	16799000	46	-1.463203
TCGA-BH-A0H9-01A-11D-A891-36	chr1	16850001	16949000	88	-0.369893
TCGA-BH-A0H9-01A-11D-A891-36	chr1	16949001	27925000	10839	-0.252725
TCGA-BH-A0H9-01A-11D-A891-36	chr1	27925001	28750000	824	-0.271545
TCGA-BH-A0H9-01A-11D-A891-36	chr1	28750001	37097000	8312	-0.248175
TCGA-BH-A0H9-01A-11D-A891-36	chr1	37097001	38808000	1711	-0.244401
TCGA-BH-A0H9-01A-11D-A891-36	chr1	38808001	39069000	260	-0.278749
TCGA-BH-A0H9-01A-11D-A891-36	chr1	39069001	40937000	1837	-0.252850
TCGA-BH-A0H9-01A-11D-A891-36	chr1	40937001	45165000	4210	-0.243778
TCGA-BH-A0H9-01A-11D-A891-36	chr1	45165001	45182000	17	-1.646613
TCGA-BH-A0H9-01A-11D-A891-36	chr1	45182001	46864000	1674	-0.251737
TCGA-BH-A0H9-01A-11D-A891-36	chr1	46864001	60757000	13803	-0.240507
TCGA-BH-A0H9-01A-11D-A891-36	chr1	60757001	66036000	5257	-0.242827
TCGA-BH-A0H9-01A-11D-A891-36	chr1	66036001	72290000	6207	-0.239456
TCGA-BH-A0H9-01A-11D-A891-36	chr1	72290001	72298000	8	-1.490763
TCGA-BH-A0H9-01A-11D-A891-36	chr1	72298001	95474000	22928	-0.238754
TCGA-BH-A0H9-01A-11D-A891-36	chr1	95474001	95644000	170	-0.225293
TCGA-BH-A0H9-01A-11D-A891-36	chr1	95644001	96820000	1170	-0.239725
TCGA-BH-A0H9-01A-11D-A891-36	chr1	96820001	120672000	22766	-0.237864
TCGA-BH-A0H9-01A-11D-A891-36	chr1	120805001	120922000	26	-1.251853
TCGA-BH-A0H9-01A-11D-A891-36	chr1	120935001	124291000	474	-0.224287
TCGA-BH-A0H9-01A-11D-A891-36	chr1	124298001	143271000	420	0.247044
TCGA-BH-A0H9-01A-11D-A891-36	chr1	143271001	146995000	1048	0.523711
TCGA-BH-A0H9-01A-11D-A891-36	chr1	146999001	149201000	1288	0.487251
TCGA-BH-A0H9-01A-11D-A891-36	chr1	149366001	149563000	13	-0.821808
TCGA-BH-A0H9-01A-11D-A891-36	chr1	149615001	152025000	2219	0.468004
TCGA-BH-A0H9-01A-11D-A891-36	chr1	152025001	158034000	5915	0.475911
TCGA-BH-A0H9-01A-11D-A891-36	chr1	158034001	159019000	972	0.057657
TCGA-BH-A0H9-01A-11D-A891-36	chr1	159019001	159368000	349	0.494013
TCGA-BH-A0H9-01A-11D-A891-36	chr1	159368001	160381000	1008	0.493316
TCGA-BH-A0H9-01A-11D-A891-36	chr1	160381001	160686000	305	0.486199
TCGA-BH-A0H9-01A-11D-A891-36	chr1	160686001	175418000	14543	0.486627
TCGA-BH-A0H9-01A-11D-A891-36	chr1	175418001	177341000	1911	0.476359
TCGA-BH-A0H9-01A-11D-A891-36	chr1	177341001	179128000	1775	0.489481
TCGA-BH-A0H9-01A-11D-A891-36	chr1	179128001	179496000	368	0.466395
TCGA-BH-A0H9-01A-11D-A891-36	chr1	179496001	191597000	12032	0.482188
TCGA-BH-A0H9-01A-11D-A891-36	chr1	191597001	202325000	10583	0.483326
TCGA-BH-A0H9-01A-11D-A891-36	chr1	202325001	203078000	752	0.484005
TCGA-BH-A0H9-01A-11D-A891-36	chr1	203078001	209029000	5668	0.479824
TCGA-BH-A0H9-01A-11D-A891-36	chr1	209029001	209268000	239	0.480782
TCGA-BH-A0H9-01A-11D-A891-36	chr1	209268001	210253000	970	0.490383
TCGA-BH-A0H9-01A-11D-A891-36	chr1	210253001	210306000	53	0.479310
