GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AR-A24H-01A-11D-A899-36	chr1	17001	1127000	344	-0.597292
TCGA-AR-A24H-01A-11D-A899-36	chr1	1127001	1779000	596	-0.572574
TCGA-AR-A24H-01A-11D-A899-36	chr1	1779001	3347000	1443	-0.597605
TCGA-AR-A24H-01A-11D-A899-36	chr1	3347001	3379000	32	-0.597468
TCGA-AR-A24H-01A-11D-A899-36	chr1	3380001	4170000	778	-0.614983
TCGA-AR-A24H-01A-11D-A899-36	chr1	4170001	5266000	1094	-0.678848
TCGA-AR-A24H-01A-11D-A899-36	chr1	5266001	5302000	36	-0.617831
TCGA-AR-A24H-01A-11D-A899-36	chr1	5302001	5482000	179	-0.665224
TCGA-AR-A24H-01A-11D-A899-36	chr1	5482001	5571000	89	-0.665292
TCGA-AR-A24H-01A-11D-A899-36	chr1	5571001	5855000	284	-0.647178
TCGA-AR-A24H-01A-11D-A899-36	chr1	5855001	6138000	281	-0.618285
TCGA-AR-A24H-01A-11D-A899-36	chr1	6138001	6974000	836	-0.618430
TCGA-AR-A24H-01A-11D-A899-36	chr1	6974001	7047000	73	-0.651885
TCGA-AR-A24H-01A-11D-A899-36	chr1	7047001	7186000	138	-0.665693
TCGA-AR-A24H-01A-11D-A899-36	chr1	7186001	7256000	70	-0.679113
TCGA-AR-A24H-01A-11D-A899-36	chr1	7256001	7428000	172	-0.659889
TCGA-AR-A24H-01A-11D-A899-36	chr1	7428001	7565000	137	-0.615282
TCGA-AR-A24H-01A-11D-A899-36	chr1	7565001	7651000	86	-0.614208
TCGA-AR-A24H-01A-11D-A899-36	chr1	7651001	7759000	108	-0.631044
TCGA-AR-A24H-01A-11D-A899-36	chr1	7759001	7851000	92	-0.660221
TCGA-AR-A24H-01A-11D-A899-36	chr1	7851001	9229000	1372	-0.631088
TCGA-AR-A24H-01A-11D-A899-36	chr1	9229001	10862000	1632	-0.613707
TCGA-AR-A24H-01A-11D-A899-36	chr1	10862001	10917000	55	-0.609084
TCGA-AR-A24H-01A-11D-A899-36	chr1	10917001	10989000	72	-0.585352
TCGA-AR-A24H-01A-11D-A899-36	chr1	10989001	11349000	360	-0.614262
TCGA-AR-A24H-01A-11D-A899-36	chr1	11349001	11585000	236	-0.604146
TCGA-AR-A24H-01A-11D-A899-36	chr1	11585001	11617000	32	-0.626479
TCGA-AR-A24H-01A-11D-A899-36	chr1	11617001	11764000	147	-0.585537
