GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AO-A124-01A-11D-A723-36	chr1	17001	889000	116	-0.155474
TCGA-AO-A124-01A-11D-A723-36	chr1	889001	2051000	1096	-0.240165
TCGA-AO-A124-01A-11D-A723-36	chr1	2051001	3624000	1445	-0.214798
TCGA-AO-A124-01A-11D-A723-36	chr1	3624001	3689000	64	-0.220180
TCGA-AO-A124-01A-11D-A723-36	chr1	3689001	3765000	75	-0.212665
TCGA-AO-A124-01A-11D-A723-36	chr1	3765001	3805000	40	-0.257972
TCGA-AO-A124-01A-11D-A723-36	chr1	3805001	4579000	765	-0.233439
TCGA-AO-A124-01A-11D-A723-36	chr1	4579001	4978000	399	-0.248662
TCGA-AO-A124-01A-11D-A723-36	chr1	4978001	5030000	52	-0.245161
TCGA-AO-A124-01A-11D-A723-36	chr1	5030001	5561000	529	-0.239670
TCGA-AO-A124-01A-11D-A723-36	chr1	5561001	5603000	42	-0.255238
TCGA-AO-A124-01A-11D-A723-36	chr1	5603001	6977000	1372	-0.221597
TCGA-AO-A124-01A-11D-A723-36	chr1	6977001	7075000	98	-0.208942
TCGA-AO-A124-01A-11D-A723-36	chr1	7075001	8274000	1197	-0.221898
TCGA-AO-A124-01A-11D-A723-36	chr1	8274001	8297000	23	-0.271972
TCGA-AO-A124-01A-11D-A723-36	chr1	8297001	8470000	173	-0.216217
TCGA-AO-A124-01A-11D-A723-36	chr1	8470001	9204000	729	-0.989104
TCGA-AO-A124-01A-11D-A723-36	chr1	9204001	9254000	50	-0.990452
TCGA-AO-A124-01A-11D-A723-36	chr1	9254001	10579000	1324	-1.004843
TCGA-AO-A124-01A-11D-A723-36	chr1	10579001	11929000	1350	-0.981861
TCGA-AO-A124-01A-11D-A723-36	chr1	11929001	11985000	56	-0.996948
TCGA-AO-A124-01A-11D-A723-36	chr1	11985001	12110000	125	-0.996475
TCGA-AO-A124-01A-11D-A723-36	chr1	12110001	12180000	70	-0.957229
TCGA-AO-A124-01A-11D-A723-36	chr1	12180001	13122000	719	-0.965952
TCGA-AO-A124-01A-11D-A723-36	chr1	13170001	13517000	217	-1.024482
TCGA-AO-A124-01A-11D-A723-36	chr1	13517001	13605000	88	-1.006446
TCGA-AO-A124-01A-11D-A723-36	chr1	13605001	13837000	232	-0.999848
TCGA-AO-A124-01A-11D-A723-36	chr1	13837001	15799000	1958	-0.961931
TCGA-AO-A124-01A-11D-A723-36	chr1	15799001	15996000	194	-1.036309
TCGA-AO-A124-01A-11D-A723-36	chr1	15996001	16338000	341	-0.971152
TCGA-AO-A124-01A-11D-A723-36	chr1	16338001	16680000	288	-1.024869
TCGA-AO-A124-01A-11D-A723-36	chr1	16680001	17175000	373	-0.891827
TCGA-AO-A124-01A-11D-A723-36	chr1	17175001	17883000	707	-0.965518
TCGA-AO-A124-01A-11D-A723-36	chr1	17883001	18004000	121	-0.962916
TCGA-AO-A124-01A-11D-A723-36	chr1	18004001	18377000	373	-0.946605
TCGA-AO-A124-01A-11D-A723-36	chr1	18377001	18854000	476	-0.898984
TCGA-AO-A124-01A-11D-A723-36	chr1	18854001	18964000	110	-0.863506
TCGA-AO-A124-01A-11D-A723-36	chr1	18964001	19956000	992	-0.904802
TCGA-AO-A124-01A-11D-A723-36	chr1	19956001	20409000	453	-0.916138
TCGA-AO-A124-01A-11D-A723-36	chr1	20409001	20487000	78	-0.906286
TCGA-AO-A124-01A-11D-A723-36	chr1	20487001	21809000	1305	-0.927241
TCGA-AO-A124-01A-11D-A723-36	chr1	21809001	23560000	1746	-0.904642
TCGA-AO-A124-01A-11D-A723-36	chr1	23560001	23614000	54	-0.927292
TCGA-AO-A124-01A-11D-A723-36	chr1	23614001	24249000	632	-0.933826
TCGA-AO-A124-01A-11D-A723-36	chr1	24249001	24332000	83	-0.878203
TCGA-AO-A124-01A-11D-A723-36	chr1	24332001	24547000	215	-0.883757
TCGA-AO-A124-01A-11D-A723-36	chr1	24547001	24571000	24	-2.351092
TCGA-AO-A124-01A-11D-A723-36	chr1	24571001	24590000	19	-0.914563
TCGA-AO-A124-01A-11D-A723-36	chr1	24590001	24688000	98	-0.917366
TCGA-AO-A124-01A-11D-A723-36	chr1	24688001	24881000	188	-0.946620
TCGA-AO-A124-01A-11D-A723-36	chr1	24881001	25538000	564	-0.130653
TCGA-AO-A124-01A-11D-A723-36	chr1	25538001	25787000	249	-0.894105
TCGA-AO-A124-01A-11D-A723-36	chr1	25787001	45449000	19565	-0.169037
TCGA-AO-A124-01A-11D-A723-36	chr1	45449001	45782000	330	0.279300
TCGA-AO-A124-01A-11D-A723-36	chr1	45782001	55031000	9193	0.307015
TCGA-AO-A124-01A-11D-A723-36	chr1	55031001	56117000	1081	0.340523
TCGA-AO-A124-01A-11D-A723-36	chr1	56117001	57407000	1286	0.311201
TCGA-AO-A124-01A-11D-A723-36	chr1	57407001	57723000	315	0.260816
TCGA-AO-A124-01A-11D-A723-36	chr1	57723001	59680000	1935	0.318177
TCGA-AO-A124-01A-11D-A723-36	chr1	59680001	60290000	608	1.012052
TCGA-AO-A124-01A-11D-A723-36	chr1	60290001	64882000	4578	0.321649
TCGA-AO-A124-01A-11D-A723-36	chr1	64882001	65752000	860	0.295903
TCGA-AO-A124-01A-11D-A723-36	chr1	65752001	66630000	871	0.350528
TCGA-AO-A124-01A-11D-A723-36	chr1	66630001	68629000	1989	0.303543
TCGA-AO-A124-01A-11D-A723-36	chr1	68629001	70041000	1398	0.260787
TCGA-AO-A124-01A-11D-A723-36	chr1	70041001	70119000	78	0.295458
TCGA-AO-A124-01A-11D-A723-36	chr1	70119001	70450000	331	0.945730
TCGA-AO-A124-01A-11D-A723-36	chr1	70450001	71918000	1451	0.280112
TCGA-AO-A124-01A-11D-A723-36	chr1	71918001	72693000	729	0.249601
TCGA-AO-A124-01A-11D-A723-36	chr1	72693001	72710000	17	-0.190398
TCGA-AO-A124-01A-11D-A723-36	chr1	72710001	73861000	1147	0.241220
TCGA-AO-A124-01A-11D-A723-36	chr1	73861001	75527000	1653	0.261590
TCGA-AO-A124-01A-11D-A723-36	chr1	75527001	78053000	2510	0.281648
TCGA-AO-A124-01A-11D-A723-36	chr1	78053001	79146000	1083	-0.191087
TCGA-AO-A124-01A-11D-A723-36	chr1	79146001	79986000	836	-0.235820
TCGA-AO-A124-01A-11D-A723-36	chr1	79986001	80142000	152	-0.259560
TCGA-AO-A124-01A-11D-A723-36	chr1	80142001	80750000	608	-0.244860
TCGA-AO-A124-01A-11D-A723-36	chr1	80750001	80876000	126	-0.233970
TCGA-AO-A124-01A-11D-A723-36	chr1	80876001	81459000	573	-0.219363
TCGA-AO-A124-01A-11D-A723-36	chr1	81459001	81527000	68	-0.219601
TCGA-AO-A124-01A-11D-A723-36	chr1	81527001	81555000	28	-0.224335
TCGA-AO-A124-01A-11D-A723-36	chr1	81555001	81585000	30	-0.214182
TCGA-AO-A124-01A-11D-A723-36	chr1	81585001	81845000	259	-0.220044
TCGA-AO-A124-01A-11D-A723-36	chr1	81845001	81908000	63	0.648386
TCGA-AO-A124-01A-11D-A723-36	chr1	81908001	83426000	1472	-0.198618
TCGA-AO-A124-01A-11D-A723-36	chr1	83426001	83588000	161	-0.178201
TCGA-AO-A124-01A-11D-A723-36	chr1	83588001	83693000	105	-0.191811
TCGA-AO-A124-01A-11D-A723-36	chr1	83693001	83855000	162	-0.153295
TCGA-AO-A124-01A-11D-A723-36	chr1	83855001	84626000	761	-0.184381
TCGA-AO-A124-01A-11D-A723-36	chr1	84626001	84745000	119	-0.172950
TCGA-AO-A124-01A-11D-A723-36	chr1	84745001	86708000	1926	-0.184610
TCGA-AO-A124-01A-11D-A723-36	chr1	86708001	86800000	91	-0.201909
TCGA-AO-A124-01A-11D-A723-36	chr1	86800001	86969000	169	-0.216590
TCGA-AO-A124-01A-11D-A723-36	chr1	86969001	88980000	2006	-0.181778
TCGA-AO-A124-01A-11D-A723-36	chr1	88980001	89007000	27	-0.238199
TCGA-AO-A124-01A-11D-A723-36	chr1	89007001	89015000	8	-3.205990
TCGA-AO-A124-01A-11D-A723-36	chr1	89015001	89316000	301	-0.188179
TCGA-AO-A124-01A-11D-A723-36	chr1	89316001	89857000	526	-0.171162
TCGA-AO-A124-01A-11D-A723-36	chr1	89857001	91864000	1993	-0.182169
TCGA-AO-A124-01A-11D-A723-36	chr1	91864001	92798000	934	-0.213047
TCGA-AO-A124-01A-11D-A723-36	chr1	92798001	93004000	206	-0.226591
TCGA-AO-A124-01A-11D-A723-36	chr1	93004001	94142000	1130	-0.183657
TCGA-AO-A124-01A-11D-A723-36	chr1	94142001	94609000	467	-0.162591
TCGA-AO-A124-01A-11D-A723-36	chr1	94609001	94654000	45	-0.188715
TCGA-AO-A124-01A-11D-A723-36	chr1	94654001	94923000	269	-0.164826
TCGA-AO-A124-01A-11D-A723-36	chr1	94923001	95154000	231	-0.196944
TCGA-AO-A124-01A-11D-A723-36	chr1	95154001	95810000	652	-0.171280
TCGA-AO-A124-01A-11D-A723-36	chr1	95810001	96140000	330	-0.210941
TCGA-AO-A124-01A-11D-A723-36	chr1	96140001	96635000	489	-0.206343
TCGA-AO-A124-01A-11D-A723-36	chr1	96635001	97208000	573	-0.213188
TCGA-AO-A124-01A-11D-A723-36	chr1	97208001	97420000	208	-0.231118
TCGA-AO-A124-01A-11D-A723-36	chr1	97420001	98098000	678	-0.236298
TCGA-AO-A124-01A-11D-A723-36	chr1	98098001	99109000	1007	-0.224681
TCGA-AO-A124-01A-11D-A723-36	chr1	99109001	99208000	99	-0.183898
TCGA-AO-A124-01A-11D-A723-36	chr1	99208001	99317000	108	-0.182530
TCGA-AO-A124-01A-11D-A723-36	chr1	99317001	99647000	327	-0.181975
TCGA-AO-A124-01A-11D-A723-36	chr1	99647001	99709000	62	-0.182140
TCGA-AO-A124-01A-11D-A723-36	chr1	99709001	99810000	101	-0.190535
TCGA-AO-A124-01A-11D-A723-36	chr1	99810001	100301000	491	-0.207334
TCGA-AO-A124-01A-11D-A723-36	chr1	100301001	100524000	223	-0.203113
TCGA-AO-A124-01A-11D-A723-36	chr1	100524001	101181000	656	-0.204228
TCGA-AO-A124-01A-11D-A723-36	chr1	101181001	101510000	328	-0.232270
TCGA-AO-A124-01A-11D-A723-36	chr1	101510001	101623000	112	-0.199017
TCGA-AO-A124-01A-11D-A723-36	chr1	101623001	101900000	275	-0.226170
TCGA-AO-A124-01A-11D-A723-36	chr1	101900001	101924000	24	-0.247308
TCGA-AO-A124-01A-11D-A723-36	chr1	101924001	102111000	186	-0.252045
TCGA-AO-A124-01A-11D-A723-36	chr1	102111001	102750000	639	-0.242828
TCGA-AO-A124-01A-11D-A723-36	chr1	102750001	102875000	125	-0.220090
TCGA-AO-A124-01A-11D-A723-36	chr1	102875001	102935000	58	-0.229210
TCGA-AO-A124-01A-11D-A723-36	chr1	102935001	103320000	383	-0.231549
TCGA-AO-A124-01A-11D-A723-36	chr1	103320001	103472000	150	-0.199397
TCGA-AO-A124-01A-11D-A723-36	chr1	103472001	103827000	198	-0.203136
TCGA-AO-A124-01A-11D-A723-36	chr1	103827001	103984000	156	-0.206477
TCGA-AO-A124-01A-11D-A723-36	chr1	103984001	104297000	310	-0.237033
TCGA-AO-A124-01A-11D-A723-36	chr1	104297001	104351000	54	-0.251324
TCGA-AO-A124-01A-11D-A723-36	chr1	104351001	106657000	2274	-0.255331
TCGA-AO-A124-01A-11D-A723-36	chr1	106657001	107086000	429	-0.226429
TCGA-AO-A124-01A-11D-A723-36	chr1	107086001	107165000	79	-0.217522
TCGA-AO-A124-01A-11D-A723-36	chr1	107165001	107892000	727	-0.180042
TCGA-AO-A124-01A-11D-A723-36	chr1	107892001	107981000	89	-0.205823
TCGA-AO-A124-01A-11D-A723-36	chr1	107981001	108523000	353	-0.184532
TCGA-AO-A124-01A-11D-A723-36	chr1	108524001	108712000	185	-0.175377
TCGA-AO-A124-01A-11D-A723-36	chr1	108712001	109474000	760	-0.198180
TCGA-AO-A124-01A-11D-A723-36	chr1	109474001	110119000	617	-0.171916
TCGA-AO-A124-01A-11D-A723-36	chr1	110119001	110183000	64	-0.157632
TCGA-AO-A124-01A-11D-A723-36	chr1	110183001	110498000	315	-0.176550
TCGA-AO-A124-01A-11D-A723-36	chr1	110498001	110529000	31	-0.160736
TCGA-AO-A124-01A-11D-A723-36	chr1	110529001	111209000	677	-0.176181
TCGA-AO-A124-01A-11D-A723-36	chr1	111209001	111588000	379	-0.166411
TCGA-AO-A124-01A-11D-A723-36	chr1	111588001	111812000	224	-0.205597
TCGA-AO-A124-01A-11D-A723-36	chr1	111812001	112746000	916	-0.190673
TCGA-AO-A124-01A-11D-A723-36	chr1	112746001	112882000	134	-0.263801
TCGA-AO-A124-01A-11D-A723-36	chr1	112882001	113055000	171	-0.240111
TCGA-AO-A124-01A-11D-A723-36	chr1	113055001	113210000	153	-0.212281
TCGA-AO-A124-01A-11D-A723-36	chr1	113210001	114000000	778	-0.193057
TCGA-AO-A124-01A-11D-A723-36	chr1	114000001	114109000	109	-0.168275
TCGA-AO-A124-01A-11D-A723-36	chr1	114109001	115241000	1129	-0.193988
TCGA-AO-A124-01A-11D-A723-36	chr1	115241001	115290000	49	-0.160889
TCGA-AO-A124-01A-11D-A723-36	chr1	115290001	115607000	316	-0.188697
TCGA-AO-A124-01A-11D-A723-36	chr1	115607001	115664000	56	-0.199939
TCGA-AO-A124-01A-11D-A723-36	chr1	115664001	115862000	198	-0.170713
TCGA-AO-A124-01A-11D-A723-36	chr1	115862001	116166000	301	-0.168105
TCGA-AO-A124-01A-11D-A723-36	chr1	116166001	116198000	32	-0.162077
TCGA-AO-A124-01A-11D-A723-36	chr1	116198001	116255000	57	-0.187611
TCGA-AO-A124-01A-11D-A723-36	chr1	116255001	116292000	37	-0.187264
TCGA-AO-A124-01A-11D-A723-36	chr1	116292001	116480000	188	-0.167737
TCGA-AO-A124-01A-11D-A723-36	chr1	116480001	116798000	316	-0.180461
TCGA-AO-A124-01A-11D-A723-36	chr1	116798001	118499000	1699	0.325639
TCGA-AO-A124-01A-11D-A723-36	chr1	118499001	118827000	326	0.277112
TCGA-AO-A124-01A-11D-A723-36	chr1	118827001	119448000	615	0.617711
TCGA-AO-A124-01A-11D-A723-36	chr1	119448001	121744000	929	0.318840
TCGA-AO-A124-01A-11D-A723-36	chr1	121771001	124365000	219	-0.054147
TCGA-AO-A124-01A-11D-A723-36	chr1	124366001	175016000	27668	0.647553
TCGA-AO-A124-01A-11D-A723-36	chr1	175016001	176870000	1842	0.264921
TCGA-AO-A124-01A-11D-A723-36	chr1	176870001	188649000	11706	0.635348
TCGA-AO-A124-01A-11D-A723-36	chr1	188649001	188802000	152	0.226964
TCGA-AO-A124-01A-11D-A723-36	chr1	188802001	190342000	1538	0.238971
TCGA-AO-A124-01A-11D-A723-36	chr1	190342001	191893000	1545	0.263189
TCGA-AO-A124-01A-11D-A723-36	chr1	191893001	193284000	1383	0.292364
TCGA-AO-A124-01A-11D-A723-36	chr1	193284001	193743000	452	0.269872
TCGA-AO-A124-01A-11D-A723-36	chr1	193743001	196628000	2868	0.225106
TCGA-AO-A124-01A-11D-A723-36	chr1	196628001	197342000	627	0.262635
TCGA-AO-A124-01A-11D-A723-36	chr1	197342001	199595000	2234	0.312897
TCGA-AO-A124-01A-11D-A723-36	chr1	199595001	200113000	518	0.269383
TCGA-AO-A124-01A-11D-A723-36	chr1	200113001	200240000	127	-0.176795
TCGA-AO-A124-01A-11D-A723-36	chr1	200240001	200284000	44	-0.196851
TCGA-AO-A124-01A-11D-A723-36	chr1	200284001	201044000	755	-0.178354
TCGA-AO-A124-01A-11D-A723-36	chr1	201044001	202089000	1044	-0.144086
TCGA-AO-A124-01A-11D-A723-36	chr1	202089001	202105000	16	0.076287
TCGA-AO-A124-01A-11D-A723-36	chr1	202105001	203081000	974	0.315535
TCGA-AO-A124-01A-11D-A723-36	chr1	203081001	203132000	51	0.321589
TCGA-AO-A124-01A-11D-A723-36	chr1	203132001	205602000	2469	0.315926
TCGA-AO-A124-01A-11D-A723-36	chr1	205602001	205637000	35	0.329703
TCGA-AO-A124-01A-11D-A723-36	chr1	205637001	205953000	314	0.323692
TCGA-AO-A124-01A-11D-A723-36	chr1	205953001	206441000	260	0.336394
TCGA-AO-A124-01A-11D-A723-36	chr1	206441001	209252000	2759	0.320323
TCGA-AO-A124-01A-11D-A723-36	chr1	209252001	209412000	158	0.336223
TCGA-AO-A124-01A-11D-A723-36	chr1	209412001	209456000	44	0.347543
TCGA-AO-A124-01A-11D-A723-36	chr1	209456001	209509000	53	0.364359
TCGA-AO-A124-01A-11D-A723-36	chr1	209509001	210893000	1369	0.324552
TCGA-AO-A124-01A-11D-A723-36	chr1	210893001	211243000	350	0.294937
TCGA-AO-A124-01A-11D-A723-36	chr1	211243001	212834000	1589	0.309778
TCGA-AO-A124-01A-11D-A723-36	chr1	212834001	212924000	84	0.268403
TCGA-AO-A124-01A-11D-A723-36	chr1	212924001	213507000	582	0.306083
TCGA-AO-A124-01A-11D-A723-36	chr1	213507001	213611000	104	0.287527
