GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-S3-AA11-01A-31D-A89F-36	chr1	17001	16535000	15134	-0.009075
TCGA-S3-AA11-01A-31D-A89F-36	chr1	16535001	16682000	95	0.373055
TCGA-S3-AA11-01A-31D-A89F-36	chr1	16683001	16720000	18	0.902131
TCGA-S3-AA11-01A-31D-A89F-36	chr1	16720001	16728000	8	0.440161
TCGA-S3-AA11-01A-31D-A89F-36	chr1	16728001	16949000	121	-0.191996
TCGA-S3-AA11-01A-31D-A89F-36	chr1	16949001	19275000	2322	-0.006393
TCGA-S3-AA11-01A-31D-A89F-36	chr1	19275001	19287000	12	-29.858339
TCGA-S3-AA11-01A-31D-A89F-36	chr1	19287001	120814000	99661	0.001527
TCGA-S3-AA11-01A-31D-A89F-36	chr1	120825001	120906000	18	-29.497341
TCGA-S3-AA11-01A-31D-A89F-36	chr1	120906001	120909000	3	-8.463344
TCGA-S3-AA11-01A-31D-A89F-36	chr1	120909001	120922000	3	-5.001739
TCGA-S3-AA11-01A-31D-A89F-36	chr1	120935001	122826000	301	0.001277
TCGA-S3-AA11-01A-31D-A89F-36	chr1	122841001	122866000	5	-0.873339
TCGA-S3-AA11-01A-31D-A89F-36	chr1	122877001	123526000	75	-0.461285
TCGA-S3-AA11-01A-31D-A89F-36	chr1	123527001	123552000	7	-0.668432
TCGA-S3-AA11-01A-31D-A89F-36	chr1	123554001	123764000	28	0.113582
TCGA-S3-AA11-01A-31D-A89F-36	chr1	123775001	123784000	2	-3.728410
TCGA-S3-AA11-01A-31D-A89F-36	chr1	123798001	124455000	86	-0.194777
TCGA-S3-AA11-01A-31D-A89F-36	chr1	124455001	124509000	8	-0.616955
TCGA-S3-AA11-01A-31D-A89F-36	chr1	124510001	124906000	77	-0.203609
TCGA-S3-AA11-01A-31D-A89F-36	chr1	124908001	143268000	304	0.001120
TCGA-S3-AA11-01A-31D-A89F-36	chr1	143270001	154862000	7344	0.424782
TCGA-S3-AA11-01A-31D-A89F-36	chr1	154862001	157337000	2443	0.423153
TCGA-S3-AA11-01A-31D-A89F-36	chr1	157337001	161441000	4084	0.426051
TCGA-S3-AA11-01A-31D-A89F-36	chr1	161442001	161460000	4	-0.459483
TCGA-S3-AA11-01A-31D-A89F-36	chr1	161472001	179128000	17472	0.427075
TCGA-S3-AA11-01A-31D-A89F-36	chr1	179128001	180518000	1388	0.426030
TCGA-S3-AA11-01A-31D-A89F-36	chr1	180518001	185688000	5142	0.422674
TCGA-S3-AA11-01A-31D-A89F-36	chr1	185688001	196752000	10993	0.425388
TCGA-S3-AA11-01A-31D-A89F-36	chr1	196756001	196836000	13	-0.635577
TCGA-S3-AA11-01A-31D-A89F-36	chr1	196844001	201639000	4762	0.432751
TCGA-S3-AA11-01A-31D-A89F-36	chr1	201639001	211713000	9772	0.422635
TCGA-S3-AA11-01A-31D-A89F-36	chr1	211713001	227133000	15220	0.423113
TCGA-S3-AA11-01A-31D-A89F-36	chr1	227133001	242947000	15618	0.418713
TCGA-S3-AA11-01A-31D-A89F-36	chr1	242947001	246195000	3199	0.425436
TCGA-S3-AA11-01A-31D-A89F-36	chr1	246195001	248461000	2204	0.424077
TCGA-S3-AA11-01A-31D-A89F-36	chr1	248461001	248553000	30	0.750971
TCGA-S3-AA11-01A-31D-A89F-36	chr1	248562001	248635000	65	-0.649762
TCGA-S3-AA11-01A-31D-A89F-36	chr1	248645001	248931000	270	0.422489
TCGA-S3-AA11-01A-31D-A89F-36	chr2	11001	9785000	9666	-0.002156
TCGA-S3-AA11-01A-31D-A89F-36	chr2	9785001	9789000	4	-1.490690
