GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	17001	4145000	3168	-0.231790
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	4145001	7543000	3392	-0.237236
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	7543001	7612000	69	-0.211382
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	7612001	9677000	2059	-0.247469
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	9677001	12710000	3032	-0.240903
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	12710001	12796000	85	-0.233796
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	12796001	13122000	104	-0.190956
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	13170001	16605000	3263	-0.238907
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	16605001	16890000	146	0.013700
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	16890001	16949000	58	-0.366324
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	16949001	28653000	11566	-0.239031
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	28653001	52650000	23861	-0.016486
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	52650001	123214000	66941	0.024551
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	123225001	124070000	97	-0.386383
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	124096001	124206000	16	0.228163
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	124206001	124371000	26	0.034190
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	124376001	124781000	96	-0.102402
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	124782001	143273000	312	0.014125
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	143273001	145709000	543	0.302611
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	145709001	155213000	7145	0.233135
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	155215001	155233000	18	-0.603960
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	155235001	161569000	6257	0.235068
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	161570001	161650000	49	0.918847
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	161654001	195908000	34021	0.230051
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	195908001	212888000	16551	0.218844
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	212888001	227784000	14686	0.208726
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	227784001	240188000	12234	0.208423
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	240188001	242185000	1989	0.192292
TCGA-AC-A6IV-01A-12D-A89E-36	chr1	242185001	247967000	5688	0.209969
