GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A2-A0CV-01A-31D-A890-36	chr1	17001	917000	142	0.476699
TCGA-A2-A0CV-01A-31D-A890-36	chr1	917001	1043000	122	-0.019158
TCGA-A2-A0CV-01A-31D-A890-36	chr1	1043001	1063000	20	-0.757683
TCGA-A2-A0CV-01A-31D-A890-36	chr1	1063001	1698000	602	-0.010219
TCGA-A2-A0CV-01A-31D-A890-36	chr1	1704001	1722000	9	-1.315495
TCGA-A2-A0CV-01A-31D-A890-36	chr1	1724001	2143000	407	-0.013224
TCGA-A2-A0CV-01A-31D-A890-36	chr1	2143001	12808000	10515	-0.010150
TCGA-A2-A0CV-01A-31D-A890-36	chr1	12808001	13059000	74	0.134097
TCGA-A2-A0CV-01A-31D-A890-36	chr1	13104001	14763000	1478	-0.010526
TCGA-A2-A0CV-01A-31D-A890-36	chr1	14763001	16535000	1765	-0.016567
TCGA-A2-A0CV-01A-31D-A890-36	chr1	16535001	16614000	47	0.436706
TCGA-A2-A0CV-01A-31D-A890-36	chr1	16614001	16620000	6	0.396525
TCGA-A2-A0CV-01A-31D-A890-36	chr1	16620001	16949000	189	0.306715
TCGA-A2-A0CV-01A-31D-A890-36	chr1	16949001	17933000	981	-0.010313
TCGA-A2-A0CV-01A-31D-A890-36	chr1	17933001	43309000	25162	-0.006555
TCGA-A2-A0CV-01A-31D-A890-36	chr1	43309001	46133000	2814	-0.004902
TCGA-A2-A0CV-01A-31D-A890-36	chr1	46133001	62113000	15885	-0.003824
TCGA-A2-A0CV-01A-31D-A890-36	chr1	62113001	62456000	343	-0.020223
TCGA-A2-A0CV-01A-31D-A890-36	chr1	62456001	68655000	6163	-0.001111
TCGA-A2-A0CV-01A-31D-A890-36	chr1	68655001	88684000	19790	0.007095
TCGA-A2-A0CV-01A-31D-A890-36	chr1	88684001	91192000	2490	-0.006878
TCGA-A2-A0CV-01A-31D-A890-36	chr1	91192001	91421000	221	0.004489
TCGA-A2-A0CV-01A-31D-A890-36	chr1	91421001	93305000	1880	-0.012199
