GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-D8-A1XD-01A-11D-A898-36	chr1	17001	1689000	881	-0.009822
TCGA-D8-A1XD-01A-11D-A898-36	chr1	1689001	1743000	29	-0.997158
TCGA-D8-A1XD-01A-11D-A898-36	chr1	1743001	16617000	14274	-0.009188
TCGA-D8-A1XD-01A-11D-A898-36	chr1	16617001	16643000	26	-0.246957
TCGA-D8-A1XD-01A-11D-A898-36	chr1	16643001	21990000	5185	-0.005024
TCGA-D8-A1XD-01A-11D-A898-36	chr1	21991001	22012000	21	-1.020424
TCGA-D8-A1XD-01A-11D-A898-36	chr1	22015001	55921000	33645	-0.000856
TCGA-D8-A1XD-01A-11D-A898-36	chr1	55921001	55947000	25	-0.946216
TCGA-D8-A1XD-01A-11D-A898-36	chr1	55947001	161568000	78167	0.005565
TCGA-D8-A1XD-01A-11D-A898-36	chr1	161568001	161573000	4	-0.164273
TCGA-D8-A1XD-01A-11D-A898-36	chr1	161591001	248575000	85725	0.001096
TCGA-D8-A1XD-01A-11D-A898-36	chr1	248575001	248635000	59	-0.867207
TCGA-D8-A1XD-01A-11D-A898-36	chr1	248645001	248931000	270	-0.010940
TCGA-D8-A1XD-01A-11D-A898-36	chr2	11001	78849000	78287	-0.000159
TCGA-D8-A1XD-01A-11D-A898-36	chr2	78849001	78854000	5	-29.914206
TCGA-D8-A1XD-01A-11D-A898-36	chr2	78854001	97151000	12859	0.002950
TCGA-D8-A1XD-01A-11D-A898-36	chr2	97151001	97160000	7	-0.057414
TCGA-D8-A1XD-01A-11D-A898-36	chr2	97160001	242159000	141738	0.000992
TCGA-D8-A1XD-01A-11D-A898-36	chr3	12001	75375000	74984	-0.001812
TCGA-D8-A1XD-01A-11D-A898-36	chr3	75375001	75593000	192	-0.936179
TCGA-D8-A1XD-01A-11D-A898-36	chr3	75593001	84054000	8415	0.005902
TCGA-D8-A1XD-01A-11D-A898-36	chr3	84054001	84062000	8	-0.065021
TCGA-D8-A1XD-01A-11D-A898-36	chr3	84062001	195615000	107881	0.003646
TCGA-D8-A1XD-01A-11D-A898-36	chr3	195615001	195697000	59	-0.059538
TCGA-D8-A1XD-01A-11D-A898-36	chr3	195697001	195722000	24	-0.258977
TCGA-D8-A1XD-01A-11D-A898-36	chr3	195722001	198117000	2327	-0.011633
TCGA-D8-A1XD-01A-11D-A898-36	chr3	198117001	198125000	8	-7.363937
TCGA-D8-A1XD-01A-11D-A898-36	chr3	198125001	198175000	31	-0.002520
TCGA-D8-A1XD-01A-11D-A898-36	chr4	15001	34778000	34133	0.001056
TCGA-D8-A1XD-01A-11D-A898-36	chr4	34778001	34827000	49	-0.797997
TCGA-D8-A1XD-01A-11D-A898-36	chr4	34827001	49090000	14204	0.001591
TCGA-D8-A1XD-01A-11D-A898-36	chr4	49090001	49324000	168	-0.550904
TCGA-D8-A1XD-01A-11D-A898-36	chr4	49487001	49658000	130	-1.018672
TCGA-D8-A1XD-01A-11D-A898-36	chr4	49709001	190204000	136895	0.005295
TCGA-D8-A1XD-01A-11D-A898-36	chr5	13001	716000	651	-0.011848
TCGA-D8-A1XD-01A-11D-A898-36	chr5	716001	797000	58	0.372409
TCGA-D8-A1XD-01A-11D-A898-36	chr5	797001	181474000	173233	0.002958
TCGA-D8-A1XD-01A-11D-A898-36	chr6	148001	257000	109	-0.024825
TCGA-D8-A1XD-01A-11D-A898-36	chr6	257001	296000	39	-0.676590
TCGA-D8-A1XD-01A-11D-A898-36	chr6	296001	382000	86	0.048070
TCGA-D8-A1XD-01A-11D-A898-36	chr6	382001	23743000	23260	-0.005275
TCGA-D8-A1XD-01A-11D-A898-36	chr6	23743001	23746000	3	-1.154904
TCGA-D8-A1XD-01A-11D-A898-36	chr6	23746001	24512000	760	0.000069
TCGA-D8-A1XD-01A-11D-A898-36	chr6	24512001	24552000	40	0.569800
TCGA-D8-A1XD-01A-11D-A898-36	chr6	24552001	71353000	44346	0.003912
TCGA-D8-A1XD-01A-11D-A898-36	chr6	71353001	71386000	32	-0.709557
TCGA-D8-A1XD-01A-11D-A898-36	chr6	71386001	71567000	181	0.010564
TCGA-D8-A1XD-01A-11D-A898-36	chr6	71567001	72075000	507	-0.690333
TCGA-D8-A1XD-01A-11D-A898-36	chr6	72075001	72154000	79	0.474956
