GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-E2-A15I-01A-21D-A895-36	chr1	17001	16534000	15133	0.011530
TCGA-E2-A15I-01A-21D-A895-36	chr1	16534001	16603000	38	-0.024923
TCGA-E2-A15I-01A-21D-A895-36	chr1	16604001	16632000	28	-0.111383
TCGA-E2-A15I-01A-21D-A895-36	chr1	16632001	16949000	177	-0.107406
TCGA-E2-A15I-01A-21D-A895-36	chr1	16949001	95436000	77849	-0.004533
TCGA-E2-A15I-01A-21D-A895-36	chr1	95436001	97538000	2092	0.136076
TCGA-E2-A15I-01A-21D-A895-36	chr1	97538001	115686000	17668	-0.009008
TCGA-E2-A15I-01A-21D-A895-36	chr1	115686001	115691000	5	-0.152229
TCGA-E2-A15I-01A-21D-A895-36	chr1	115691001	120574000	4378	-0.006726
TCGA-E2-A15I-01A-21D-A895-36	chr1	120671001	120942000	29	-0.796836
TCGA-E2-A15I-01A-21D-A895-36	chr1	120942001	122914000	314	0.013747
TCGA-E2-A15I-01A-21D-A895-36	chr1	122922001	122923000	1	-7.734458
TCGA-E2-A15I-01A-21D-A895-36	chr1	122925001	123526000	64	-0.117014
TCGA-E2-A15I-01A-21D-A895-36	chr1	123527001	123529000	2	-6.280886
TCGA-E2-A15I-01A-21D-A895-36	chr1	123531001	248931000	100533	-0.005485
TCGA-E2-A15I-01A-21D-A895-36	chr2	11001	87144000	86293	-0.009692
TCGA-E2-A15I-01A-21D-A895-36	chr2	87144001	87708000	169	0.578752
TCGA-E2-A15I-01A-21D-A895-36	chr2	87712001	242159000	146434	-0.011324
TCGA-E2-A15I-01A-21D-A895-36	chr3	12001	195613000	191478	-0.020822
TCGA-E2-A15I-01A-21D-A895-36	chr3	195613001	195716000	79	-0.413213
TCGA-E2-A15I-01A-21D-A895-36	chr3	195716001	198175000	2372	-0.009731
TCGA-E2-A15I-01A-21D-A895-36	chr4	15001	49092000	48388	-0.012266
TCGA-E2-A15I-01A-21D-A895-36	chr4	49092001	49309000	155	0.153499
TCGA-E2-A15I-01A-21D-A895-36	chr4	49311001	49658000	141	-0.396295
TCGA-E2-A15I-01A-21D-A895-36	chr4	49709001	118204000	65710	-0.015262
TCGA-E2-A15I-01A-21D-A895-36	chr4	118204001	118209000	5	-8.312668
TCGA-E2-A15I-01A-21D-A895-36	chr4	118209001	190204000	71180	-0.015547
TCGA-E2-A15I-01A-21D-A895-36	chr5	13001	702000	639	-0.002133
TCGA-E2-A15I-01A-21D-A895-36	chr5	702001	778000	55	0.309123
TCGA-E2-A15I-01A-21D-A895-36	chr5	778001	2039000	1213	-0.004549
TCGA-E2-A15I-01A-21D-A895-36	chr5	2039001	2066000	27	-1.032964
TCGA-E2-A15I-01A-21D-A895-36	chr5	2066001	47211000	43944	-0.016452
TCGA-E2-A15I-01A-21D-A895-36	chr5	47296001	49647000	13	-0.628246
TCGA-E2-A15I-01A-21D-A895-36	chr5	49656001	181474000	128051	-0.010044
TCGA-E2-A15I-01A-21D-A895-36	chr6	148001	32502000	31952	-0.006543
TCGA-E2-A15I-01A-21D-A895-36	chr6	32523001	32592000	44	-0.418466
TCGA-E2-A15I-01A-21D-A895-36	chr6	32592001	61378000	26787	-0.008921
TCGA-E2-A15I-01A-21D-A895-36	chr6	61378001	61396000	18	0.919619
TCGA-E2-A15I-01A-21D-A895-36	chr6	61396001	167933000	105628	-0.015255
TCGA-E2-A15I-01A-21D-A895-36	chr6	167933001	168198000	260	0.570975
TCGA-E2-A15I-01A-21D-A895-36	chr6	168198001	170612000	2360	-0.013720
TCGA-E2-A15I-01A-21D-A895-36	chr7	35001	511000	446	0.391140
TCGA-E2-A15I-01A-21D-A895-36	chr7	511001	2030000	1487	0.406188
TCGA-E2-A15I-01A-21D-A895-36	chr7	2030001	4925000	2866	0.403136
TCGA-E2-A15I-01A-21D-A895-36	chr7	4925001	5585000	655	0.411964
TCGA-E2-A15I-01A-21D-A895-36	chr7	5585001	6898000	1178	0.415829
TCGA-E2-A15I-01A-21D-A895-36	chr7	6898001	10545000	3617	0.393246
TCGA-E2-A15I-01A-21D-A895-36	chr7	10545001	12672000	2122	0.385212
TCGA-E2-A15I-01A-21D-A895-36	chr7	12672001	14383000	1703	0.391849
TCGA-E2-A15I-01A-21D-A895-36	chr7	14383001	14602000	218	0.369779
TCGA-E2-A15I-01A-21D-A895-36	chr7	14602001	16311000	1685	0.385374
TCGA-E2-A15I-01A-21D-A895-36	chr7	16311001	23154000	6816	0.393113
TCGA-E2-A15I-01A-21D-A895-36	chr7	23154001	38241000	14970	0.397255
TCGA-E2-A15I-01A-21D-A895-36	chr7	38241001	38272000	30	1.029195
TCGA-E2-A15I-01A-21D-A895-36	chr7	38272001	38382000	110	0.460094
TCGA-E2-A15I-01A-21D-A895-36	chr7	38382001	43579000	5181	0.394949
TCGA-E2-A15I-01A-21D-A895-36	chr7	43579001	53916000	10282	0.393216
TCGA-E2-A15I-01A-21D-A895-36	chr7	53916001	66684000	8024	0.393909
TCGA-E2-A15I-01A-21D-A895-36	chr7	66684001	69429000	2727	0.404482
TCGA-E2-A15I-01A-21D-A895-36	chr7	69429001	70572000	1134	0.395255
TCGA-E2-A15I-01A-21D-A895-36	chr7	70572001	72034000	1455	0.480556
TCGA-E2-A15I-01A-21D-A895-36	chr7	72034001	74435000	2043	0.408819
TCGA-E2-A15I-01A-21D-A895-36	chr7	74435001	76754000	1585	0.411069
TCGA-E2-A15I-01A-21D-A895-36	chr7	76754001	77069000	219	0.375426
TCGA-E2-A15I-01A-21D-A895-36	chr7	77069001	80981000	3886	0.394475
TCGA-E2-A15I-01A-21D-A895-36	chr7	80981001	85420000	4417	0.381855
TCGA-E2-A15I-01A-21D-A895-36	chr7	85420001	85776000	354	0.375037
TCGA-E2-A15I-01A-21D-A895-36	chr7	85776001	86978000	1197	0.381909
TCGA-E2-A15I-01A-21D-A895-36	chr7	86978001	92157000	5147	0.391646
TCGA-E2-A15I-01A-21D-A895-36	chr7	92157001	99189000	6991	0.394441
TCGA-E2-A15I-01A-21D-A895-36	chr7	99189001	100122000	926	0.409331
TCGA-E2-A15I-01A-21D-A895-36	chr7	100122001	103780000	3408	0.406812
TCGA-E2-A15I-01A-21D-A895-36	chr7	103780001	104334000	549	0.393913
TCGA-E2-A15I-01A-21D-A895-36	chr7	104334001	112501000	8096	0.393884
TCGA-E2-A15I-01A-21D-A895-36	chr7	112501001	116314000	3785	0.387617
TCGA-E2-A15I-01A-21D-A895-36	chr7	116314001	119565000	3236	0.387270
TCGA-E2-A15I-01A-21D-A895-36	chr7	119565001	122289000	2706	0.383019
TCGA-E2-A15I-01A-21D-A895-36	chr7	122289001	125186000	2889	0.388799
TCGA-E2-A15I-01A-21D-A895-36	chr7	125186001	125209000	23	-0.292005
TCGA-E2-A15I-01A-21D-A895-36	chr7	125209001	125397000	187	0.369678
TCGA-E2-A15I-01A-21D-A895-36	chr7	125397001	128934000	3513	0.393824
TCGA-E2-A15I-01A-21D-A895-36	chr7	128934001	139848000	10857	0.399433
TCGA-E2-A15I-01A-21D-A895-36	chr7	139848001	142183000	2311	0.400478
TCGA-E2-A15I-01A-21D-A895-36	chr7	142183001	142478000	295	0.408997
TCGA-E2-A15I-01A-21D-A895-36	chr7	142478001	142496000	18	-0.869727
TCGA-E2-A15I-01A-21D-A895-36	chr7	142496001	142850000	351	0.444337
TCGA-E2-A15I-01A-21D-A895-36	chr7	142850001	144178000	1000	0.397028
TCGA-E2-A15I-01A-21D-A895-36	chr7	144178001	144355000	17	1.150793
TCGA-E2-A15I-01A-21D-A895-36	chr7	144377001	150049000	5614	0.396544
TCGA-E2-A15I-01A-21D-A895-36	chr7	150049001	150896000	811	0.409861
TCGA-E2-A15I-01A-21D-A895-36	chr7	150896001	159335000	8281	0.393001
TCGA-E2-A15I-01A-21D-A895-36	chr8	205001	7349000	6618	-0.052638
TCGA-E2-A15I-01A-21D-A895-36	chr8	7349001	8196000	95	-0.527898
TCGA-E2-A15I-01A-21D-A895-36	chr8	8231001	11912000	3664	-0.047538
TCGA-E2-A15I-01A-21D-A895-36	chr8	11912001	11935000	23	-0.973737
TCGA-E2-A15I-01A-21D-A895-36	chr8	11935001	12038000	103	-0.044295
TCGA-E2-A15I-01A-21D-A895-36	chr8	12123001	12135000	4	-29.878812
TCGA-E2-A15I-01A-21D-A895-36	chr8	12135001	12151000	15	-29.896356
TCGA-E2-A15I-01A-21D-A895-36	chr8	12175001	12328000	11	-0.011478
TCGA-E2-A15I-01A-21D-A895-36	chr8	12374001	12394000	17	0.437362
TCGA-E2-A15I-01A-21D-A895-36	chr8	12415001	12602000	74	-0.454119
TCGA-E2-A15I-01A-21D-A895-36	chr8	12611001	38717000	25947	-0.050016
TCGA-E2-A15I-01A-21D-A895-36	chr8	38717001	145076000	103409	-0.011979
TCGA-E2-A15I-01A-21D-A895-36	chr9	10001	118000	45	-0.118199
TCGA-E2-A15I-01A-21D-A895-36	chr9	118001	194000	25	0.088614
