GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	17001	269000	8	-1.105513
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	269001	702000	6	2.751092
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	737001	889000	102	-0.527089
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	889001	3347000	2267	-0.440136
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	3347001	5843000	2480	-0.411554
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	5843001	6047000	202	-0.398477
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	6047001	6799000	752	-0.473238
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	6799001	7755000	955	-0.399704
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	7755001	7851000	96	-0.450129
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	7851001	9197000	1340	-0.421262
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	9197001	9222000	25	-0.350950
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	9222001	14564000	4937	-0.415398
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	14564001	14726000	162	-0.445553
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	14726001	16544000	1809	-0.436111
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	16544001	16646000	72	1.005831
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	16646001	16684000	17	-0.742673
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	16685001	16968000	164	0.193620
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	16968001	23305000	6312	-0.410920
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	23305001	23311000	6	-4.768322
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	23311001	27872000	4450	-0.404765
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	27872001	33037000	5152	0.436905
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	33037001	49335000	16181	0.098923
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	49335001	49436000	101	-1.285909
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	49436001	57774000	8312	0.088289
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	57774001	58729000	937	-0.398973
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	58729001	58731000	2	-29.892200
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	58731001	59385000	653	-0.399820
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	59385001	59425000	40	-0.572537
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	59425001	62493000	3058	-0.403706
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	62493001	62498000	5	-0.541978
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	62498001	62614000	116	-0.375934
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	62614001	62616000	2	-3.443195
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	62616001	63362000	744	-0.452903
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	63362001	63427000	64	-0.463482
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	63427001	63735000	306	-0.343602
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	63735001	63769000	34	-0.396629
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	63769001	64970000	1197	-0.421786
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	64970001	65038000	68	-0.481069
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	65038001	66443000	1392	-0.396105
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	66443001	66474000	31	-0.390548
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	66474001	66927000	446	-0.423184
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	66927001	66943000	16	-0.195205
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	66943001	68148000	1198	-0.369700
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	68148001	68984000	830	-0.418364
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	68984001	69715000	729	-0.339355
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	69715001	69723000	8	-0.459209
TCGA-A7-A4SF-01A-11D-A89D-36	chr1	69723001	71637000	1897	-0.410267
