GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	17001	1639000	840	-0.180706
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	1639001	1707000	48	-0.922241
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	1715001	3936000	2077	-0.192485
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	3936001	9543000	5589	-0.289435
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	9543001	11950000	2406	-0.232993
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	11950001	11958000	8	-1.084941
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	11958001	12791000	832	-0.266663
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	12791001	12885000	80	0.194346
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	12885001	13447000	176	-0.254211
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	13447001	13451000	4	-9.673438
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	13451001	16603000	3111	-0.292666
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	16604001	16646000	42	0.826240
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	16646001	16684000	17	-0.400613
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	16685001	16730000	27	0.695473
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	16730001	16799000	31	-1.236618
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	16850001	16949000	88	0.042927
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	16949001	20865000	3908	-0.278137
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	20865001	21058000	193	-0.451083
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	21058001	21979000	908	-0.262989
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	21980001	21994000	13	-0.949714
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	21994001	30396000	8283	-0.273589
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	30396001	30682000	281	-0.138527
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	30682001	33243000	2555	0.119155
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	33243001	34652000	1392	-0.058920
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	34652001	41287000	6600	0.032683
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	41287001	44615000	3313	0.027897
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	44615001	48381000	3727	0.019861
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	48381001	48399000	16	-0.169594
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	48399001	49644000	1239	-0.058769
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	49644001	49650000	6	-2.206797
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	49650001	49947000	292	-0.054829
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	49947001	51939000	1990	-0.016757
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	51939001	55074000	3126	0.027696
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	55074001	55662000	588	0.450186
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	55662001	55664000	2	-29.351427
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	55668001	56657000	984	0.435071
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	56657001	57059000	402	0.432654
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	57059001	58729000	1651	0.494506
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	58729001	58731000	2	-29.647757
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	58731001	59370000	638	0.488358
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	59370001	62598000	3218	0.252152
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	62598001	62606000	8	-1.137785
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	62606001	62860000	254	0.192645
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	62860001	62868000	8	-0.610745
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	62868001	63449000	578	0.252682
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	63449001	63455000	6	-1.235052
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	63455001	63530000	73	0.301917
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	63530001	63538000	8	-2.552324
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	63538001	66183000	2628	0.237852
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	66183001	66926000	736	-0.048664
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	66926001	67112000	180	0.182931
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	67112001	68262000	1149	0.275445
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	68262001	68287000	25	-0.554861
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	68287001	69871000	1576	0.222426
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	69871001	69876000	5	-1.373374
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	69876001	70156000	274	0.194892
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	70156001	72206000	2032	0.205113
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	72206001	72212000	6	-2.322331
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	72212001	72258000	46	0.107866
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	72258001	72266000	8	-2.886270
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	72266001	72290000	24	0.212931
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	72290001	72298000	8	-1.371194
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	72298001	72787000	444	0.234502
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	72787001	73258000	467	0.239635
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	73258001	73264000	6	-2.368581
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	73264001	73280000	16	0.243684
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	73280001	73283000	3	-2.574024
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	73283001	73937000	654	0.186257
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	73937001	74843000	902	0.170559
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	74843001	77130000	2268	0.251101
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	77130001	77133000	3	-2.629216
TCGA-A7-A6VX-01A-12D-A89E-36	chr1	77133001	77141000	8	0.277933
