GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-E9-A1RI-01A-11D-A898-36	chr1	17001	16603000	15171	0.012487
TCGA-E9-A1RI-01A-11D-A898-36	chr1	16604001	16645000	41	0.042921
TCGA-E9-A1RI-01A-11D-A898-36	chr1	16645001	16906000	122	-0.065500
TCGA-E9-A1RI-01A-11D-A898-36	chr1	16906001	25060000	8118	-0.003324
TCGA-E9-A1RI-01A-11D-A898-36	chr1	25060001	55663000	30355	-0.062457
TCGA-E9-A1RI-01A-11D-A898-36	chr1	55663001	89006000	33029	0.046732
TCGA-E9-A1RI-01A-11D-A898-36	chr1	89006001	89015000	9	-0.010770
TCGA-E9-A1RI-01A-11D-A898-36	chr1	89015001	143311000	31456	0.048603
TCGA-E9-A1RI-01A-11D-A898-36	chr1	143311001	144141000	252	-0.724199
TCGA-E9-A1RI-01A-11D-A898-36	chr1	144396001	146478000	661	0.101358
TCGA-E9-A1RI-01A-11D-A898-36	chr1	146478001	146506000	5	-0.138997
TCGA-E9-A1RI-01A-11D-A898-36	chr1	146546001	222100000	72822	0.100696
TCGA-E9-A1RI-01A-11D-A898-36	chr1	222100001	248931000	26270	0.007692
TCGA-E9-A1RI-01A-11D-A898-36	chr2	11001	4531000	4437	-0.172738
TCGA-E9-A1RI-01A-11D-A898-36	chr2	4531001	18165000	13550	-0.163462
TCGA-E9-A1RI-01A-11D-A898-36	chr2	18165001	19565000	1393	-0.147093
TCGA-E9-A1RI-01A-11D-A898-36	chr2	19565001	19572000	7	-0.271480
TCGA-E9-A1RI-01A-11D-A898-36	chr2	19572001	22385000	2810	-0.158047
TCGA-E9-A1RI-01A-11D-A898-36	chr2	22385001	23497000	1105	-0.152706
TCGA-E9-A1RI-01A-11D-A898-36	chr2	23497001	27531000	4024	-0.175323
TCGA-E9-A1RI-01A-11D-A898-36	chr2	27531001	34895000	7284	-0.162101
TCGA-E9-A1RI-01A-11D-A898-36	chr2	34895001	38041000	3111	-0.154483
TCGA-E9-A1RI-01A-11D-A898-36	chr2	38041001	38728000	687	-0.177127
TCGA-E9-A1RI-01A-11D-A898-36	chr2	38728001	38738000	10	0.279811
