GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-BH-A0BF-01A-21D-A890-36	chr1	17001	1693000	883	-0.135080
TCGA-BH-A0BF-01A-21D-A890-36	chr1	1694001	1742000	26	-1.251722
TCGA-BH-A0BF-01A-21D-A890-36	chr1	1742001	10427000	8528	-0.138066
TCGA-BH-A0BF-01A-21D-A890-36	chr1	10427001	16539000	5701	-0.135240
TCGA-BH-A0BF-01A-21D-A890-36	chr1	16540001	16634000	63	0.144978
TCGA-BH-A0BF-01A-21D-A890-36	chr1	16634001	16682000	28	0.216186
TCGA-BH-A0BF-01A-21D-A890-36	chr1	16683001	16723000	21	-0.734865
TCGA-BH-A0BF-01A-21D-A890-36	chr1	16723001	16876000	54	-0.098590
TCGA-BH-A0BF-01A-21D-A890-36	chr1	16876001	16948000	71	-0.696698
TCGA-BH-A0BF-01A-21D-A890-36	chr1	16948001	34673000	17555	-0.130548
TCGA-BH-A0BF-01A-21D-A890-36	chr1	34673001	62843000	28018	-0.123512
TCGA-BH-A0BF-01A-21D-A890-36	chr1	62843001	100598000	37421	-0.115223
TCGA-BH-A0BF-01A-21D-A890-36	chr1	100598001	112149000	11120	-0.109641
TCGA-BH-A0BF-01A-21D-A890-36	chr1	112162001	112231000	67	-0.071040
TCGA-BH-A0BF-01A-21D-A890-36	chr1	112231001	119731000	7459	-0.113249
TCGA-BH-A0BF-01A-21D-A890-36	chr1	119731001	122646000	662	-0.085083
TCGA-BH-A0BF-01A-21D-A890-36	chr1	122652001	124783000	303	0.233134
TCGA-BH-A0BF-01A-21D-A890-36	chr1	124802001	124976000	42	1.254509
TCGA-BH-A0BF-01A-21D-A890-36	chr1	124976001	125178000	196	0.476557
TCGA-BH-A0BF-01A-21D-A890-36	chr1	125178001	143271000	71	-0.365994
TCGA-BH-A0BF-01A-21D-A890-36	chr1	143271001	143737000	210	0.561476
TCGA-BH-A0BF-01A-21D-A890-36	chr1	143737001	147061000	894	0.464063
TCGA-BH-A0BF-01A-21D-A890-36	chr1	147061001	151969000	3408	0.461958
TCGA-BH-A0BF-01A-21D-A890-36	chr1	151969001	153631000	1600	0.471605
