GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A1-A0SP-01A-11D-A893-36	chr1	17001	8836000	7850	0.158784
TCGA-A1-A0SP-01A-11D-A893-36	chr1	8836001	9008000	172	0.596100
TCGA-A1-A0SP-01A-11D-A893-36	chr1	9008001	16537000	7114	0.174874
TCGA-A1-A0SP-01A-11D-A893-36	chr1	16537001	16949000	240	0.107826
TCGA-A1-A0SP-01A-11D-A893-36	chr1	16949001	122405000	102289	0.176046
TCGA-A1-A0SP-01A-11D-A893-36	chr1	122520001	122923000	47	-0.559555
TCGA-A1-A0SP-01A-11D-A893-36	chr1	122925001	122937000	4	-0.224532
TCGA-A1-A0SP-01A-11D-A893-36	chr1	122948001	122949000	1	-5.346309
TCGA-A1-A0SP-01A-11D-A893-36	chr1	122998001	124783000	263	-0.332273
TCGA-A1-A0SP-01A-11D-A893-36	chr1	124802001	143311000	321	0.116933
TCGA-A1-A0SP-01A-11D-A893-36	chr1	143311001	144105000	251	-0.711090
TCGA-A1-A0SP-01A-11D-A893-36	chr1	144140001	161026000	13193	0.199048
TCGA-A1-A0SP-01A-11D-A893-36	chr1	161026001	161151000	125	0.963479
TCGA-A1-A0SP-01A-11D-A893-36	chr1	161151001	161518000	339	0.199131
TCGA-A1-A0SP-01A-11D-A893-36	chr1	161518001	161596000	53	0.813936
TCGA-A1-A0SP-01A-11D-A893-36	chr1	161597001	210517000	48248	0.193879
TCGA-A1-A0SP-01A-11D-A893-36	chr1	210517001	210996000	478	0.599365
TCGA-A1-A0SP-01A-11D-A893-36	chr1	210996001	244348000	32923	0.195866
TCGA-A1-A0SP-01A-11D-A893-36	chr1	244348001	244369000	21	-0.389461
TCGA-A1-A0SP-01A-11D-A893-36	chr1	244369001	248931000	4379	0.198408
TCGA-A1-A0SP-01A-11D-A893-36	chr2	11001	20183000	19998	-0.005430
TCGA-A1-A0SP-01A-11D-A893-36	chr2	20183001	34241000	14007	0.004256
TCGA-A1-A0SP-01A-11D-A893-36	chr2	34241001	35897000	1585	-0.016799
TCGA-A1-A0SP-01A-11D-A893-36	chr2	35897001	50460000	14495	0.008461
TCGA-A1-A0SP-01A-11D-A893-36	chr2	50460001	53053000	2553	-0.012561
TCGA-A1-A0SP-01A-11D-A893-36	chr2	53053001	64090000	10991	0.009844
TCGA-A1-A0SP-01A-11D-A893-36	chr2	64090001	64252000	162	0.465018
TCGA-A1-A0SP-01A-11D-A893-36	chr2	64252001	64258000	6	-0.336895
TCGA-A1-A0SP-01A-11D-A893-36	chr2	64258001	70429000	6158	0.013635
TCGA-A1-A0SP-01A-11D-A893-36	chr2	70431001	70912000	480	0.338381
TCGA-A1-A0SP-01A-11D-A893-36	chr2	70912001	79822000	8818	0.000696
TCGA-A1-A0SP-01A-11D-A893-36	chr2	79822001	83267000	3430	-0.020163
TCGA-A1-A0SP-01A-11D-A893-36	chr2	83267001	83916000	641	-0.012450
TCGA-A1-A0SP-01A-11D-A893-36	chr2	83916001	84319000	401	0.314524
TCGA-A1-A0SP-01A-11D-A893-36	chr2	84319001	99364000	9299	0.011735
TCGA-A1-A0SP-01A-11D-A893-36	chr2	99364001	133547000	32105	-0.005527
TCGA-A1-A0SP-01A-11D-A893-36	chr2	133547001	133812000	260	0.358875
TCGA-A1-A0SP-01A-11D-A893-36	chr2	133812001	138907000	5065	0.004573
TCGA-A1-A0SP-01A-11D-A893-36	chr2	138907001	138934000	27	0.423852
TCGA-A1-A0SP-01A-11D-A893-36	chr2	138934001	142284000	3340	-0.020063
TCGA-A1-A0SP-01A-11D-A893-36	chr2	142284001	149551000	7214	-0.003773
TCGA-A1-A0SP-01A-11D-A893-36	chr2	149551001	149972000	414	0.332808
TCGA-A1-A0SP-01A-11D-A893-36	chr2	149972001	159835000	9761	0.007493
TCGA-A1-A0SP-01A-11D-A893-36	chr2	159835001	164934000	5072	0.008977
TCGA-A1-A0SP-01A-11D-A893-36	chr2	164934001	165452000	518	0.335154
