GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AN-A0FF-01A-11D-A891-36	chr1	17001	1690000	882	-0.004352
TCGA-AN-A0FF-01A-11D-A891-36	chr1	1692001	1753000	32	0.568569
TCGA-AN-A0FF-01A-11D-A891-36	chr1	1753001	16536000	14221	-0.008466
TCGA-AN-A0FF-01A-11D-A891-36	chr1	16536001	16675000	87	0.339992
TCGA-AN-A0FF-01A-11D-A891-36	chr1	16675001	16949000	154	0.011758
TCGA-AN-A0FF-01A-11D-A891-36	chr1	16949001	89010000	71464	-0.003744
TCGA-AN-A0FF-01A-11D-A891-36	chr1	89010001	89014000	4	-2.668716
TCGA-AN-A0FF-01A-11D-A891-36	chr1	89014001	120523000	30519	0.000477
TCGA-AN-A0FF-01A-11D-A891-36	chr1	120535001	120947000	37	-0.772702
TCGA-AN-A0FF-01A-11D-A891-36	chr1	120947001	122700000	282	0.011473
TCGA-AN-A0FF-01A-11D-A891-36	chr1	122703001	122710000	3	-1.920026
TCGA-AN-A0FF-01A-11D-A891-36	chr1	122730001	122779000	7	0.999549
TCGA-AN-A0FF-01A-11D-A891-36	chr1	122798001	123196000	50	-0.171271
TCGA-AN-A0FF-01A-11D-A891-36	chr1	123200001	123391000	15	-1.846910
TCGA-AN-A0FF-01A-11D-A891-36	chr1	123393001	123444000	11	-0.014593
TCGA-AN-A0FF-01A-11D-A891-36	chr1	123445001	123561000	21	0.094338
TCGA-AN-A0FF-01A-11D-A891-36	chr1	123616001	124045000	48	0.107939
TCGA-AN-A0FF-01A-11D-A891-36	chr1	124054001	124097000	5	-0.270464
TCGA-AN-A0FF-01A-11D-A891-36	chr1	124098001	124281000	24	0.990048
TCGA-AN-A0FF-01A-11D-A891-36	chr1	124281001	124371000	17	0.313990
TCGA-AN-A0FF-01A-11D-A891-36	chr1	124376001	124592000	43	0.157712
TCGA-AN-A0FF-01A-11D-A891-36	chr1	124597001	124598000	1	-6.223792
TCGA-AN-A0FF-01A-11D-A891-36	chr1	124599001	124716000	30	-0.059846
TCGA-AN-A0FF-01A-11D-A891-36	chr1	124722001	124926000	29	0.327073
TCGA-AN-A0FF-01A-11D-A891-36	chr1	124940001	125170000	227	0.757994
TCGA-AN-A0FF-01A-11D-A891-36	chr1	125170001	143268000	75	-0.263574
TCGA-AN-A0FF-01A-11D-A891-36	chr1	143270001	143651000	129	0.907500
TCGA-AN-A0FF-01A-11D-A891-36	chr1	143651001	147693000	1604	0.803672
TCGA-AN-A0FF-01A-11D-A891-36	chr1	147693001	147717000	24	0.794810
TCGA-AN-A0FF-01A-11D-A891-36	chr1	147717001	147909000	192	0.794301
TCGA-AN-A0FF-01A-11D-A891-36	chr1	147909001	150191000	794	0.809368
