GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AR-A0U3-01A-11D-A893-36	chr1	17001	896000	123	-0.613507
TCGA-AR-A0U3-01A-11D-A893-36	chr1	896001	1537000	619	-0.440207
TCGA-AR-A0U3-01A-11D-A893-36	chr1	1537001	1576000	39	-0.546056
TCGA-AR-A0U3-01A-11D-A893-36	chr1	1576001	1671000	84	-0.464210
TCGA-AR-A0U3-01A-11D-A893-36	chr1	1671001	2005000	301	-0.520296
TCGA-AR-A0U3-01A-11D-A893-36	chr1	2005001	2394000	384	-0.460151
TCGA-AR-A0U3-01A-11D-A893-36	chr1	2394001	2473000	79	-0.409076
TCGA-AR-A0U3-01A-11D-A893-36	chr1	2473001	2539000	66	-0.412408
TCGA-AR-A0U3-01A-11D-A893-36	chr1	2539001	3430000	770	-0.504622
TCGA-AR-A0U3-01A-11D-A893-36	chr1	3430001	3514000	83	-0.487523
TCGA-AR-A0U3-01A-11D-A893-36	chr1	3514001	3624000	109	-0.437354
TCGA-AR-A0U3-01A-11D-A893-36	chr1	3624001	4094000	462	-0.552598
TCGA-AR-A0U3-01A-11D-A893-36	chr1	4094001	4323000	227	-0.622982
TCGA-AR-A0U3-01A-11D-A893-36	chr1	4323001	4359000	35	-0.625349
TCGA-AR-A0U3-01A-11D-A893-36	chr1	4359001	4609000	250	-0.645701
TCGA-AR-A0U3-01A-11D-A893-36	chr1	4609001	4937000	328	-0.614314
TCGA-AR-A0U3-01A-11D-A893-36	chr1	4937001	5198000	260	-0.655846
TCGA-AR-A0U3-01A-11D-A893-36	chr1	5198001	5659000	460	-0.618027
TCGA-AR-A0U3-01A-11D-A893-36	chr1	5659001	5867000	208	-0.572490
TCGA-AR-A0U3-01A-11D-A893-36	chr1	5867001	6145000	276	-0.543431
TCGA-AR-A0U3-01A-11D-A893-36	chr1	6145001	6208000	63	-0.527920
TCGA-AR-A0U3-01A-11D-A893-36	chr1	6208001	6727000	519	-0.532193
TCGA-AR-A0U3-01A-11D-A893-36	chr1	6727001	7155000	427	-0.598281
TCGA-AR-A0U3-01A-11D-A893-36	chr1	7155001	7265000	110	-0.614399
TCGA-AR-A0U3-01A-11D-A893-36	chr1	7265001	7407000	142	-0.591588
TCGA-AR-A0U3-01A-11D-A893-36	chr1	7407001	9410000	1997	-0.572100
TCGA-AR-A0U3-01A-11D-A893-36	chr1	9410001	9440000	30	-0.600995
TCGA-AR-A0U3-01A-11D-A893-36	chr1	9440001	10579000	1138	-0.564775
TCGA-AR-A0U3-01A-11D-A893-36	chr1	10579001	10970000	391	-0.525257
TCGA-AR-A0U3-01A-11D-A893-36	chr1	10970001	11007000	37	-0.545061
TCGA-AR-A0U3-01A-11D-A893-36	chr1	11007001	11860000	853	-0.564679
TCGA-AR-A0U3-01A-11D-A893-36	chr1	11860001	12036000	176	-0.524411
TCGA-AR-A0U3-01A-11D-A893-36	chr1	12036001	12069000	33	-0.571908
TCGA-AR-A0U3-01A-11D-A893-36	chr1	12069001	12628000	559	-0.592849
TCGA-AR-A0U3-01A-11D-A893-36	chr1	12628001	12720000	92	-0.609891
TCGA-AR-A0U3-01A-11D-A893-36	chr1	12720001	12791000	70	-0.588700
TCGA-AR-A0U3-01A-11D-A893-36	chr1	12791001	13122000	109	-0.436609
TCGA-AR-A0U3-01A-11D-A893-36	chr1	13170001	13375000	75	-0.641384
TCGA-AR-A0U3-01A-11D-A893-36	chr1	13375001	14467000	1090	-0.631156
TCGA-AR-A0U3-01A-11D-A893-36	chr1	14467001	14514000	47	-0.649496
TCGA-AR-A0U3-01A-11D-A893-36	chr1	14515001	14770000	255	-0.648314
TCGA-AR-A0U3-01A-11D-A893-36	chr1	14770001	15556000	785	-0.592972
TCGA-AR-A0U3-01A-11D-A893-36	chr1	15556001	15981000	422	-0.559285
TCGA-AR-A0U3-01A-11D-A893-36	chr1	15981001	16211000	229	-0.509205
TCGA-AR-A0U3-01A-11D-A893-36	chr1	16211001	16680000	415	-0.578816
TCGA-AR-A0U3-01A-11D-A893-36	chr1	16680001	16979000	177	-0.329555
TCGA-AR-A0U3-01A-11D-A893-36	chr1	16979001	17834000	854	-0.569140
TCGA-AR-A0U3-01A-11D-A893-36	chr1	17834001	18806000	972	-0.599312
TCGA-AR-A0U3-01A-11D-A893-36	chr1	18806001	18859000	52	-0.591074
TCGA-AR-A0U3-01A-11D-A893-36	chr1	18859001	19652000	793	-0.584932
TCGA-AR-A0U3-01A-11D-A893-36	chr1	19652001	19699000	47	-0.526452
TCGA-AR-A0U3-01A-11D-A893-36	chr1	19699001	20290000	591	-0.606237
TCGA-AR-A0U3-01A-11D-A893-36	chr1	20290001	21617000	1310	-0.572205
TCGA-AR-A0U3-01A-11D-A893-36	chr1	21617001	21652000	35	-0.516335
TCGA-AR-A0U3-01A-11D-A893-36	chr1	21652001	21809000	157	-0.584871
TCGA-AR-A0U3-01A-11D-A893-36	chr1	21809001	22008000	197	-0.475979
TCGA-AR-A0U3-01A-11D-A893-36	chr1	22008001	22539000	528	-0.574945
TCGA-AR-A0U3-01A-11D-A893-36	chr1	22539001	22645000	106	-0.521634
TCGA-AR-A0U3-01A-11D-A893-36	chr1	22645001	23898000	1252	-0.583400
TCGA-AR-A0U3-01A-11D-A893-36	chr1	23898001	24319000	419	-0.571560
TCGA-AR-A0U3-01A-11D-A893-36	chr1	24319001	24339000	20	-0.548110
TCGA-AR-A0U3-01A-11D-A893-36	chr1	24339001	24630000	291	-0.580043
TCGA-AR-A0U3-01A-11D-A893-36	chr1	24630001	24690000	60	-0.593934
TCGA-AR-A0U3-01A-11D-A893-36	chr1	24690001	28132000	3333	-0.557849
TCGA-AR-A0U3-01A-11D-A893-36	chr1	28132001	28308000	176	-0.582259
TCGA-AR-A0U3-01A-11D-A893-36	chr1	28308001	29479000	1171	-0.582169
TCGA-AR-A0U3-01A-11D-A893-36	chr1	29479001	30419000	936	-0.609798
TCGA-AR-A0U3-01A-11D-A893-36	chr1	30419001	30445000	22	-0.596626
TCGA-AR-A0U3-01A-11D-A893-36	chr1	30445001	31433000	986	-0.577307
TCGA-AR-A0U3-01A-11D-A893-36	chr1	31433001	31506000	72	-0.605037
TCGA-AR-A0U3-01A-11D-A893-36	chr1	31506001	33514000	2003	-0.568783
TCGA-AR-A0U3-01A-11D-A893-36	chr1	33514001	33909000	392	-0.622689
TCGA-AR-A0U3-01A-11D-A893-36	chr1	33909001	33970000	61	-0.660284
TCGA-AR-A0U3-01A-11D-A893-36	chr1	33970001	34844000	861	-0.624547
TCGA-AR-A0U3-01A-11D-A893-36	chr1	34844001	35168000	324	-0.594628
TCGA-AR-A0U3-01A-11D-A893-36	chr1	35168001	37215000	2044	-0.581138
TCGA-AR-A0U3-01A-11D-A893-36	chr1	37215001	37249000	34	-0.581030
TCGA-AR-A0U3-01A-11D-A893-36	chr1	37249001	37263000	14	-0.615842
TCGA-AR-A0U3-01A-11D-A893-36	chr1	37263001	37328000	65	-0.589336
TCGA-AR-A0U3-01A-11D-A893-36	chr1	37328001	37454000	126	-0.616593
TCGA-AR-A0U3-01A-11D-A893-36	chr1	37454001	37486000	32	-0.567293
TCGA-AR-A0U3-01A-11D-A893-36	chr1	37486001	38345000	859	-0.593184
TCGA-AR-A0U3-01A-11D-A893-36	chr1	38345001	38812000	467	-0.624603
TCGA-AR-A0U3-01A-11D-A893-36	chr1	38812001	39980000	1142	-0.571874
TCGA-AR-A0U3-01A-11D-A893-36	chr1	39980001	40306000	325	-0.567982
TCGA-AR-A0U3-01A-11D-A893-36	chr1	40306001	44682000	4356	-0.587732
TCGA-AR-A0U3-01A-11D-A893-36	chr1	44682001	47245000	2531	-0.578523
TCGA-AR-A0U3-01A-11D-A893-36	chr1	47245001	48305000	1053	-0.618993
TCGA-AR-A0U3-01A-11D-A893-36	chr1	48305001	48486000	178	-0.575544
TCGA-AR-A0U3-01A-11D-A893-36	chr1	48486001	48675000	189	-0.655489
TCGA-AR-A0U3-01A-11D-A893-36	chr1	48675001	48735000	60	-0.662702
TCGA-AR-A0U3-01A-11D-A893-36	chr1	48735001	51945000	3198	-0.617115
TCGA-AR-A0U3-01A-11D-A893-36	chr1	51945001	55441000	3487	-0.597853
TCGA-AR-A0U3-01A-11D-A893-36	chr1	55441001	56442000	992	-0.647357
TCGA-AR-A0U3-01A-11D-A893-36	chr1	56442001	57848000	1405	-0.661750
TCGA-AR-A0U3-01A-11D-A893-36	chr1	57848001	57921000	73	-0.658747
TCGA-AR-A0U3-01A-11D-A893-36	chr1	57921001	58401000	463	-0.661169
TCGA-AR-A0U3-01A-11D-A893-36	chr1	58401001	58593000	191	-0.640107
TCGA-AR-A0U3-01A-11D-A893-36	chr1	58593001	58634000	41	-0.617185
TCGA-AR-A0U3-01A-11D-A893-36	chr1	58634001	59022000	388	-0.628380
TCGA-AR-A0U3-01A-11D-A893-36	chr1	59022001	59046000	24	-0.658402
TCGA-AR-A0U3-01A-11D-A893-36	chr1	59046001	61630000	2573	-0.634911
TCGA-AR-A0U3-01A-11D-A893-36	chr1	61630001	61880000	250	-0.613543
TCGA-AR-A0U3-01A-11D-A893-36	chr1	61880001	61899000	19	-0.615519
TCGA-AR-A0U3-01A-11D-A893-36	chr1	61899001	62574000	675	-0.632738
TCGA-AR-A0U3-01A-11D-A893-36	chr1	62574001	63613000	1034	-0.623305
TCGA-AR-A0U3-01A-11D-A893-36	chr1	63613001	64090000	476	-0.662991
TCGA-AR-A0U3-01A-11D-A893-36	chr1	64090001	64141000	51	-0.656751
TCGA-AR-A0U3-01A-11D-A893-36	chr1	64141001	64746000	602	-0.621825
TCGA-AR-A0U3-01A-11D-A893-36	chr1	64746001	65336000	588	-0.621208
TCGA-AR-A0U3-01A-11D-A893-36	chr1	65336001	65370000	34	-0.658297
TCGA-AR-A0U3-01A-11D-A893-36	chr1	65370001	66309000	928	-0.606044
TCGA-AR-A0U3-01A-11D-A893-36	chr1	66309001	66474000	165	-0.625673
TCGA-AR-A0U3-01A-11D-A893-36	chr1	66474001	72376000	5811	-0.638514
TCGA-AR-A0U3-01A-11D-A893-36	chr1	72376001	73696000	1316	-0.634095
TCGA-AR-A0U3-01A-11D-A893-36	chr1	73696001	73770000	74	-0.645536
TCGA-AR-A0U3-01A-11D-A893-36	chr1	73770001	75314000	1539	-0.641892
TCGA-AR-A0U3-01A-11D-A893-36	chr1	75314001	76014000	688	-0.641027
TCGA-AR-A0U3-01A-11D-A893-36	chr1	76014001	76751000	736	-0.650139
TCGA-AR-A0U3-01A-11D-A893-36	chr1	76751001	76949000	198	-0.634001
TCGA-AR-A0U3-01A-11D-A893-36	chr1	76949001	76978000	29	-0.661861
TCGA-AR-A0U3-01A-11D-A893-36	chr1	76978001	78182000	1193	-0.630279
TCGA-AR-A0U3-01A-11D-A893-36	chr1	78182001	78190000	8	-1.543622
TCGA-AR-A0U3-01A-11D-A893-36	chr1	78190001	79122000	922	-0.626811
TCGA-AR-A0U3-01A-11D-A893-36	chr1	79122001	81429000	2289	-0.620856
TCGA-AR-A0U3-01A-11D-A893-36	chr1	81429001	81527000	98	-0.650055
TCGA-AR-A0U3-01A-11D-A893-36	chr1	81527001	81790000	262	-0.646991
TCGA-AR-A0U3-01A-11D-A893-36	chr1	81790001	82222000	429	-0.634025
TCGA-AR-A0U3-01A-11D-A893-36	chr1	82222001	82333000	106	-0.633452
TCGA-AR-A0U3-01A-11D-A893-36	chr1	82333001	83174000	837	-0.633799
TCGA-AR-A0U3-01A-11D-A893-36	chr1	83174001	83371000	171	-0.606583
TCGA-AR-A0U3-01A-11D-A893-36	chr1	83371001	83615000	235	-0.621502
TCGA-AR-A0U3-01A-11D-A893-36	chr1	83615001	83772000	157	-0.642868
TCGA-AR-A0U3-01A-11D-A893-36	chr1	83772001	83810000	38	-0.638746
TCGA-AR-A0U3-01A-11D-A893-36	chr1	83810001	86960000	3102	-0.622483
TCGA-AR-A0U3-01A-11D-A893-36	chr1	86960001	88684000	1719	-0.648424
TCGA-AR-A0U3-01A-11D-A893-36	chr1	88684001	88893000	209	-0.620108
TCGA-AR-A0U3-01A-11D-A893-36	chr1	88893001	94632000	5702	0.083072
TCGA-AR-A0U3-01A-11D-A893-36	chr1	94632001	95122000	490	-0.616652
TCGA-AR-A0U3-01A-11D-A893-36	chr1	95122001	95154000	32	-0.605657
TCGA-AR-A0U3-01A-11D-A893-36	chr1	95154001	95281000	127	-0.593151
TCGA-AR-A0U3-01A-11D-A893-36	chr1	95281001	95378000	93	-0.635268
TCGA-AR-A0U3-01A-11D-A893-36	chr1	95378001	99334000	3941	-0.627781
TCGA-AR-A0U3-01A-11D-A893-36	chr1	99334001	102257000	2914	-0.621177
TCGA-AR-A0U3-01A-11D-A893-36	chr1	102257001	102427000	170	-0.594072
TCGA-AR-A0U3-01A-11D-A893-36	chr1	102427001	103087000	657	-0.628323
TCGA-AR-A0U3-01A-11D-A893-36	chr1	103087001	103119000	32	-0.618883
TCGA-AR-A0U3-01A-11D-A893-36	chr1	103119001	104733000	1449	-0.638950
TCGA-AR-A0U3-01A-11D-A893-36	chr1	104733001	106100000	1338	-0.621448
TCGA-AR-A0U3-01A-11D-A893-36	chr1	106100001	106234000	134	-0.643400
TCGA-AR-A0U3-01A-11D-A893-36	chr1	106234001	106666000	430	-0.630016
TCGA-AR-A0U3-01A-11D-A893-36	chr1	106666001	106958000	292	-0.601627
TCGA-AR-A0U3-01A-11D-A893-36	chr1	106958001	107185000	227	-0.644002
TCGA-AR-A0U3-01A-11D-A893-36	chr1	107185001	107752000	567	-0.649689
TCGA-AR-A0U3-01A-11D-A893-36	chr1	107752001	108111000	358	-0.631021
TCGA-AR-A0U3-01A-11D-A893-36	chr1	108111001	143268000	12612	0.089695
TCGA-AR-A0U3-01A-11D-A893-36	chr1	143270001	143938000	260	0.822859
TCGA-AR-A0U3-01A-11D-A893-36	chr1	144101001	149850000	2168	0.571547
TCGA-AR-A0U3-01A-11D-A893-36	chr1	149876001	161571000	11539	0.123957
TCGA-AR-A0U3-01A-11D-A893-36	chr1	161571001	161650000	48	0.765574
TCGA-AR-A0U3-01A-11D-A893-36	chr1	161654001	168575000	6873	0.080146
TCGA-AR-A0U3-01A-11D-A893-36	chr1	168575001	168728000	153	0.887966
TCGA-AR-A0U3-01A-11D-A893-36	chr1	168728001	169579000	826	0.105163
TCGA-AR-A0U3-01A-11D-A893-36	chr1	169579001	171997000	2411	0.547636
TCGA-AR-A0U3-01A-11D-A893-36	chr1	171997001	172657000	657	0.908696
TCGA-AR-A0U3-01A-11D-A893-36	chr1	172657001	172764000	106	0.880192
TCGA-AR-A0U3-01A-11D-A893-36	chr1	172764001	173053000	284	0.903667
TCGA-AR-A0U3-01A-11D-A893-36	chr1	173053001	174555000	1491	0.080479
TCGA-AR-A0U3-01A-11D-A893-36	chr1	174555001	175758000	1185	0.876026
TCGA-AR-A0U3-01A-11D-A893-36	chr1	175758001	175862000	104	0.863452
