GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AC-A62V-01A-11D-A89E-36	chr1	17001	187000	5	-0.581914
TCGA-AC-A62V-01A-11D-A89E-36	chr1	190001	635000	8	-0.950884
TCGA-AC-A62V-01A-11D-A89E-36	chr1	701001	1690000	869	-0.404277
TCGA-AC-A62V-01A-11D-A89E-36	chr1	1692001	1750000	31	-1.413561
TCGA-AC-A62V-01A-11D-A89E-36	chr1	1752001	2655000	898	-0.412435
TCGA-AC-A62V-01A-11D-A89E-36	chr1	2655001	2776000	9	-1.441470
TCGA-AC-A62V-01A-11D-A89E-36	chr1	2777001	16539000	13318	-0.417199
TCGA-AC-A62V-01A-11D-A89E-36	chr1	16540001	16757000	124	0.237020
TCGA-AC-A62V-01A-11D-A89E-36	chr1	16760001	16949000	114	-0.961374
TCGA-AC-A62V-01A-11D-A89E-36	chr1	16949001	19688000	2735	-0.412498
TCGA-AC-A62V-01A-11D-A89E-36	chr1	19688001	19969000	281	0.004562
TCGA-AC-A62V-01A-11D-A89E-36	chr1	19969001	20178000	209	0.021565
TCGA-AC-A62V-01A-11D-A89E-36	chr1	20178001	23503000	3303	0.007238
TCGA-AC-A62V-01A-11D-A89E-36	chr1	23503001	23558000	55	0.005141
TCGA-AC-A62V-01A-11D-A89E-36	chr1	23558001	24692000	1131	0.003150
TCGA-AC-A62V-01A-11D-A89E-36	chr1	24692001	27957000	3157	0.008471
TCGA-AC-A62V-01A-11D-A89E-36	chr1	27957001	28135000	177	0.039271
TCGA-AC-A62V-01A-11D-A89E-36	chr1	28135001	29727000	1590	-0.002210
TCGA-AC-A62V-01A-11D-A89E-36	chr1	29728001	37467000	7707	0.008792
TCGA-AC-A62V-01A-11D-A89E-36	chr1	37467001	40355000	2861	0.007107
TCGA-AC-A62V-01A-11D-A89E-36	chr1	40355001	41010000	650	0.016899
TCGA-AC-A62V-01A-11D-A89E-36	chr1	41010001	44449000	3424	0.021131
TCGA-AC-A62V-01A-11D-A89E-36	chr1	44449001	45443000	990	-0.401856
TCGA-AC-A62V-01A-11D-A89E-36	chr1	45443001	45584000	141	-0.046798
TCGA-AC-A62V-01A-11D-A89E-36	chr1	45584001	47014000	1412	0.026448
TCGA-AC-A62V-01A-11D-A89E-36	chr1	47014001	47140000	116	0.066025
TCGA-AC-A62V-01A-11D-A89E-36	chr1	47140001	47243000	103	0.020089
TCGA-AC-A62V-01A-11D-A89E-36	chr1	47243001	47381000	138	0.009741
TCGA-AC-A62V-01A-11D-A89E-36	chr1	47381001	49299000	1903	0.004302
TCGA-AC-A62V-01A-11D-A89E-36	chr1	49299001	49398000	99	-0.413596
TCGA-AC-A62V-01A-11D-A89E-36	chr1	49398001	58111000	8687	0.015033
TCGA-AC-A62V-01A-11D-A89E-36	chr1	58111001	58300000	176	0.042045
TCGA-AC-A62V-01A-11D-A89E-36	chr1	58300001	104549000	45726	-0.383748
TCGA-AC-A62V-01A-11D-A89E-36	chr1	104549001	105582000	1007	0.035781
TCGA-AC-A62V-01A-11D-A89E-36	chr1	105582001	105732000	148	0.050393
TCGA-AC-A62V-01A-11D-A89E-36	chr1	105732001	109216000	3285	-0.370838
TCGA-AC-A62V-01A-11D-A89E-36	chr1	109216001	110389000	1145	0.021179
TCGA-AC-A62V-01A-11D-A89E-36	chr1	110389001	112396000	1986	-0.388545
TCGA-AC-A62V-01A-11D-A89E-36	chr1	112396001	113240000	838	-0.008594
TCGA-AC-A62V-01A-11D-A89E-36	chr1	113240001	116291000	3031	0.018773
TCGA-AC-A62V-01A-11D-A89E-36	chr1	116291001	116992000	699	0.033155
TCGA-AC-A62V-01A-11D-A89E-36	chr1	116992001	117441000	447	0.051399
TCGA-AC-A62V-01A-11D-A89E-36	chr1	117441001	117565000	124	0.095941
TCGA-AC-A62V-01A-11D-A89E-36	chr1	117565001	120574000	2511	0.030862
TCGA-AC-A62V-01A-11D-A89E-36	chr1	120671001	120814000	3	-29.531717
TCGA-AC-A62V-01A-11D-A89E-36	chr1	120825001	120899000	14	-29.633810
TCGA-AC-A62V-01A-11D-A89E-36	chr1	120901001	120902000	1	-8.458265
TCGA-AC-A62V-01A-11D-A89E-36	chr1	120902001	120911000	8	-29.613079
TCGA-AC-A62V-01A-11D-A89E-36	chr1	120921001	121604000	264	0.043382
TCGA-AC-A62V-01A-11D-A89E-36	chr1	121735001	123721000	146	-0.586815
