GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AO-A124-01A-11D-A10M-09	chr1	17001	889000	116	-0.378637
TCGA-AO-A124-01A-11D-A10M-09	chr1	889001	3624000	2541	-0.274544
TCGA-AO-A124-01A-11D-A10M-09	chr1	3624001	3689000	64	-0.247991
TCGA-AO-A124-01A-11D-A10M-09	chr1	3689001	3765000	75	-0.258339
TCGA-AO-A124-01A-11D-A10M-09	chr1	3765001	3805000	40	-0.277964
TCGA-AO-A124-01A-11D-A10M-09	chr1	3805001	5561000	1745	-0.267168
TCGA-AO-A124-01A-11D-A10M-09	chr1	5561001	5603000	42	-0.258711
TCGA-AO-A124-01A-11D-A10M-09	chr1	5603001	6772000	1167	-0.256580
TCGA-AO-A124-01A-11D-A10M-09	chr1	6772001	6977000	205	-0.227384
TCGA-AO-A124-01A-11D-A10M-09	chr1	6977001	7075000	98	-0.267328
TCGA-AO-A124-01A-11D-A10M-09	chr1	7075001	7156000	80	-0.248708
TCGA-AO-A124-01A-11D-A10M-09	chr1	7156001	7258000	102	-0.261552
TCGA-AO-A124-01A-11D-A10M-09	chr1	7258001	8274000	1015	-0.262169
TCGA-AO-A124-01A-11D-A10M-09	chr1	8274001	8297000	23	-0.250545
TCGA-AO-A124-01A-11D-A10M-09	chr1	8297001	8470000	173	-0.264006
TCGA-AO-A124-01A-11D-A10M-09	chr1	8470001	11632000	3156	-1.011870
TCGA-AO-A124-01A-11D-A10M-09	chr1	11632001	11797000	165	-1.068291
TCGA-AO-A124-01A-11D-A10M-09	chr1	11797001	11922000	125	-1.021234
TCGA-AO-A124-01A-11D-A10M-09	chr1	11922001	11985000	63	-1.048220
TCGA-AO-A124-01A-11D-A10M-09	chr1	11985001	12110000	125	-1.020249
TCGA-AO-A124-01A-11D-A10M-09	chr1	12110001	12180000	70	-0.981431
TCGA-AO-A124-01A-11D-A10M-09	chr1	12180001	12802000	621	-0.972108
TCGA-AO-A124-01A-11D-A10M-09	chr1	12802001	13453000	251	-1.116571
TCGA-AO-A124-01A-11D-A10M-09	chr1	13453001	13605000	152	-1.048059
TCGA-AO-A124-01A-11D-A10M-09	chr1	13605001	14182000	576	-0.986178
TCGA-AO-A124-01A-11D-A10M-09	chr1	14182001	15292000	1107	-0.979899
TCGA-AO-A124-01A-11D-A10M-09	chr1	15292001	16199000	903	-1.004256
TCGA-AO-A124-01A-11D-A10M-09	chr1	16199001	16338000	139	-0.967602
TCGA-AO-A124-01A-11D-A10M-09	chr1	16338001	16871000	360	-1.101012
TCGA-AO-A124-01A-11D-A10M-09	chr1	16871001	17175000	301	-0.961507
TCGA-AO-A124-01A-11D-A10M-09	chr1	17175001	17883000	707	-1.000245
TCGA-AO-A124-01A-11D-A10M-09	chr1	17883001	18004000	121	-0.983411
TCGA-AO-A124-01A-11D-A10M-09	chr1	18004001	18295000	291	-1.000314
TCGA-AO-A124-01A-11D-A10M-09	chr1	18295001	18678000	383	-0.948487
TCGA-AO-A124-01A-11D-A10M-09	chr1	18678001	19044000	365	-0.902008
TCGA-AO-A124-01A-11D-A10M-09	chr1	19044001	19104000	60	-0.155682
TCGA-AO-A124-01A-11D-A10M-09	chr1	19104001	19249000	145	-0.856816
TCGA-AO-A124-01A-11D-A10M-09	chr1	19249001	20032000	783	-0.941748
TCGA-AO-A124-01A-11D-A10M-09	chr1	20032001	20529000	497	-0.931289
TCGA-AO-A124-01A-11D-A10M-09	chr1	20529001	21668000	1122	-0.951138
TCGA-AO-A124-01A-11D-A10M-09	chr1	21668001	21809000	141	-0.903635
TCGA-AO-A124-01A-11D-A10M-09	chr1	21809001	22223000	409	-0.948824
TCGA-AO-A124-01A-11D-A10M-09	chr1	22223001	22249000	26	-0.917162
TCGA-AO-A124-01A-11D-A10M-09	chr1	22249001	22882000	633	-0.923316
TCGA-AO-A124-01A-11D-A10M-09	chr1	22882001	24249000	1364	-0.940856
TCGA-AO-A124-01A-11D-A10M-09	chr1	24249001	24332000	83	-0.900660
TCGA-AO-A124-01A-11D-A10M-09	chr1	24332001	24547000	215	-0.915083
TCGA-AO-A124-01A-11D-A10M-09	chr1	24547001	24570000	23	-2.366048
TCGA-AO-A124-01A-11D-A10M-09	chr1	24570001	24590000	20	-0.953348
TCGA-AO-A124-01A-11D-A10M-09	chr1	24590001	24688000	98	-0.922594
TCGA-AO-A124-01A-11D-A10M-09	chr1	24688001	24880000	187	-0.967614
TCGA-AO-A124-01A-11D-A10M-09	chr1	24880001	25538000	565	-0.168107
TCGA-AO-A124-01A-11D-A10M-09	chr1	25538001	25785000	247	-0.933056
TCGA-AO-A124-01A-11D-A10M-09	chr1	25785001	45448000	19566	-0.183742
TCGA-AO-A124-01A-11D-A10M-09	chr1	45448001	45782000	331	0.261051
