GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	17001	6494000	5512	0.039079
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	6494001	6564000	70	-0.437252
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	6564001	16551000	9564	0.054506
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	16551001	16949000	230	-0.377379
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	16949001	83149000	65692	0.057498
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	83149001	83500000	315	-0.142466
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	83500001	103561000	19937	0.077785
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	103561001	103619000	41	1.299016
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	103717001	119989000	15912	0.067618
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	119995001	120672000	96	-0.492779
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	120805001	120860000	8	-29.366384
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	120878001	120880000	2	-29.410823
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	120882001	120899000	6	-7.069254
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	120901001	120902000	1	-29.321273
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	120902001	120909000	6	-6.324260
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	120909001	120911000	2	-6.023574
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	120921001	121744000	267	0.030195
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	121771001	123514000	113	-1.706315
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	123524001	123551000	8	-3.385905
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	123551001	123715000	21	-2.224658
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	123720001	123763000	7	-0.451967
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	123763001	124206000	47	-2.450523
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	124206001	124452000	41	-0.691446
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	124454001	124569000	23	-2.373242
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	124570001	124584000	3	-5.427489
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	124590001	124941000	63	-1.463751
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	124941001	125178000	231	0.731599
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	125178001	125184000	6	-1.823463
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	125184001	143263000	59	-0.542247
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	143263001	143938000	265	0.400504
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	144101001	144566000	71	-0.455291
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	144566001	145169000	12	-2.601386
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	145189001	145701000	195	-0.013711
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	145701001	146337000	350	0.398201
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	146366001	146475000	36	-0.302194
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	146475001	146865000	82	-1.507183
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	146872001	147021000	59	0.093069
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	147021001	148099000	969	0.399432
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	148107001	148639000	238	-2.224652
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	148919001	149850000	156	-0.046956
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	149876001	155312000	5358	0.400165
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	155312001	155690000	363	0.404797
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	155690001	155695000	5	-29.711657
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	155695001	156945000	1241	0.390690
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	156945001	158329000	1383	0.402797
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	158329001	161540000	3163	0.405138
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	161540001	161702000	104	0.574768
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	161702001	162753000	1048	0.423297
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	162753001	162854000	100	0.358985
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	162854001	163319000	464	0.425893
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	163319001	163374000	55	0.447145
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	163374001	165953000	2570	0.402401
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	165953001	167911000	1947	0.088799
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	167911001	175094000	7109	0.108854
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	175094001	175108000	14	0.070269
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	175108001	177431000	2309	0.075886
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	177431001	177486000	55	0.108977
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	177486001	178941000	1444	0.097900
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	178941001	179256000	315	0.054999
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	179256001	181345000	2075	0.092273
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	181345001	181421000	76	0.090043
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	181421001	182731000	1308	0.084578
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	182731001	182965000	233	0.218334
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	182965001	188453000	5446	0.413133
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	188453001	188496000	43	0.396507
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	188496001	188802000	304	0.394346
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	188802001	189822000	1018	0.415863
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	189822001	191792000	1964	0.411956
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	191792001	192462000	669	0.435621
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	192462001	192507000	40	0.385207
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	192507001	193803000	1287	0.426851
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	193803001	194104000	300	0.255509
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	194104001	196140000	2026	0.073498
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	196140001	196737000	591	0.083396
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	196737001	197009000	185	0.148551
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	197009001	203038000	6002	0.078175
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	203038001	203131000	93	0.414680
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	203131001	203786000	655	0.389111
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	203786001	203808000	22	0.409486
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	203808001	204481000	672	0.398296
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	204481001	204713000	232	0.400700
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	204713001	204747000	34	0.379979
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	204747001	205690000	943	0.406198
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	205690001	205849000	158	0.272031
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	205849001	206108000	258	0.040512
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	206108001	206441000	105	-0.025128
TCGA-BH-A0BW-01A-11D-A10Y-09	chr1	206441001	207133000	690	0.056690
