GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-D8-A27G-01A-11D-A89A-36	chr1	17001	16507000	15107	-0.003803
TCGA-D8-A27G-01A-11D-A89A-36	chr1	16507001	16646000	106	-0.121443
TCGA-D8-A27G-01A-11D-A89A-36	chr1	16646001	16654000	8	-1.708510
TCGA-D8-A27G-01A-11D-A89A-36	chr1	16674001	16890000	97	-0.028196
TCGA-D8-A27G-01A-11D-A89A-36	chr1	16890001	16949000	58	-0.008611
TCGA-D8-A27G-01A-11D-A89A-36	chr1	16949001	78258000	60838	0.005645
TCGA-D8-A27G-01A-11D-A89A-36	chr1	78258001	78519000	260	-0.422904
TCGA-D8-A27G-01A-11D-A89A-36	chr1	78519001	78599000	80	-0.426891
TCGA-D8-A27G-01A-11D-A89A-36	chr1	78599001	82074000	3450	-0.427101
TCGA-D8-A27G-01A-11D-A89A-36	chr1	82074001	82317000	235	0.015018
TCGA-D8-A27G-01A-11D-A89A-36	chr1	82317001	83432000	1077	-0.418466
TCGA-D8-A27G-01A-11D-A89A-36	chr1	83432001	84460000	1017	-0.422863
TCGA-D8-A27G-01A-11D-A89A-36	chr1	84460001	85513000	1053	-0.441697
TCGA-D8-A27G-01A-11D-A89A-36	chr1	85513001	85606000	82	-0.426472
TCGA-D8-A27G-01A-11D-A89A-36	chr1	85606001	87817000	2184	-0.427708
TCGA-D8-A27G-01A-11D-A89A-36	chr1	87817001	106417000	18332	-0.431191
TCGA-D8-A27G-01A-11D-A89A-36	chr1	106417001	110293000	3652	-0.430535
TCGA-D8-A27G-01A-11D-A89A-36	chr1	110293001	111141000	845	-0.422547
TCGA-D8-A27G-01A-11D-A89A-36	chr1	111141001	120574000	8887	0.009539
TCGA-D8-A27G-01A-11D-A89A-36	chr1	120671001	120942000	29	-0.717648
TCGA-D8-A27G-01A-11D-A89A-36	chr1	120942001	143267000	890	0.001913
TCGA-D8-A27G-01A-11D-A89A-36	chr1	143267001	145899000	728	0.388956
TCGA-D8-A27G-01A-11D-A89A-36	chr1	145899001	147256000	572	0.340488
TCGA-D8-A27G-01A-11D-A89A-36	chr1	147256001	148355000	871	0.345705
TCGA-D8-A27G-01A-11D-A89A-36	chr1	148355001	151861000	2235	0.335618
TCGA-D8-A27G-01A-11D-A89A-36	chr1	151861001	153092000	1172	0.348824
TCGA-D8-A27G-01A-11D-A89A-36	chr1	153092001	153147000	55	0.351549
TCGA-D8-A27G-01A-11D-A89A-36	chr1	153147001	159425000	6230	0.340910
TCGA-D8-A27G-01A-11D-A89A-36	chr1	159425001	163694000	4165	0.346940
TCGA-D8-A27G-01A-11D-A89A-36	chr1	163694001	170615000	6873	0.346734
TCGA-D8-A27G-01A-11D-A89A-36	chr1	170615001	171649000	1031	0.336402
TCGA-D8-A27G-01A-11D-A89A-36	chr1	171649001	187190000	15441	0.344632
TCGA-D8-A27G-01A-11D-A89A-36	chr1	187190001	188169000	959	0.326689
TCGA-D8-A27G-01A-11D-A89A-36	chr1	188169001	196206000	7999	0.345086
TCGA-D8-A27G-01A-11D-A89A-36	chr1	196206001	212829000	16201	0.342723
TCGA-D8-A27G-01A-11D-A89A-36	chr1	212829001	212840000	11	-1.020734
TCGA-D8-A27G-01A-11D-A89A-36	chr1	212840001	215720000	2869	0.336424
TCGA-D8-A27G-01A-11D-A89A-36	chr1	215720001	243341000	27206	0.338123
TCGA-D8-A27G-01A-11D-A89A-36	chr1	243341001	248931000	5406	0.335795
TCGA-D8-A27G-01A-11D-A89A-36	chr2	11001	64903000	64440	0.002086
TCGA-D8-A27G-01A-11D-A89A-36	chr2	64903001	65417000	513	-0.279458
TCGA-D8-A27G-01A-11D-A89A-36	chr2	65417001	66495000	1073	-0.398366
TCGA-D8-A27G-01A-11D-A89A-36	chr2	66495001	66792000	296	-0.190003
TCGA-D8-A27G-01A-11D-A89A-36	chr2	66792001	89872000	21551	0.003853
TCGA-D8-A27G-01A-11D-A89A-36	chr2	89883001	89884000	1	-8.064810
TCGA-D8-A27G-01A-11D-A89A-36	chr2	89896001	92756000	719	-0.021678
TCGA-D8-A27G-01A-11D-A89A-36	chr2	92790001	97067000	2489	0.009443
TCGA-D8-A27G-01A-11D-A89A-36	chr2	97067001	97491000	156	-0.925624
TCGA-D8-A27G-01A-11D-A89A-36	chr2	97546001	242159000	141658	0.005773
TCGA-D8-A27G-01A-11D-A89A-36	chr3	12001	100616000	97309	0.006234
TCGA-D8-A27G-01A-11D-A89A-36	chr3	100616001	100727000	111	0.574159
