GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-E9-A5UO-01A-11D-A89D-36	chr1	17001	16585000	15160	-0.016117
TCGA-E9-A5UO-01A-11D-A89D-36	chr1	16585001	16949000	216	-0.323312
TCGA-E9-A5UO-01A-11D-A89D-36	chr1	16949001	60638000	43370	-0.000874
TCGA-E9-A5UO-01A-11D-A89D-36	chr1	60638001	122895000	58960	0.034844
TCGA-E9-A5UO-01A-11D-A89D-36	chr1	122897001	122905000	3	-4.050366
TCGA-E9-A5UO-01A-11D-A89D-36	chr1	122912001	123020000	11	1.025917
TCGA-E9-A5UO-01A-11D-A89D-36	chr1	123027001	124271000	144	-0.420706
TCGA-E9-A5UO-01A-11D-A89D-36	chr1	124279001	124452000	34	-0.920570
TCGA-E9-A5UO-01A-11D-A89D-36	chr1	124454001	124640000	42	0.043128
TCGA-E9-A5UO-01A-11D-A89D-36	chr1	124642001	124643000	1	-5.192780
TCGA-E9-A5UO-01A-11D-A89D-36	chr1	124653001	124926000	45	0.274868
TCGA-E9-A5UO-01A-11D-A89D-36	chr1	124940001	182377000	34884	0.019191
TCGA-E9-A5UO-01A-11D-A89D-36	chr1	182377001	196853000	14306	0.054000
TCGA-E9-A5UO-01A-11D-A89D-36	chr1	196853001	248931000	51135	0.012099
TCGA-E9-A5UO-01A-11D-A89D-36	chr2	11001	109744000	103186	0.017827
TCGA-E9-A5UO-01A-11D-A89D-36	chr2	109763001	109767000	2	-7.835163
TCGA-E9-A5UO-01A-11D-A89D-36	chr2	110095001	228937000	116660	0.031182
TCGA-E9-A5UO-01A-11D-A89D-36	chr2	228937001	229056000	119	-0.846044
TCGA-E9-A5UO-01A-11D-A89D-36	chr2	229056001	229086000	30	-0.820525
TCGA-E9-A5UO-01A-11D-A89D-36	chr2	229086001	229280000	193	-0.864241
TCGA-E9-A5UO-01A-11D-A89D-36	chr2	229280001	229408000	128	-0.877092
TCGA-E9-A5UO-01A-11D-A89D-36	chr2	229408001	231822000	2409	-0.003265
TCGA-E9-A5UO-01A-11D-A89D-36	chr2	231822001	231842000	8	0.042109
TCGA-E9-A5UO-01A-11D-A89D-36	chr2	231848001	240675000	8761	-0.009041
TCGA-E9-A5UO-01A-11D-A89D-36	chr2	240682001	240770000	77	0.573299
TCGA-E9-A5UO-01A-11D-A89D-36	chr2	240770001	242159000	1323	-0.019893
TCGA-E9-A5UO-01A-11D-A89D-36	chr3	12001	65203000	64854	0.017069
TCGA-E9-A5UO-01A-11D-A89D-36	chr3	65203001	65229000	26	-0.951469
TCGA-E9-A5UO-01A-11D-A89D-36	chr3	65229001	82816000	17480	0.035379
TCGA-E9-A5UO-01A-11D-A89D-36	chr3	82816001	82824000	8	-8.198849
TCGA-E9-A5UO-01A-11D-A89D-36	chr3	82824001	90882000	7809	0.065405
TCGA-E9-A5UO-01A-11D-A89D-36	chr3	90882001	91169000	10	-0.141133
TCGA-E9-A5UO-01A-11D-A89D-36	chr3	91190001	177663000	83493	0.034354
TCGA-E9-A5UO-01A-11D-A89D-36	chr3	177663001	177668000	5	-1.250430
TCGA-E9-A5UO-01A-11D-A89D-36	chr3	177668001	195617000	17797	0.016856
TCGA-E9-A5UO-01A-11D-A89D-36	chr3	195617001	195728000	84	0.479234
TCGA-E9-A5UO-01A-11D-A89D-36	chr3	195728001	198127000	2334	-0.010367
TCGA-E9-A5UO-01A-11D-A89D-36	chr3	198127001	198175000	29	-0.754566
TCGA-E9-A5UO-01A-11D-A89D-36	chr4	15001	9915000	9474	-0.012610
TCGA-E9-A5UO-01A-11D-A89D-36	chr4	9915001	34778000	24659	0.037028
TCGA-E9-A5UO-01A-11D-A89D-36	chr4	34778001	34827000	49	-0.646049
TCGA-E9-A5UO-01A-11D-A89D-36	chr4	34827001	49104000	14217	0.030077
TCGA-E9-A5UO-01A-11D-A89D-36	chr4	49104001	49113000	9	-0.242188
TCGA-E9-A5UO-01A-11D-A89D-36	chr4	49113001	49650000	268	-0.523742
TCGA-E9-A5UO-01A-11D-A89D-36	chr4	49650001	69258000	17126	0.046182
TCGA-E9-A5UO-01A-11D-A89D-36	chr4	69260001	69366000	103	-0.633870
TCGA-E9-A5UO-01A-11D-A89D-36	chr4	69366001	190204000	119674	0.039302
TCGA-E9-A5UO-01A-11D-A89D-36	chr5	13001	678000	624	-0.021057
TCGA-E9-A5UO-01A-11D-A89D-36	chr5	678001	779000	71	0.351104
TCGA-E9-A5UO-01A-11D-A89D-36	chr5	780001	46622000	45169	0.029536
TCGA-E9-A5UO-01A-11D-A89D-36	chr5	46741001	46742000	1	-5.513510
TCGA-E9-A5UO-01A-11D-A89D-36	chr5	46926001	49857000	43	0.121193
TCGA-E9-A5UO-01A-11D-A89D-36	chr5	49859001	49965000	9	-0.641071
TCGA-E9-A5UO-01A-11D-A89D-36	chr5	49974001	178680000	125509	0.029555
TCGA-E9-A5UO-01A-11D-A89D-36	chr5	178680001	178688000	8	-1.076543
TCGA-E9-A5UO-01A-11D-A89D-36	chr5	178688001	179300000	608	-0.019668
TCGA-E9-A5UO-01A-11D-A89D-36	chr5	179300001	179502000	198	0.977377
TCGA-E9-A5UO-01A-11D-A89D-36	chr5	179504001	181474000	1702	-0.018075
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	148001	508000	358	-0.817422
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	508001	1700000	1176	-0.884834
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	1700001	1780000	80	-0.875884
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	1780001	2018000	238	-0.876842
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	2018001	2526000	502	-0.871116
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	2526001	2582000	56	-0.866442
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	2582001	3076000	493	-0.876217
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	3076001	3250000	168	-0.886700
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	3250001	3518000	268	-0.896818
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	3518001	4089000	571	-0.879178
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	4089001	11092000	6960	0.009000
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	11092001	11224000	132	0.559925
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	11224001	12428000	1204	0.021991
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	12428001	13359000	931	0.554781
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	13359001	14006000	647	0.512200
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	14006001	16691000	2684	-0.000779
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	16691001	16897000	204	0.552776
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	16897001	17827000	929	-0.009403
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	17827001	18902000	1074	0.556303
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	18902001	19970000	1060	0.573595
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	19970001	20904000	933	0.007643
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	20904001	21140000	236	-0.842589
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	21140001	21317000	177	-0.002194
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	21317001	21347000	30	-0.907224
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	21347001	21371000	24	-0.904611
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	21371001	21976000	603	-0.899003
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	21976001	23002000	1018	-0.843593
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	23002001	23682000	678	0.043934
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	23682001	24476000	787	0.562453
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	24476001	27007000	2347	0.014276
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	27007001	27690000	681	0.535572
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	27690001	29642000	1944	0.015136
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	29642001	30769000	1115	0.550951
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	30769001	31178000	409	-0.889693
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	31178001	31209000	31	-0.893790
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	31209001	31225000	16	-0.821695
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	31225001	31362000	134	-0.846961
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	31362001	31396000	33	-0.849188
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	31396001	31574000	171	-0.874222
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	31574001	31604000	30	-0.879869
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	31604001	31882000	273	-0.896254
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	31882001	32415000	473	0.536593
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	32415001	33579000	1081	0.554785
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	33579001	36027000	2434	-0.008201
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	36027001	36844000	817	-0.882701
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	36844001	37555000	710	-0.008581
TCGA-E9-A5UO-01A-11D-A89D-36	chr6	37555001	37991000	436	-0.885046
