GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-EW-A1IX-01A-12D-A896-36	chr1	17001	16603000	15171	0.006734
TCGA-EW-A1IX-01A-12D-A896-36	chr1	16604001	16654000	50	-0.363987
TCGA-EW-A1IX-01A-12D-A896-36	chr1	16674001	17380000	583	0.066480
TCGA-EW-A1IX-01A-12D-A896-36	chr1	17380001	17416000	36	0.343159
TCGA-EW-A1IX-01A-12D-A896-36	chr1	17416001	124282000	102027	0.008288
TCGA-EW-A1IX-01A-12D-A896-36	chr1	124283001	124299000	3	-1.395637
TCGA-EW-A1IX-01A-12D-A896-36	chr1	124306001	143505000	437	0.003712
TCGA-EW-A1IX-01A-12D-A896-36	chr1	143529001	143936000	240	-0.801651
TCGA-EW-A1IX-01A-12D-A896-36	chr1	143937001	145497000	148	-0.042321
TCGA-EW-A1IX-01A-12D-A896-36	chr1	145512001	145816000	242	-0.979445
TCGA-EW-A1IX-01A-12D-A896-36	chr1	145819001	161569000	13317	0.039923
TCGA-EW-A1IX-01A-12D-A896-36	chr1	161570001	161650000	49	0.625266
TCGA-EW-A1IX-01A-12D-A896-36	chr1	161654001	235418000	72751	0.053508
TCGA-EW-A1IX-01A-12D-A896-36	chr1	235418001	236050000	631	-0.403223
TCGA-EW-A1IX-01A-12D-A896-36	chr1	236050001	236062000	12	-0.409983
TCGA-EW-A1IX-01A-12D-A896-36	chr1	236062001	238749000	2667	-0.409717
TCGA-EW-A1IX-01A-12D-A896-36	chr1	238749001	241761000	3003	-0.402869
TCGA-EW-A1IX-01A-12D-A896-36	chr1	241761001	248553000	6609	0.049804
TCGA-EW-A1IX-01A-12D-A896-36	chr1	248562001	248635000	65	-0.765147
TCGA-EW-A1IX-01A-12D-A896-36	chr1	248645001	248931000	270	0.046622
TCGA-EW-A1IX-01A-12D-A896-36	chr2	11001	44239000	43893	0.005981
TCGA-EW-A1IX-01A-12D-A896-36	chr2	44239001	44247000	8	-0.059454
TCGA-EW-A1IX-01A-12D-A896-36	chr2	44247001	242159000	188995	0.007733
TCGA-EW-A1IX-01A-12D-A896-36	chr3	12001	41497000	41263	0.009459
TCGA-EW-A1IX-01A-12D-A896-36	chr3	41497001	41555000	58	0.590261
TCGA-EW-A1IX-01A-12D-A896-36	chr3	41555001	65203000	23533	0.008592
TCGA-EW-A1IX-01A-12D-A896-36	chr3	65203001	65229000	26	-0.990891
TCGA-EW-A1IX-01A-12D-A896-36	chr3	65229001	84055000	18712	0.006023
TCGA-EW-A1IX-01A-12D-A896-36	chr3	84055001	84062000	7	-0.144880
TCGA-EW-A1IX-01A-12D-A896-36	chr3	84062001	84646000	584	0.004067
TCGA-EW-A1IX-01A-12D-A896-36	chr3	84646001	84655000	9	-0.085326
TCGA-EW-A1IX-01A-12D-A896-36	chr3	84655001	198175000	109737	0.008316
TCGA-EW-A1IX-01A-12D-A896-36	chr4	15001	4108000	4003	-0.458454
TCGA-EW-A1IX-01A-12D-A896-36	chr4	4108001	4117000	9	-29.772535
TCGA-EW-A1IX-01A-12D-A896-36	chr4	4117001	4157000	10	-4.994728
TCGA-EW-A1IX-01A-12D-A896-36	chr4	4157001	4711000	554	-0.458067
TCGA-EW-A1IX-01A-12D-A896-36	chr4	4711001	4856000	145	-0.473592
TCGA-EW-A1IX-01A-12D-A896-36	chr4	4856001	5736000	875	-0.460212
TCGA-EW-A1IX-01A-12D-A896-36	chr4	5736001	5816000	75	-0.478479
TCGA-EW-A1IX-01A-12D-A896-36	chr4	5816001	5830000	14	-0.445481
TCGA-EW-A1IX-01A-12D-A896-36	chr4	5830001	6006000	176	-0.450394
TCGA-EW-A1IX-01A-12D-A896-36	chr4	6006001	7334000	1321	-0.458027
TCGA-EW-A1IX-01A-12D-A896-36	chr4	7334001	7352000	18	-0.384344
TCGA-EW-A1IX-01A-12D-A896-36	chr4	7352001	7615000	257	-0.469430
TCGA-EW-A1IX-01A-12D-A896-36	chr4	7615001	7622000	7	-0.512208
TCGA-EW-A1IX-01A-12D-A896-36	chr4	7622001	8211000	585	-0.470035
TCGA-EW-A1IX-01A-12D-A896-36	chr4	8211001	8576000	365	-0.461736
TCGA-EW-A1IX-01A-12D-A896-36	chr4	8576001	9402000	578	-0.466380
TCGA-EW-A1IX-01A-12D-A896-36	chr4	9402001	9442000	40	-0.501042
TCGA-EW-A1IX-01A-12D-A896-36	chr4	9442001	9571000	104	-0.441693
TCGA-EW-A1IX-01A-12D-A896-36	chr4	9571001	9730000	153	-0.402472
TCGA-EW-A1IX-01A-12D-A896-36	chr4	9730001	12076000	2296	-0.456621
TCGA-EW-A1IX-01A-12D-A896-36	chr4	12076001	12188000	109	-0.461902
TCGA-EW-A1IX-01A-12D-A896-36	chr4	12188001	12211000	23	-0.465367
TCGA-EW-A1IX-01A-12D-A896-36	chr4	12211001	14216000	1986	-0.459654
TCGA-EW-A1IX-01A-12D-A896-36	chr4	14216001	14272000	56	-0.466064
TCGA-EW-A1IX-01A-12D-A896-36	chr4	14272001	20087000	5760	-0.459095
TCGA-EW-A1IX-01A-12D-A896-36	chr4	20087001	20321000	234	-0.467603
TCGA-EW-A1IX-01A-12D-A896-36	chr4	20321001	21365000	1036	-0.465378
TCGA-EW-A1IX-01A-12D-A896-36	chr4	21365001	21489000	124	-0.436027
TCGA-EW-A1IX-01A-12D-A896-36	chr4	21489001	21507000	18	-0.519557
TCGA-EW-A1IX-01A-12D-A896-36	chr4	21507001	21690000	183	-0.476916
TCGA-EW-A1IX-01A-12D-A896-36	chr4	21690001	21790000	100	-0.457023
TCGA-EW-A1IX-01A-12D-A896-36	chr4	21790001	23255000	1461	1.084169
TCGA-EW-A1IX-01A-12D-A896-36	chr4	23255001	23303000	48	1.070836
TCGA-EW-A1IX-01A-12D-A896-36	chr4	23303001	24010000	697	1.072671
TCGA-EW-A1IX-01A-12D-A896-36	chr4	24010001	24729000	718	-0.459583
TCGA-EW-A1IX-01A-12D-A896-36	chr4	24729001	26160000	1431	-0.464287
TCGA-EW-A1IX-01A-12D-A896-36	chr4	26160001	26182000	22	-0.390780
TCGA-EW-A1IX-01A-12D-A896-36	chr4	26182001	26584000	402	-0.462079
TCGA-EW-A1IX-01A-12D-A896-36	chr4	26584001	27341000	749	-0.456134
TCGA-EW-A1IX-01A-12D-A896-36	chr4	27341001	27581000	235	-0.461223
TCGA-EW-A1IX-01A-12D-A896-36	chr4	27581001	27815000	234	-0.468765
TCGA-EW-A1IX-01A-12D-A896-36	chr4	27815001	27830000	15	-0.461917
TCGA-EW-A1IX-01A-12D-A896-36	chr4	27830001	29376000	1545	-0.461025
TCGA-EW-A1IX-01A-12D-A896-36	chr4	29376001	31946000	2549	-0.466538
TCGA-EW-A1IX-01A-12D-A896-36	chr4	31946001	31958000	12	-0.436588
TCGA-EW-A1IX-01A-12D-A896-36	chr4	31958001	32321000	361	-0.469089
TCGA-EW-A1IX-01A-12D-A896-36	chr4	32321001	34370000	2032	-0.463934
TCGA-EW-A1IX-01A-12D-A896-36	chr4	34370001	35921000	1550	-0.461240
TCGA-EW-A1IX-01A-12D-A896-36	chr4	35921001	35930000	9	1.046530
TCGA-EW-A1IX-01A-12D-A896-36	chr4	35930001	36018000	88	-0.468434
TCGA-EW-A1IX-01A-12D-A896-36	chr4	36018001	36340000	322	-0.460069
TCGA-EW-A1IX-01A-12D-A896-36	chr4	36340001	37121000	777	-0.458340
TCGA-EW-A1IX-01A-12D-A896-36	chr4	37121001	37254000	133	-0.456760
TCGA-EW-A1IX-01A-12D-A896-36	chr4	37254001	39273000	2016	-0.458492
TCGA-EW-A1IX-01A-12D-A896-36	chr4	39273001	39709000	435	1.064454
TCGA-EW-A1IX-01A-12D-A896-36	chr4	39709001	40870000	1159	1.063511
TCGA-EW-A1IX-01A-12D-A896-36	chr4	40870001	41145000	275	1.060102
TCGA-EW-A1IX-01A-12D-A896-36	chr4	41145001	42950000	1799	1.061553
TCGA-EW-A1IX-01A-12D-A896-36	chr4	42950001	43211000	259	1.067961
TCGA-EW-A1IX-01A-12D-A896-36	chr4	43211001	43433000	218	1.062548
TCGA-EW-A1IX-01A-12D-A896-36	chr4	43433001	45017000	1579	1.069357
TCGA-EW-A1IX-01A-12D-A896-36	chr4	45017001	45636000	614	0.902217
TCGA-EW-A1IX-01A-12D-A896-36	chr4	45636001	46187000	547	0.864599
TCGA-EW-A1IX-01A-12D-A896-36	chr4	46187001	47669000	1476	0.821015
TCGA-EW-A1IX-01A-12D-A896-36	chr4	47669001	48242000	566	0.872910
TCGA-EW-A1IX-01A-12D-A896-36	chr4	48242001	49091000	840	0.874431
TCGA-EW-A1IX-01A-12D-A896-36	chr4	49091001	49112000	20	-0.140552
TCGA-EW-A1IX-01A-12D-A896-36	chr4	49112001	49143000	24	-0.561101
TCGA-EW-A1IX-01A-12D-A896-36	chr4	49143001	49154000	11	0.087291
TCGA-EW-A1IX-01A-12D-A896-36	chr4	49154001	49207000	33	0.660979
TCGA-EW-A1IX-01A-12D-A896-36	chr4	49207001	49225000	18	0.349521
TCGA-EW-A1IX-01A-12D-A896-36	chr4	49225001	49273000	42	0.503158
TCGA-EW-A1IX-01A-12D-A896-36	chr4	49286001	49289000	3	-8.570391
TCGA-EW-A1IX-01A-12D-A896-36	chr4	49296001	49321000	13	0.719995
TCGA-EW-A1IX-01A-12D-A896-36	chr4	49321001	49556000	51	-0.348403
TCGA-EW-A1IX-01A-12D-A896-36	chr4	49556001	49564000	8	-0.514566
