GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A7-A26F-01B-04D-A22S-26	chr1	17001	635000	13	-1.387167
TCGA-A7-A26F-01B-04D-A22S-26	chr1	701001	779000	5	-29.383863
TCGA-A7-A26F-01B-04D-A22S-26	chr1	779001	974000	180	-0.932583
TCGA-A7-A26F-01B-04D-A22S-26	chr1	974001	1626000	633	-0.529164
TCGA-A7-A26F-01B-04D-A22S-26	chr1	1626001	1756000	86	-0.917090
TCGA-A7-A26F-01B-04D-A22S-26	chr1	1756001	3658000	1773	-0.391704
TCGA-A7-A26F-01B-04D-A22S-26	chr1	3658001	4859000	1191	-0.347086
TCGA-A7-A26F-01B-04D-A22S-26	chr1	4859001	4867000	8	-1.632052
TCGA-A7-A26F-01B-04D-A22S-26	chr1	4867001	5045000	178	-0.359749
TCGA-A7-A26F-01B-04D-A22S-26	chr1	5045001	5054000	9	-1.776297
TCGA-A7-A26F-01B-04D-A22S-26	chr1	5054001	6378000	1320	-0.281413
TCGA-A7-A26F-01B-04D-A22S-26	chr1	6378001	6386000	8	-2.217383
TCGA-A7-A26F-01B-04D-A22S-26	chr1	6386001	7412000	1025	-0.318230
TCGA-A7-A26F-01B-04D-A22S-26	chr1	7412001	7418000	6	-2.823269
TCGA-A7-A26F-01B-04D-A22S-26	chr1	7418001	7598000	180	-0.251480
TCGA-A7-A26F-01B-04D-A22S-26	chr1	7598001	7606000	8	-4.185527
TCGA-A7-A26F-01B-04D-A22S-26	chr1	7606001	10576000	2963	-0.253726
TCGA-A7-A26F-01B-04D-A22S-26	chr1	10576001	11985000	1409	-0.325673
TCGA-A7-A26F-01B-04D-A22S-26	chr1	11985001	12792000	806	-0.224549
TCGA-A7-A26F-01B-04D-A22S-26	chr1	12792001	12910000	85	-0.927114
TCGA-A7-A26F-01B-04D-A22S-26	chr1	12910001	13248000	50	-0.674696
TCGA-A7-A26F-01B-04D-A22S-26	chr1	13300001	13331000	16	-2.009710
TCGA-A7-A26F-01B-04D-A22S-26	chr1	13331001	13344000	8	-2.794316
TCGA-A7-A26F-01B-04D-A22S-26	chr1	13344001	13365000	14	-1.890185
TCGA-A7-A26F-01B-04D-A22S-26	chr1	13365001	13583000	218	-0.430128
TCGA-A7-A26F-01B-04D-A22S-26	chr1	13583001	14381000	796	-0.216141
TCGA-A7-A26F-01B-04D-A22S-26	chr1	14381001	14389000	8	-3.653577
TCGA-A7-A26F-01B-04D-A22S-26	chr1	14389001	16211000	1816	-0.268356
TCGA-A7-A26F-01B-04D-A22S-26	chr1	16211001	16488000	277	-0.329545
TCGA-A7-A26F-01B-04D-A22S-26	chr1	16488001	16539000	49	-0.975445
TCGA-A7-A26F-01B-04D-A22S-26	chr1	16540001	16600000	31	-3.409939
TCGA-A7-A26F-01B-04D-A22S-26	chr1	16601001	16602000	1	-29.670020
TCGA-A7-A26F-01B-04D-A22S-26	chr1	16602001	16646000	43	-1.086699
TCGA-A7-A26F-01B-04D-A22S-26	chr1	16646001	16714000	29	-2.283229
TCGA-A7-A26F-01B-04D-A22S-26	chr1	16715001	16729000	14	-0.671642
TCGA-A7-A26F-01B-04D-A22S-26	chr1	16729001	16761000	7	-5.334619
