GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AN-A046-01A-21D-A89H-36	chr1	17001	4210000	3233	0.011533
TCGA-AN-A046-01A-21D-A89H-36	chr1	4210001	5744000	1531	-0.194556
TCGA-AN-A046-01A-21D-A89H-36	chr1	5744001	6378000	632	-0.176118
TCGA-AN-A046-01A-21D-A89H-36	chr1	6378001	6386000	8	-1.356033
TCGA-AN-A046-01A-21D-A89H-36	chr1	6386001	12780000	6386	-0.183137
TCGA-AN-A046-01A-21D-A89H-36	chr1	12780001	12901000	94	-1.301140
TCGA-AN-A046-01A-21D-A89H-36	chr1	12907001	16603000	3287	-0.193786
TCGA-AN-A046-01A-21D-A89H-36	chr1	16604001	16757000	91	-0.397334
TCGA-AN-A046-01A-21D-A89H-36	chr1	16760001	16799000	26	-1.604015
TCGA-AN-A046-01A-21D-A89H-36	chr1	16850001	16949000	88	-0.101988
TCGA-AN-A046-01A-21D-A89H-36	chr1	16949001	64397000	47118	-0.187484
TCGA-AN-A046-01A-21D-A89H-36	chr1	64397001	109135000	44012	-0.194298
TCGA-AN-A046-01A-21D-A89H-36	chr1	109135001	120672000	10863	-0.188894
TCGA-AN-A046-01A-21D-A89H-36	chr1	120805001	120942000	28	-1.154698
TCGA-AN-A046-01A-21D-A89H-36	chr1	120942001	124326000	478	-0.175712
TCGA-AN-A046-01A-21D-A89H-36	chr1	124328001	145497000	820	0.071446
TCGA-AN-A046-01A-21D-A89H-36	chr1	145512001	145821000	244	-1.019099
TCGA-AN-A046-01A-21D-A89H-36	chr1	145823001	175054000	26647	0.001564
TCGA-AN-A046-01A-21D-A89H-36	chr1	175054001	181315000	6222	0.197225
TCGA-AN-A046-01A-21D-A89H-36	chr1	181315001	188142000	6784	0.197893
TCGA-AN-A046-01A-21D-A89H-36	chr1	188142001	188974000	828	0.188594
TCGA-AN-A046-01A-21D-A89H-36	chr1	188974001	196689000	7675	0.198132
TCGA-AN-A046-01A-21D-A89H-36	chr1	196689001	196854000	82	0.256918
TCGA-AN-A046-01A-21D-A89H-36	chr1	196854001	225765000	28383	0.197138
TCGA-AN-A046-01A-21D-A89H-36	chr1	225765001	234368000	8466	0.198264
TCGA-AN-A046-01A-21D-A89H-36	chr1	234368001	234519000	150	0.359409
TCGA-AN-A046-01A-21D-A89H-36	chr1	234519001	234776000	257	0.382905
TCGA-AN-A046-01A-21D-A89H-36	chr1	234776001	234784000	8	-0.614712
TCGA-AN-A046-01A-21D-A89H-36	chr1	234784001	235546000	741	0.378105
TCGA-AN-A046-01A-21D-A89H-36	chr1	235546001	236176000	629	0.270804
TCGA-AN-A046-01A-21D-A89H-36	chr1	236176001	238729000	2533	0.364982
TCGA-AN-A046-01A-21D-A89H-36	chr1	238729001	239615000	886	0.205063
TCGA-AN-A046-01A-21D-A89H-36	chr1	239615001	241177000	1553	0.361485
TCGA-AN-A046-01A-21D-A89H-36	chr1	241177001	241879000	702	0.365926
TCGA-AN-A046-01A-21D-A89H-36	chr1	241879001	242132000	246	0.188492
TCGA-AN-A046-01A-21D-A89H-36	chr1	242132001	243003000	865	0.375483
TCGA-AN-A046-01A-21D-A89H-36	chr1	243003001	248553000	5380	0.373079
TCGA-AN-A046-01A-21D-A89H-36	chr1	248562001	248650000	67	-0.910484
TCGA-AN-A046-01A-21D-A89H-36	chr1	248659001	248716000	56	0.335344
TCGA-AN-A046-01A-21D-A89H-36	chr1	248716001	248931000	212	0.369331
TCGA-AN-A046-01A-21D-A89H-36	chr2	11001	87131000	86291	0.022127
TCGA-AN-A046-01A-21D-A89H-36	chr2	87137001	87708000	171	0.505068
TCGA-AN-A046-01A-21D-A89H-36	chr2	87712001	232347000	136762	0.004115
TCGA-AN-A046-01A-21D-A89H-36	chr2	232347001	232453000	104	0.600642
TCGA-AN-A046-01A-21D-A89H-36	chr2	232453001	242159000	9568	0.010892
TCGA-AN-A046-01A-21D-A89H-36	chr3	12001	195619000	191484	0.026776
TCGA-AN-A046-01A-21D-A89H-36	chr3	195619001	195651000	22	-0.736478
TCGA-AN-A046-01A-21D-A89H-36	chr3	195654001	195669000	6	-1.972839
TCGA-AN-A046-01A-21D-A89H-36	chr3	195669001	195721000	50	-0.835532
TCGA-AN-A046-01A-21D-A89H-36	chr3	195721001	198175000	2367	0.034700
TCGA-AN-A046-01A-21D-A89H-36	chr4	15001	9389000	8979	-0.101630
TCGA-AN-A046-01A-21D-A89H-36	chr4	9389001	34778000	25154	-0.115562
TCGA-AN-A046-01A-21D-A89H-36	chr4	34778001	34827000	49	-1.105658
TCGA-AN-A046-01A-21D-A89H-36	chr4	34827001	43132000	8287	-0.108769
TCGA-AN-A046-01A-21D-A89H-36	chr4	43132001	49092000	5919	-0.033842
TCGA-AN-A046-01A-21D-A89H-36	chr4	49092001	49658000	296	0.005410
TCGA-AN-A046-01A-21D-A89H-36	chr4	49709001	56323000	4483	-0.048379
TCGA-AN-A046-01A-21D-A89H-36	chr4	56323001	67741000	11253	-0.115323
TCGA-AN-A046-01A-21D-A89H-36	chr4	67741001	190204000	121159	-0.111928
TCGA-AN-A046-01A-21D-A89H-36	chr5	13001	717000	652	0.034665
TCGA-AN-A046-01A-21D-A89H-36	chr5	717001	797000	57	0.393509
TCGA-AN-A046-01A-21D-A89H-36	chr5	797001	181474000	173233	0.025032
TCGA-AN-A046-01A-21D-A89H-36	chr6	148001	29883000	29426	0.028701
TCGA-AN-A046-01A-21D-A89H-36	chr6	29883001	29938000	52	-0.866473
TCGA-AN-A046-01A-21D-A89H-36	chr6	29938001	32534000	2479	0.050699
TCGA-AN-A046-01A-21D-A89H-36	chr6	32534001	32669000	103	-0.025914
TCGA-AN-A046-01A-21D-A89H-36	chr6	32669001	32676000	7	-2.001108
TCGA-AN-A046-01A-21D-A89H-36	chr6	32680001	139281000	103983	0.028231
TCGA-AN-A046-01A-21D-A89H-36	chr6	139281001	139286000	5	-4.108313
TCGA-AN-A046-01A-21D-A89H-36	chr6	139286001	170612000	30994	0.025137
