GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	17001	771000	16	0.098161
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	777001	827000	42	0.346488
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	827001	4735000	3699	-0.248074
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	4735001	10424000	5677	-0.236254
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	10424001	12782000	2358	-0.199248
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	12783001	12831000	47	0.480885
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	12831001	13242000	91	0.394722
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	13242001	15724000	2399	-0.229051
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	15724001	16479000	751	-0.221237
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	16479001	16581000	76	-0.311602
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	16581001	16676000	67	-0.745976
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	16676001	17381000	582	-0.177218
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	17381001	17763000	382	-0.250488
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	17763001	21798000	4017	-0.223916
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	21798001	22540000	737	-0.193674
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	22540001	28356000	5704	-0.237194
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	28356001	29306000	950	-0.266823
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	29306001	30039000	729	-0.214526
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	30039001	30726000	682	-0.191014
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	30726001	31432000	705	-0.234272
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	31432001	31473000	41	-0.172408
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	31473001	33548000	2069	-0.234648
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	33548001	37694000	4127	-0.214523
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	37694001	38329000	635	-0.052333
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	38329001	52724000	14294	-0.213859
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	52724001	54754000	2022	-0.223134
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	54754001	59425000	4641	-0.195722
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	59425001	61017000	1583	-0.182325
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	61017001	62171000	1153	-0.213840
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	62171001	62387000	216	-0.246635
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	62387001	65571000	3166	-0.207663
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	65571001	72043000	6422	-0.200720
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	72043001	72839000	751	-0.283640
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	72839001	76398000	3538	-0.206581
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	76398001	78078000	1668	-0.199572
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	78078001	78270000	189	-0.207159
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	78270001	83122000	4816	-0.204565
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	83122001	87274000	4067	-0.197058
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	87274001	87990000	716	-0.202129
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	87990001	106959000	18700	-0.198854
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	106959001	106999000	40	-0.183282
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	106999001	108941000	1748	-0.182624
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	108941001	109712000	743	-0.228520
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	109712001	112962000	3224	-0.206320
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	112962001	113048000	86	-0.252245
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	113048001	113545000	483	-0.161402
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	113545001	115462000	1914	-0.206384
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	115462001	117341000	1872	-0.197699
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	117341001	117532000	189	-0.166131
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	117532001	118616000	1082	-0.127916
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	118616001	123196000	1836	-0.143336
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	123200001	143484000	561	0.215867
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	143498001	143938000	245	-1.520768
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	144101001	146506000	671	0.178328
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	146546001	146967000	109	0.180017
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	146969001	148355000	1130	0.189626
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	148355001	150642000	1024	0.275116
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	150642001	151028000	382	0.317487
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	151028001	151367000	339	0.284370
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	151367001	152011000	640	0.314072
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	152011001	153855000	1782	0.328179
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	153855001	154474000	619	0.291019
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	154474001	157185000	2679	0.306510
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	157185001	157923000	738	0.341552
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	157923001	158120000	197	0.303793
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	158120001	159312000	1179	0.457584
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	159312001	161085000	1767	0.459971
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	161085001	161313000	228	0.433011
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	161313001	169483000	8027	0.459151
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	169483001	171402000	1913	0.460755
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	171402001	171810000	407	0.438143
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	171810001	172056000	246	0.349585
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	172056001	184540000	12402	0.466307
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	184540001	186422000	1868	0.521523
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	186422001	188520000	2073	0.443113
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	188520001	200882000	12211	0.459545
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	200882001	201371000	486	0.442638
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	201371001	213713000	12031	0.719620
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	213713001	214982000	1267	0.364798
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	214982001	215660000	676	0.381733
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	215660001	215979000	318	0.731553
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	215979001	219831000	3820	0.376818
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	219831001	219913000	81	0.400275
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	219913001	220327000	412	0.465442
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	220327001	220982000	654	0.526845
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	220982001	221320000	337	0.575993
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	221320001	223662000	2257	0.626012
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	223662001	223997000	288	0.588634
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	223997001	224063000	56	0.584841
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	224063001	224668000	603	0.581754
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	224668001	224873000	205	0.613699
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	224873001	227959000	3066	0.651305
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	227959001	228526000	560	0.471089
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	228526001	232048000	3419	0.500153
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	232048001	233487000	1435	0.511305
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	233487001	233601000	114	0.689049
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	233601001	234562000	955	0.692129
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	234562001	234617000	55	0.803522
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	234617001	234738000	121	0.879311
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	234738001	234883000	125	0.940956
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	234883001	235040000	157	1.008789
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	235040001	235095000	55	0.851064
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	235095001	235588000	492	0.679896
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	235588001	236509000	917	0.615350
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	236509001	237548000	1024	0.501189
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	237548001	237589000	41	0.481508
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	237589001	237994000	405	0.552391
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	237994001	241438000	3433	0.582832
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	241438001	246083000	4586	0.628985
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	246083001	248461000	2316	0.668525
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	248461001	248502000	19	1.038222
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	248519001	248650000	78	0.109837
TCGA-A8-A08P-01A-11D-A88Z-36	chr1	248659001	248931000	268	0.666232
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	11001	2343000	2265	0.103286
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	2343001	3178000	832	0.283745
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	3178001	26806000	23506	0.170084
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	26806001	26856000	50	0.499052
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	26856001	47818000	20801	0.138206
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	47818001	56878000	8997	-0.022251
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	56878001	61621000	4715	-0.007483
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	61621001	75238000	13547	0.009132
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	75238001	78245000	2970	0.039518
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	78245001	78309000	64	0.959051
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	78309001	78439000	130	0.798336
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	78439001	80449000	2003	0.053950
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	80449001	81511000	1059	0.133935
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	81511001	81734000	221	0.496077
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	81734001	83667000	1921	0.412164
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	83667001	92080000	5491	0.307430
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	92080001	94152000	32	0.011976
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	94153001	98665000	3723	0.336323
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	98665001	99910000	1243	0.196443
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	99910001	100019000	109	0.220116
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	100019001	100301000	268	0.127745
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	100301001	102300000	1997	0.055126
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	102300001	102370000	68	0.091348
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	102370001	102651000	275	0.167688
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	102651001	102803000	152	0.061626
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	102803001	103495000	691	0.129057
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	103495001	103638000	143	0.250747
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	103638001	104482000	844	0.149501
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	104482001	105220000	733	0.049584
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	105220001	105591000	370	-0.011218
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	105591001	105631000	40	-0.014471
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	105631001	108019000	2226	-0.013525
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	108019001	111483000	2526	-0.004041
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	111484001	111620000	50	0.064685
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	111620001	113290000	1514	-0.007134
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	113290001	116014000	2602	-0.007268
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	116014001	118988000	2935	-0.017085
TCGA-A8-A08P-01A-11D-A88Z-36	chr2	118988001	127650000	8596	-0.017335
