GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-D8-A27K-01A-11D-A89A-36	chr1	17001	1661000	856	-0.030397
TCGA-D8-A27K-01A-11D-A89A-36	chr1	1662001	1665000	3	-4.873802
TCGA-D8-A27K-01A-11D-A89A-36	chr1	1665001	16534000	14274	-0.016746
TCGA-D8-A27K-01A-11D-A89A-36	chr1	16534001	16951000	245	0.072259
TCGA-D8-A27K-01A-11D-A89A-36	chr1	16951001	89009000	71461	-0.010633
TCGA-D8-A27K-01A-11D-A89A-36	chr1	89009001	89014000	5	-2.869537
TCGA-D8-A27K-01A-11D-A89A-36	chr1	89014001	125163000	31362	-0.009887
TCGA-D8-A27K-01A-11D-A89A-36	chr1	125163001	143307000	94	0.557921
TCGA-D8-A27K-01A-11D-A89A-36	chr1	143310001	143744000	202	0.151949
TCGA-D8-A27K-01A-11D-A89A-36	chr1	143745001	145716000	339	0.634478
TCGA-D8-A27K-01A-11D-A89A-36	chr1	145716001	149651000	1812	0.634083
TCGA-D8-A27K-01A-11D-A89A-36	chr1	149656001	149693000	15	-0.765773
TCGA-D8-A27K-01A-11D-A89A-36	chr1	149695001	151837000	2001	0.615511
TCGA-D8-A27K-01A-11D-A89A-36	chr1	151837001	155076000	3177	0.626205
TCGA-D8-A27K-01A-11D-A89A-36	chr1	155076001	157645000	2537	0.618293
TCGA-D8-A27K-01A-11D-A89A-36	chr1	157645001	166866000	9090	0.627907
TCGA-D8-A27K-01A-11D-A89A-36	chr1	166866001	166990000	124	0.622227
TCGA-D8-A27K-01A-11D-A89A-36	chr1	166990001	168519000	1523	0.624449
TCGA-D8-A27K-01A-11D-A89A-36	chr1	168519001	171837000	3286	0.626797
TCGA-D8-A27K-01A-11D-A89A-36	chr1	171837001	171913000	76	0.620693
TCGA-D8-A27K-01A-11D-A89A-36	chr1	171913001	175102000	3152	0.629933
TCGA-D8-A27K-01A-11D-A89A-36	chr1	175102001	175109000	7	-1.008260
TCGA-D8-A27K-01A-11D-A89A-36	chr1	175109001	177683000	2558	0.625865
TCGA-D8-A27K-01A-11D-A89A-36	chr1	177683001	177821000	138	0.634582
TCGA-D8-A27K-01A-11D-A89A-36	chr1	177821001	184656000	6806	0.621028
TCGA-D8-A27K-01A-11D-A89A-36	chr1	184656001	194545000	9818	0.617132
TCGA-D8-A27K-01A-11D-A89A-36	chr1	194545001	194722000	177	0.615212
TCGA-D8-A27K-01A-11D-A89A-36	chr1	194722001	199542000	4707	0.620759
TCGA-D8-A27K-01A-11D-A89A-36	chr1	199542001	204087000	4534	0.621626
TCGA-D8-A27K-01A-11D-A89A-36	chr1	204087001	208373000	4004	0.626513
TCGA-D8-A27K-01A-11D-A89A-36	chr1	208373001	219831000	11394	0.622837
TCGA-D8-A27K-01A-11D-A89A-36	chr1	219831001	219899000	67	0.640593
TCGA-D8-A27K-01A-11D-A89A-36	chr1	219899001	223843000	3854	0.621404
TCGA-D8-A27K-01A-11D-A89A-36	chr1	223843001	224085000	186	0.671724
TCGA-D8-A27K-01A-11D-A89A-36	chr1	224085001	225975000	1885	0.619182
TCGA-D8-A27K-01A-11D-A89A-36	chr1	225975001	226020000	45	0.596920
TCGA-D8-A27K-01A-11D-A89A-36	chr1	226020001	228652000	2518	0.617005
TCGA-D8-A27K-01A-11D-A89A-36	chr1	228652001	230550000	1886	0.619979
TCGA-D8-A27K-01A-11D-A89A-36	chr1	230550001	234229000	3670	0.622270
TCGA-D8-A27K-01A-11D-A89A-36	chr1	234229001	247683000	13320	0.617315
TCGA-D8-A27K-01A-11D-A89A-36	chr1	247683001	248931000	1103	0.629469
TCGA-D8-A27K-01A-11D-A89A-36	chr2	11001	89586000	87687	-0.010927
TCGA-D8-A27K-01A-11D-A89A-36	chr2	89590001	89872000	186	-0.365223
TCGA-D8-A27K-01A-11D-A89A-36	chr2	89883001	90259000	231	-1.019796
TCGA-D8-A27K-01A-11D-A89A-36	chr2	90289001	91660000	202	-0.391315
TCGA-D8-A27K-01A-11D-A89A-36	chr2	91676001	130459000	34071	-0.011166
TCGA-D8-A27K-01A-11D-A89A-36	chr2	130560001	130603000	2	-0.835109
TCGA-D8-A27K-01A-11D-A89A-36	chr2	130603001	130657000	14	-1.416121
TCGA-D8-A27K-01A-11D-A89A-36	chr2	130662001	130663000	1	-7.159590
TCGA-D8-A27K-01A-11D-A89A-36	chr2	130664001	130672000	7	-8.147694
TCGA-D8-A27K-01A-11D-A89A-36	chr2	130693001	242159000	110495	-0.009519
TCGA-D8-A27K-01A-11D-A89A-36	chr3	12001	89070000	88594	-0.014161
TCGA-D8-A27K-01A-11D-A89A-36	chr3	89070001	89093000	23	-0.991661
TCGA-D8-A27K-01A-11D-A89A-36	chr3	89093001	89345000	252	-0.016964
TCGA-D8-A27K-01A-11D-A89A-36	chr3	89345001	89370000	21	-1.022524
TCGA-D8-A27K-01A-11D-A89A-36	chr3	89370001	90711000	1272	-0.018162
TCGA-D8-A27K-01A-11D-A89A-36	chr3	90717001	91153000	24	-0.746225
TCGA-D8-A27K-01A-11D-A89A-36	chr3	91168001	128662000	34963	-0.013948
