GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AR-A2LJ-01A-12D-A89B-36	chr1	17001	16603000	15171	-0.009463
TCGA-AR-A2LJ-01A-12D-A89B-36	chr1	16604001	16647000	43	0.269626
TCGA-AR-A2LJ-01A-12D-A89B-36	chr1	16647001	16949000	162	-0.208659
TCGA-AR-A2LJ-01A-12D-A89B-36	chr1	16949001	143504000	102930	0.001615
TCGA-AR-A2LJ-01A-12D-A89B-36	chr1	143504001	154177000	6641	0.280467
TCGA-AR-A2LJ-01A-12D-A89B-36	chr1	154177001	159191000	4969	0.270675
TCGA-AR-A2LJ-01A-12D-A89B-36	chr1	159191001	183698000	24269	0.275226
TCGA-AR-A2LJ-01A-12D-A89B-36	chr1	183698001	234777000	50249	0.274576
TCGA-AR-A2LJ-01A-12D-A89B-36	chr1	234777001	234784000	7	-0.067785
TCGA-AR-A2LJ-01A-12D-A89B-36	chr1	234784001	248591000	13557	0.267730
TCGA-AR-A2LJ-01A-12D-A89B-36	chr1	248591001	248931000	313	0.299171
TCGA-AR-A2LJ-01A-12D-A89B-36	chr2	11001	89229000	87665	-0.001654
TCGA-AR-A2LJ-01A-12D-A89B-36	chr2	89229001	89248000	11	0.556022
TCGA-AR-A2LJ-01A-12D-A89B-36	chr2	89248001	187235000	90715	0.001824
TCGA-AR-A2LJ-01A-12D-A89B-36	chr2	187235001	187288000	53	-1.003196
TCGA-AR-A2LJ-01A-12D-A89B-36	chr2	187288001	242159000	54452	0.000427
TCGA-AR-A2LJ-01A-12D-A89B-36	chr3	12001	198175000	193929	0.002004
TCGA-AR-A2LJ-01A-12D-A89B-36	chr4	15001	3586000	3490	-0.010850
TCGA-AR-A2LJ-01A-12D-A89B-36	chr4	3586001	3689000	100	0.564860
TCGA-AR-A2LJ-01A-12D-A89B-36	chr4	3689001	34779000	30544	-0.000306
TCGA-AR-A2LJ-01A-12D-A89B-36	chr4	34779001	34795000	16	-29.767162
TCGA-AR-A2LJ-01A-12D-A89B-36	chr4	34795001	34803000	8	-8.909919
