GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-C8-A1HK-01A-21D-A896-36	chr1	17001	3883000	2914	-0.249753
TCGA-C8-A1HK-01A-21D-A896-36	chr1	3883001	8412000	4514	-0.231171
TCGA-C8-A1HK-01A-21D-A896-36	chr1	8412001	8903000	489	-0.208333
TCGA-C8-A1HK-01A-21D-A896-36	chr1	8903001	12138000	3231	-0.237343
TCGA-C8-A1HK-01A-21D-A896-36	chr1	12138001	12834000	694	-0.213774
TCGA-C8-A1HK-01A-21D-A896-36	chr1	12835001	12864000	29	0.719933
TCGA-C8-A1HK-01A-21D-A896-36	chr1	12864001	13335000	84	-0.121600
TCGA-C8-A1HK-01A-21D-A896-36	chr1	13338001	13366000	20	-1.448694
TCGA-C8-A1HK-01A-21D-A896-36	chr1	13366001	13481000	115	-0.290309
TCGA-C8-A1HK-01A-21D-A896-36	chr1	13481001	13942000	461	-0.235182
TCGA-C8-A1HK-01A-21D-A896-36	chr1	13942001	15037000	1092	-0.218662
TCGA-C8-A1HK-01A-21D-A896-36	chr1	15037001	15799000	761	-0.237699
TCGA-C8-A1HK-01A-21D-A896-36	chr1	15799001	16602000	766	-0.240449
TCGA-C8-A1HK-01A-21D-A896-36	chr1	16602001	16646000	43	-0.384931
TCGA-C8-A1HK-01A-21D-A896-36	chr1	16646001	16654000	8	-1.957369
TCGA-C8-A1HK-01A-21D-A896-36	chr1	16674001	17352000	555	-0.179108
TCGA-C8-A1HK-01A-21D-A896-36	chr1	17352001	18004000	652	-0.234551
TCGA-C8-A1HK-01A-21D-A896-36	chr1	18004001	28657000	10518	-0.225599
TCGA-C8-A1HK-01A-21D-A896-36	chr1	28657001	29247000	590	-0.242201
TCGA-C8-A1HK-01A-21D-A896-36	chr1	29247001	30400000	1149	-0.213016
TCGA-C8-A1HK-01A-21D-A896-36	chr1	30400001	35247000	4819	-0.216696
TCGA-C8-A1HK-01A-21D-A896-36	chr1	35247001	36221000	973	-0.205748
TCGA-C8-A1HK-01A-21D-A896-36	chr1	36221001	36587000	365	-0.230110
TCGA-C8-A1HK-01A-21D-A896-36	chr1	36587001	40986000	4366	-0.213729
TCGA-C8-A1HK-01A-21D-A896-36	chr1	40986001	45496000	4491	-0.201261
TCGA-C8-A1HK-01A-21D-A896-36	chr1	45496001	45787000	288	-0.225378
TCGA-C8-A1HK-01A-21D-A896-36	chr1	45787001	46146000	359	-0.188081
TCGA-C8-A1HK-01A-21D-A896-36	chr1	46146001	46530000	381	-0.225981
TCGA-C8-A1HK-01A-21D-A896-36	chr1	46530001	48609000	2047	-0.189916
TCGA-C8-A1HK-01A-21D-A896-36	chr1	48609001	52651000	4030	-0.179897
TCGA-C8-A1HK-01A-21D-A896-36	chr1	52651001	54843000	2184	-0.221721
TCGA-C8-A1HK-01A-21D-A896-36	chr1	54843001	56733000	1880	-0.185556
TCGA-C8-A1HK-01A-21D-A896-36	chr1	56733001	58399000	1648	-0.185993
TCGA-C8-A1HK-01A-21D-A896-36	chr1	58399001	59272000	871	-0.184483
TCGA-C8-A1HK-01A-21D-A896-36	chr1	59272001	65874000	6572	-0.184265
TCGA-C8-A1HK-01A-21D-A896-36	chr1	65874001	66668000	788	-0.159320
TCGA-C8-A1HK-01A-21D-A896-36	chr1	66668001	68385000	1707	-0.181905
TCGA-C8-A1HK-01A-21D-A896-36	chr1	68385001	70144000	1745	-0.163378
TCGA-C8-A1HK-01A-21D-A896-36	chr1	70144001	70574000	430	-0.200175
TCGA-C8-A1HK-01A-21D-A896-36	chr1	70574001	72044000	1452	-0.167831
TCGA-C8-A1HK-01A-21D-A896-36	chr1	72044001	77641000	5522	-0.160621
TCGA-C8-A1HK-01A-21D-A896-36	chr1	77641001	78307000	659	-0.184550
TCGA-C8-A1HK-01A-21D-A896-36	chr1	78307001	83246000	4895	-0.162363
TCGA-C8-A1HK-01A-21D-A896-36	chr1	83246001	83368000	103	-0.140949
TCGA-C8-A1HK-01A-21D-A896-36	chr1	83368001	83463000	86	-0.086923
TCGA-C8-A1HK-01A-21D-A896-36	chr1	83463001	86831000	3320	-0.162460
TCGA-C8-A1HK-01A-21D-A896-36	chr1	86831001	87175000	344	-0.178665
TCGA-C8-A1HK-01A-21D-A896-36	chr1	87175001	87651000	476	-0.194013
TCGA-C8-A1HK-01A-21D-A896-36	chr1	87651001	89005000	1349	-0.172851
TCGA-C8-A1HK-01A-21D-A896-36	chr1	89005001	89015000	10	-0.205067
TCGA-C8-A1HK-01A-21D-A896-36	chr1	89015001	90771000	1738	-0.178770
TCGA-C8-A1HK-01A-21D-A896-36	chr1	90771001	91803000	1021	-0.191051
TCGA-C8-A1HK-01A-21D-A896-36	chr1	91803001	91915000	112	-0.234720
TCGA-C8-A1HK-01A-21D-A896-36	chr1	91915001	95097000	3174	-0.183828
TCGA-C8-A1HK-01A-21D-A896-36	chr1	95097001	101547000	6426	-0.166586
TCGA-C8-A1HK-01A-21D-A896-36	chr1	101547001	104887000	3155	-0.152843
TCGA-C8-A1HK-01A-21D-A896-36	chr1	104887001	105629000	730	-0.156558
TCGA-C8-A1HK-01A-21D-A896-36	chr1	105629001	109089000	3259	-0.166345
TCGA-C8-A1HK-01A-21D-A896-36	chr1	109089001	109179000	90	-0.228567
TCGA-C8-A1HK-01A-21D-A896-36	chr1	109179001	110568000	1361	-0.209273
TCGA-C8-A1HK-01A-21D-A896-36	chr1	110568001	111648000	1077	-0.170772
TCGA-C8-A1HK-01A-21D-A896-36	chr1	111648001	112811000	1143	-0.198319
TCGA-C8-A1HK-01A-21D-A896-36	chr1	112811001	113306000	490	-0.222289
TCGA-C8-A1HK-01A-21D-A896-36	chr1	113306001	113865000	548	-0.161604
TCGA-C8-A1HK-01A-21D-A896-36	chr1	113865001	114812000	947	-0.195769
TCGA-C8-A1HK-01A-21D-A896-36	chr1	114812001	118328000	3504	-0.176700
TCGA-C8-A1HK-01A-21D-A896-36	chr1	118328001	119221000	885	-0.153381
TCGA-C8-A1HK-01A-21D-A896-36	chr1	119221001	123158000	1232	-0.166198
TCGA-C8-A1HK-01A-21D-A896-36	chr1	123163001	143227000	520	-0.093276
TCGA-C8-A1HK-01A-21D-A896-36	chr1	143227001	143744000	245	0.434573
TCGA-C8-A1HK-01A-21D-A896-36	chr1	143745001	143758000	12	0.848840
TCGA-C8-A1HK-01A-21D-A896-36	chr1	143758001	149666000	2143	0.261969
TCGA-C8-A1HK-01A-21D-A896-36	chr1	149666001	151675000	1850	0.502724
TCGA-C8-A1HK-01A-21D-A896-36	chr1	151675001	153674000	1937	0.537147
TCGA-C8-A1HK-01A-21D-A896-36	chr1	153674001	157002000	3296	0.499186
TCGA-C8-A1HK-01A-21D-A896-36	chr1	157002001	160961000	3941	0.542546
TCGA-C8-A1HK-01A-21D-A896-36	chr1	160961001	161572000	575	0.494164
TCGA-C8-A1HK-01A-21D-A896-36	chr1	161572001	161650000	47	-0.225705
TCGA-C8-A1HK-01A-21D-A896-36	chr1	161654001	163881000	2197	0.535470
TCGA-C8-A1HK-01A-21D-A896-36	chr1	163881001	164278000	397	0.555754
TCGA-C8-A1HK-01A-21D-A896-36	chr1	164278001	169290000	4971	0.525522
TCGA-C8-A1HK-01A-21D-A896-36	chr1	169290001	171340000	2044	0.549365
